COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG0697	GER	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/General_function_prediction_only	Permease of the drug/metabolite transporter (DMT) superfamily
COG3961	GHR	Carbohydrate_transport_and_metabolism/Coenzyme_transport_and_metabolism/General_function_prediction_only	"TPP-dependent 2-oxoacid decarboxylase, includes indolepyruvate decarboxylase"
COG4677	GI	Carbohydrate_transport_and_metabolism/Lipid_transport_and_metabolism	Pectin methylesterase and related acyl-CoA thioesterases
COG0726	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family"
COG0794	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	D-arabinose 5-phosphate isomerase GutQ
COG1134	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	"ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
COG1682	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	ABC-type polysaccharide/polyol phosphate export permease
COG4409	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	Neuraminidase (sialidase)
COG4692	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	Predicted neuraminidase (sialidase)
COG5039	GM	Carbohydrate_transport_and_metabolism/Cell_wall_membrane_envelope_biogenesis	"Exopolysaccharide biosynthesis protein EpsI, predicted pyruvyl transferase"
COG0637	GR	Carbohydrate_transport_and_metabolism/General_function_prediction_only	"Beta-phosphoglucomutase or related phosphatase, HAD superfamily"
COG2610	GR	Carbohydrate_transport_and_metabolism/General_function_prediction_only	H+/gluconate symporter or related permease
COG1489	GT	Carbohydrate_transport_and_metabolism/Signal_transduction_mechanisms	"DNA-binding protein, stimulates sugar fermentation"
COG1762	GT	Carbohydrate_transport_and_metabolism/Signal_transduction_mechanisms	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)
COG3925	GT	Carbohydrate_transport_and_metabolism/Signal_transduction_mechanisms	N-terminal domain of the phosphotransferase system fructose-specific component IIB
COG4945	GT	Carbohydrate_transport_and_metabolism/Signal_transduction_mechanisms	Carbohydrate-binding DOMON domain
COG0543	HC	Coenzyme_transport_and_metabolism/Energy_production_and_conversion	NAD(P)H-flavin reductase
COG0654	HC	Coenzyme_transport_and_metabolism/Energy_production_and_conversion	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG1932	HE	Coenzyme_transport_and_metabolism/Amino_acid_transport_and_metabolism	Phosphoserine aminotransferase
COG0391	HG	Coenzyme_transport_and_metabolism/Carbohydrate_transport_and_metabolism	"Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family"
COG0109	HI	Coenzyme_transport_and_metabolism/Lipid_transport_and_metabolism	Polyprenyltransferase (heme O synthase)
COG0511	HI	Coenzyme_transport_and_metabolism/Lipid_transport_and_metabolism	Biotin carboxyl carrier protein
COG1154	HI	Coenzyme_transport_and_metabolism/Lipid_transport_and_metabolism	Deoxyxylulose-5-phosphate synthase
COG3697	HI	Coenzyme_transport_and_metabolism/Lipid_transport_and_metabolism	Phosphoribosyl-dephospho-CoA transferase (holo-ACP synthetase)
COG0189	HJ	Coenzyme_transport_and_metabolism/Translation_ribosomal_structure_and_biogenesis	"Glutathione synthase/RimK-type ligase, ATP-grasp superfamily"
COG0301	HJ	Coenzyme_transport_and_metabolism/Translation_ribosomal_structure_and_biogenesis	"Adenylyl- and sulfurtransferase ThiI, participates in tRNA 4-thiouridine and thiamine biosynthesis"
COG1169	HQ	Coenzyme_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism	Isochorismate synthase EntC
COG1402	HQ	Coenzyme_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism	Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis
COG0111	HR	Coenzyme_transport_and_metabolism/General_function_prediction_only	Phosphoglycerate dehydrogenase or related dehydrogenase
COG0561	HR	Coenzyme_transport_and_metabolism/General_function_prediction_only	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases
COG0596	HR	Coenzyme_transport_and_metabolism/General_function_prediction_only	Pimeloyl-ACP methyl ester carboxylesterase
COG1335	HR	Coenzyme_transport_and_metabolism/General_function_prediction_only	Nicotinamidase-related amidase
COG2045	HR	Coenzyme_transport_and_metabolism/General_function_prediction_only	Phosphosulfolactate phosphohydrolase or related enzyme
COG2141	HR	Coenzyme_transport_and_metabolism/General_function_prediction_only	"Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)"
COG0661	HT	Coenzyme_transport_and_metabolism/Signal_transduction_mechanisms	"Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family"
COG0236	IQ	Lipid_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism	Acyl carrier protein
COG0304	IQ	Lipid_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism	3-oxoacyl-(acyl-carrier-protein) synthase
COG0318	IQ	Lipid_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II
COG1028	IQR	Lipid_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism/General_function_prediction_only	"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family"
COG1597	IR	Lipid_transport_and_metabolism/General_function_prediction_only	Diacylglycerol kinase family enzyme
COG2303	IR	Lipid_transport_and_metabolism/General_function_prediction_only	Choline dehydrogenase or related flavoprotein
COG3240	IR	Lipid_transport_and_metabolism/General_function_prediction_only	Phospholipase/lecithinase/hemolysin
COG1208	JM	Translation_ribosomal_structure_and_biogenesis/Cell_wall_membrane_envelope_biogenesis	"NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis proteins"
COG1670	JO	Translation_ribosomal_structure_and_biogenesis/Posttranslational_modification_protein_turnover_chaperones	"Protein N-acetyltransferase, RimJ/RimL family"
COG3751	JO	Translation_ribosomal_structure_and_biogenesis/Posttranslational_modification_protein_turnover_chaperones	"Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain"
COG1418	JR	Translation_ribosomal_structure_and_biogenesis/General_function_prediction_only	"HD superfamily phosphodieaserase, includes HD domain of RNase Y"
COG2404	JT	Translation_ribosomal_structure_and_biogenesis/Signal_transduction_mechanisms	"Oligoribonuclease NrnB or cAMP/cGMP phosphodiesterase, DHH superfamily"
COG0252	JU	Translation_ribosomal_structure_and_biogenesis/Intracellular_trafficking_secretion_and_vesicular_transport	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG1431	JV	Translation_ribosomal_structure_and_biogenesis/Defense_mechanisms	"Argonaute homolog, implicated in RNA metabolism and viral defense"
COG1243	KB	Transcription/Chromatin_structure_and_dynamics	"Histone acetyltransferase, component of the RNA polymerase elongator complex"
COG1167	KE	Transcription/Amino_acid_transport_and_metabolism	"DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain"
COG3060	KE	Transcription/Amino_acid_transport_and_metabolism	Transcriptional regulator of met regulon
COG3283	KE	Transcription/Amino_acid_transport_and_metabolism	Transcriptional regulator of aromatic amino acids metabolism
COG1349	KG	Transcription/Carbohydrate_transport_and_metabolism	"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family"
COG1940	KG	Transcription/Carbohydrate_transport_and_metabolism	"Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain"
COG1827	KH	Transcription/Coenzyme_transport_and_metabolism	"Transcriptional regulator of NAD metabolism, contains HTH and 3H domains"
COG0217	KJ	Transcription/Translation_ribosomal_structure_and_biogenesis	Transcriptional and/or translational regulatory protein YebC/TACO1
COG0553	KL	Transcription/Replication_recombination_and_repair	"Superfamily II DNA or RNA helicase, SNF2 family"
COG1061	KL	Transcription/Replication_recombination_and_repair	Superfamily II DNA or RNA helicase
COG5406	KLB	Transcription/Replication_recombination_and_repair/Chromatin_structure_and_dynamics	"Nucleosome binding factor SPN, SPT16 subunit"
COG2747	KN	Transcription/Cell_motility	Negative regulator of flagellin synthesis (anti-sigma28 factor)
COG0454	KR	Transcription/General_function_prediction_only	"N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)"
COG1221	KT	Transcription/Signal_transduction_mechanisms	Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain
COG1842	KT	Transcription/Signal_transduction_mechanisms	Phage shock protein A
COG1974	KT	Transcription/Signal_transduction_mechanisms	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
COG1983	KT	Transcription/Signal_transduction_mechanisms	Phage shock protein PspC (stress-responsive transcriptional regulator)
COG3279	KT	Transcription/Signal_transduction_mechanisms	"DNA-binding response regulator, LytR/AlgR family"
COG3604	KT	Transcription/Signal_transduction_mechanisms	"Transcriptional regulator containing GAF, AAA-type ATPase, and DNA-binding Fis domains"
COG3829	KT	Transcription/Signal_transduction_mechanisms	"Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding Fis domains"
COG3835	KT	Transcription/Signal_transduction_mechanisms	Sugar diacid utilization regulator
COG4512	KT	Transcription/Signal_transduction_mechanisms	Accessory gene regulator protein AgrB
COG4565	KT	Transcription/Signal_transduction_mechanisms	Response regulator of citrate/malate metabolism
COG4650	KT	Transcription/Signal_transduction_mechanisms	Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain
COG4862	KTN	Transcription/Signal_transduction_mechanisms/Cell_motility	"Negative regulator of genetic competence, sporulation and motility"
COG2002	KV	Transcription/Defense_mechanisms	Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module
COG5503	KV	Transcription/Defense_mechanisms	DNA-dependent RNA polymerase auxiliary subunit epsilon
COG3311	KX	Transcription/Mobilome_prophages_transposons	Predicted DNA-binding transcriptional regulator AlpA
COG1197	LK	Replication_recombination_and_repair/Transcription	Transcription-repair coupling factor (superfamily II helicase)
COG1059	LV	Replication_recombination_and_repair/Defense_mechanisms	Thermostable 8-oxoguanine DNA glycosylase
COG0582	LX	Replication_recombination_and_repair/Mobilome_prophages_transposons	Integrase
COG1372	LX	Replication_recombination_and_repair/Mobilome_prophages_transposons	Intein/homing endonuclease
COG1462	M 	Cell_wall_membrane_envelope_biogenesis/ 	Curli biogenesis system outer membrane secretion channel CsgG
COG3307	M-	Cell_wall_membrane_envelope_biogenesis/-	O-antigen ligase
