sample,trans_sum,trans_prop,biofilm_sum,biofilm_prop,defense_sum,defense_prop,toxin_sum,toxin_prop,station,lower_filter_size,Ocean_DNA,Ocean,Depth,Longitude,Latitude,Salinity_PSU,Temperature,Oxygen_DNA,WATERMASS,Basin,Sequencing_depth_Gbp
SRR3968777,5555053.232300357,0.0015692240769210049,630044.6706818325,0.0001779787205315911,42558747.0,0.012022244915254237,6221101.0,0.001757373163841808,7,0.2,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.54
SRR3968770,8983577.33947763,0.0025964096356871766,584161.4665422217,0.00016883279379833,28192446.0,0.008148105780346821,3319896.0,0.0009595075144508671,7,0.8,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.46
SRR3967905,3281745.625167991,0.0016166234606738875,217444.95556615712,0.00010711574165820549,15804020.0,0.007785231527093597,2461771.0,0.0012126950738916259,10,0.8,North Atlantic,Atlantic,-4002,-26,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,2.03
SRR3968061,1735902.7097137426,0.0011420412563906202,220871.02843400429,0.0001453098871276344,17821995.0,0.011724996710526316,2564328.0,0.0016870578947368422,10,0.2,North Atlantic,Atlantic,-4002,-26,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,1.52
SRR3968063,11037478.576210067,0.0032463172282970786,1156877.773950167,0.00034025816880887266,58501432.0,0.017206303529411764,6893396.0,0.0020274694117647057,13,0.8,North Atlantic,Atlantic,-4003,-26,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.4
SRR3968062,6761382.691162613,0.0019318236260464608,740823.8192139566,0.00021166394834684475,47989388.0,0.013711253714285714,6256335.0,0.0017875242857142858,13,0.2,North Atlantic,Atlantic,-4003,-26,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.5
SRR3968060,9256283.612075418,0.002919963284566378,479405.8618326374,0.00015123213307023263,31523656.0,0.00994437097791798,3955659.0,0.0012478419558359622,17,0.8,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.17
SRR3967700,3809523.018423269,0.0009718170965365482,327026.7175636783,8.342518305195874e-05,23768503.0,0.00606339362244898,3362333.0,0.0008577380102040816,17,0.2,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.92
SRR3967699,7827850.454967367,0.00303405056394084,416954.0253973969,0.0001616100873633321,25503129.0,0.009884933720930232,2994272.0,0.001160570542635659,20,0.8,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,2.58
SRR3967690,6369583.9267127,0.0017498856941518407,628483.3850357035,0.00017266027061420427,44289053.0,0.012167322252747253,6527164.0,0.0017931769230769231,20,0.2,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,3.64
SRR3967558,10430878.679099126,0.002460112896013945,434835.68803107855,0.00010255558679978267,32398496.0,0.007641154716981132,3934155.0,0.0009278667452830188,23,0.8,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,4.24
SRR3967319,7489528.897458391,0.0014743167120981086,711586.1296863843,0.00014007600978078433,56482645.0,0.01111863090551181,7776619.0,0.0015308305118110236,23,0.2,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,5.08
SRR3967025,7772416.615352382,0.002292748264115747,505307.87058060564,0.00014905836890283353,36284993.0,0.010703537758112095,5500934.0,0.0016226943952802359,26,0.8,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.39
SRR3966130,5397005.680076187,0.0016865642750238084,655325.3414066349,0.0002047891691895734,44480502.0,0.013900156875,5922560.0,0.0018508,26,0.2,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.2
