bin,size_fraction,0.8/0.2-upper-size-fraction-sum-abundance-ratio,biofilm_count,percent_biofilm,transposase_count,percent_trans,TA_count,percent_TA,defense_count,percent_defense
deep_MAG_0002,mixed,0.701635756,5,0.157183276,0,0,2,0.06287331,27,0.848789689
deep_MAG_0008,planktonic,0.217005244,3,0.099370653,11,0.364359059,6,0.198741305,35,1.15932428
deep_MAG_0011,particle,24.8088049,2,0.035454707,19,0.336819713,2,0.035454707,26,0.460911186
deep_MAG_0013,planktonic,0.426257628,2,0.091827365,1,0.045913682,0,0,27,1.239669421
deep_MAG_0015,mixed,1.243433062,1,0.161812298,0,0,1,0.161812298,5,0.809061489
deep_MAG_0018,planktonic,0.214480324,1,0.050838841,8,0.406710727,0,0,11,0.55922725
deep_MAG_0019,mixed,0.824940508,1,0.037299515,3,0.111898545,1,0.037299515,28,1.044386423
deep_MAG_0020,planktonic,0.093112363,0,0,0,0,1,0.099700897,8,0.797607178
deep_MAG_0021,mixed,1.579471512,3,0.084483244,9,0.253449732,11,0.309771895,42,1.182765418
deep_MAG_0023,mixed,0.647991301,7,0.192043896,2,0.054869684,8,0.219478738,47,1.289437586
deep_MAG_0027,planktonic,0.09528707,4,0.103707545,4,0.103707545,0,0,61,1.581540057
deep_MAG_0028,planktonic,0.025633055,7,0.150085763,12,0.25728988,5,0.107204117,54,1.15780446
deep_MAG_0029,mixed,1.243682884,3,0.096184675,5,0.160307791,2,0.064123116,28,0.897723629
deep_MAG_0031,planktonic,0.403394344,0,0,1,0.111607143,0,0,9,1.004464286
deep_MAG_0035,planktonic,0.064458734,5,0.207125104,0,0,4,0.165700083,19,0.787075394
deep_MAG_0036,particle,8.414165593,10,0.219010074,20,0.438020149,8,0.17520806,61,1.335961454
deep_MAG_0037,planktonic,0.126291123,1,0.023702299,13,0.308129889,0,0,26,0.616259777
deep_MAG_0038,mixed,1.341107371,1,0.037230082,0,0,2,0.074460164,16,0.59568131
deep_MAG_0039,mixed,0.60622052,0,0,15,0.723938224,2,0.096525097,18,0.868725869
deep_MAG_0040,particle,26.44399249,4,0.112739572,19,0.535512965,5,0.140924464,26,0.732807215
deep_MAG_0042,planktonic,0.075078815,0,0,0,0,0,0,3,0.321543408
deep_MAG_0044,planktonic,0.135441207,4,0.101214575,1,0.025303644,2,0.050607287,46,1.163967611
deep_MAG_0045,mixed,0.589276533,9,0.243572395,6,0.162381597,5,0.135317997,28,0.757780785
deep_MAG_0047,mixed,0.661798852,5,0.195924765,7,0.274294671,6,0.235109718,30,1.175548589
deep_MAG_0048,planktonic,0.069662512,1,0.115874855,0,0,1,0.115874855,10,1.158748552
deep_MAG_0050,planktonic,0.294561446,2,0.079491256,2,0.079491256,1,0.039745628,32,1.271860095
deep_MAG_0052,planktonic,0.219846592,3,0.115251633,6,0.230503265,3,0.115251633,26,0.998847484
deep_MAG_0053,mixed,0.746083015,7,0.199203187,1,0.028457598,0,0,37,1.052931133
deep_MAG_0055,planktonic,0.048685864,1,0.047551117,1,0.047551117,0,0,16,0.760817879
deep_MAG_0058,particle,31.71617568,9,0.161117078,18,0.322234157,6,0.107411386,61,1.092015754
deep_MAG_0060,mixed,0.864020452,2,0.073313783,0,0,0,0,23,0.843108504
deep_MAG_0064,mixed,0.972910605,2,0.051733057,8,0.20693223,14,0.362131402,34,0.879461976
deep_MAG_0067,planktonic,0.077131142,1,0.065359477,0,0,10,0.653594771,12,0.784313725
deep_MAG_0070,planktonic,0.152172829,1,0.052083333,1,0.052083333,0,0,10,0.520833333
deep_MAG_0075,planktonic,0.490479436,2,0.053619303,1,0.026809651,8,0.214477212,29,0.777479893
deep_MAG_0077,planktonic,0.055319201,2,0.115942029,0,0,0,0,19,1.101449275
deep_MAG_0078,planktonic,0.087148709,1,0.070921986,0,0,1,0.070921986,10,0.709219858
deep_MAG_0081,planktonic,0.225707697,11,0.229837025,15,0.313414125,2,0.04178855,42,0.877559549
deep_MAG_0082,planktonic,0.186811477,0,0,0,0,0,0,12,1.08401084
deep_MAG_0084,mixed,1.151055708,6,0.168491997,0,0,4,0.112327998,30,0.842459983
deep_MAG_0093,planktonic,0.104960427,0,0,0,0,0,0,2,0.117439812
deep_MAG_0094,planktonic,0.149791089,6,0.183598531,2,0.06119951,2,0.06119951,28,0.856793146
deep_MAG_0095,planktonic,0.301031439,1,0.062421973,0,0,0,0,13,0.811485643
deep_MAG_0096,mixed,1.594737305,3,0.087006961,42,1.218097448,2,0.05800464,27,0.783062645
deep_MAG_0098,mixed,1.002095659,3,0.089766607,11,0.329144225,5,0.149611011,56,1.675643327
deep_MAG_0101,planktonic,0.331892123,0,0,0,0,1,0.047236656,32,1.511572981
deep_MAG_0102,planktonic,0.061761618,2,0.088028169,0,0,0,0,19,0.836267606
deep_MAG_0103,planktonic,0.145973737,1,0.035174112,8,0.281392895,2,0.070348224,28,0.984875132
deep_MAG_0105,planktonic,0.07563584,0,0,0,0,1,0.223713647,2,0.447427293
deep_MAG_0108,mixed,0.928792626,9,0.255609202,6,0.170406135,8,0.227208179,55,1.562056234
deep_MAG_0111,particle,25.23542842,1,0.031836995,3,0.095510984,0,0,34,1.082457816
deep_MAG_0112,planktonic,0.064062921,0,0,0,0,0,0,3,0.217233888
deep_MAG_0118,particle,11.44544505,5,0.110766504,14,0.310146212,8,0.177226407,41,0.908285335
deep_MAG_0122,particle,8.762864965,1,0.026723677,36,0.962052378,0,0,18,0.481026189
deep_MAG_0123,planktonic,0.094063706,0,0,0,0,0,0,8,0.987654321
deep_MAG_0126,particle,3.141628022,3,0.120627262,21,0.844390832,5,0.201045436,34,1.367108967
deep_MAG_0127,particle,36.36556149,17,0.285666275,20,0.33607797,0,0,46,0.772979331
deep_MAG_0128,planktonic,0.046149255,0,0,1,0.062266501,2,0.124533001,13,0.809464508
deep_MAG_0130,planktonic,0.070519649,0,0,2,0.30075188,0,0,3,0.45112782
deep_MAG_0131,planktonic,0.167456627,0,0,0,0,0,0,12,0.97799511
deep_MAG_0132,planktonic,0.429503728,1,0.0249066,42,1.04607721,2,0.0498132,27,0.672478207
deep_MAG_0134,particle,38.12889483,2,0.053134963,5,0.132837407,4,0.106269926,48,1.275239107
deep_MAG_0137,mixed,1.95797518,4,0.085124495,5,0.106405618,19,0.404341349,32,0.680995957
deep_MAG_0140,particle,3.163885398,6,0.176004693,16,0.469345849,14,0.410677618,52,1.52537401
deep_MAG_0142,planktonic,0.10098378,0,0,0,0,0,0,2,0.182481752
deep_MAG_0144,mixed,0.901321905,15,0.357568534,12,0.286054827,0,0,37,0.882002384
deep_MAG_0146,planktonic,0.146587472,6,0.180072029,1,0.030012005,0,0,25,0.75030012
deep_MAG_0149,planktonic,0.315051543,1,0.036549708,0,0,0,0,40,1.461988304
deep_MAG_0150,planktonic,0.105387797,2,0.164338537,0,0,1,0.082169269,7,0.575184881
deep_MAG_0152,particle,3.429360064,7,0.192149327,15,0.411748559,7,0.192149327,48,1.317595388
deep_MAG_0153,particle,7.891771379,6,0.175489909,8,0.233986546,2,0.058496636,38,1.111436092
deep_MAG_0155,planktonic,0.217042366,0,0,0,0,0,0,4,0.447928331
deep_MAG_0156,planktonic,0.398113117,2,0.105596621,0,0,2,0.105596621,22,1.16156283
deep_MAG_0161,planktonic,0.118147233,2,0.051800052,4,0.103600104,0,0,52,1.346801347
deep_MAG_0162,planktonic,0.162639336,0,0,0,0,0,0,12,0.660066007
deep_MAG_0165,mixed,1.703628134,8,0.232355504,12,0.348533256,5,0.14522219,46,1.336044148
deep_MAG_0166,particle,3.077073975,6,0.120409392,3,0.060204696,2,0.040136464,53,1.063616295
deep_MAG_0167,planktonic,0.200916933,6,0.170212766,6,0.170212766,6,0.170212766,31,0.879432624
deep_MAG_0169,mixed,0.520882044,7,0.241545894,7,0.241545894,1,0.034506556,30,1.035196687
deep_MAG_0173,planktonic,0.130387072,2,0.055632823,11,0.305980529,3,0.083449235,32,0.890125174
deep_MAG_0175,mixed,0.676990835,3,0.113335852,3,0.113335852,1,0.037778617,22,0.831129581
deep_MAG_0176,mixed,1.69263716,3,0.121852153,5,0.203086921,0,0,10,0.406173842
deep_MAG_0177,particle,23.16158692,7,0.152538679,28,0.610154718,6,0.13074744,45,0.980605796
deep_MAG_0178,planktonic,0.063709926,1,0.03003003,11,0.33033033,1,0.03003003,22,0.660660661
deep_MAG_0181,planktonic,0.321341736,0,0,0,0,2,0.168776371,16,1.35021097
deep_MAG_0182,mixed,0.583225984,8,0.305576776,2,0.076394194,2,0.076394194,29,1.107715814
deep_MAG_0183,planktonic,0.062498847,0,0,0,0,0,0,2,0.19436346
deep_MAG_0184,mixed,1.516826873,5,0.150920616,1,0.030184123,4,0.120736493,37,1.116812557
deep_MAG_0185,particle,3.31710396,9,0.233887734,8,0.207900208,6,0.155925156,38,0.987525988
deep_MAG_0186,mixed,1.084836492,4,0.138360429,4,0.138360429,1,0.034590107,26,0.899342788
deep_MAG_0188,planktonic,0.347415434,0,0,0,0,0,0,12,0.747663551
deep_MAG_0191,planktonic,0.085608808,0,0,2,0.10487677,0,0,18,0.943890928
deep_MAG_0192,planktonic,0.05776154,0,0,0,0,0,0,2,0.298953662
