sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_X000000368,893310546.4290469,407529708,90,9925672.738100521,0.024355703506406756
TARA_Y200000002,812152757.675766,363703213,91,8924755.578854572,0.02453856677602288
TARA_A200000159,371220761.266867,155740903,93,3991621.088891043,0.0256298827860979
TARA_A200000113,487379482.8188355,180239988,87,5602063.020906155,0.031081132899909842
TARA_X000001036,810393751.7856786,370409251,93,8713911.309523426,0.023525090925775573
TARA_X000000950,1004722696.4617093,432720305,90,11163585.516241213,0.0257986172297628
TARA_S200000501,882999695.088297,374072229,90,9811107.7232033,0.026227843081083946
TARA_A100000164,877276437.8569548,374584396,91,9640400.416010492,0.02573625735336421
TARA_E500000081,354038676.4442177,135522562,98,3612639.5555532416,0.0266571078810718
TARA_E500000075,325414895.09104633,134566031,93,3499084.893452111,0.026002735366788897
TARA_E500000331,729765244.7851876,349127221,92,7932230.921578126,0.022720173176007167
TARA_E500000178,836750011.5632541,402302512,91,9195055.072123671,0.022856071731721304
TARA_A100001011,815667509.7669117,314948276,92,8865951.193118606,0.028150499204887235
TARA_A100001015,966140261.2201427,425125871,89,10855508.553035311,0.02553481049624315
TARA_A100001388,633947768.9843242,347841493,91,6966458.999827739,0.020027682550878823
TARA_A100001037,619608469.337154,347981762,90,6884538.5481906,0.01978419359860187
TARA_A100001035,615287198.866861,371335866,93,6615991.385665172,0.017816731405269567
TARA_A100001234,460883981.08103216,226154770,90,5120933.123122579,0.022643489337512444
TARA_B100000029,523718201.43448055,393164825,89,5884474.17342113,0.014966939561343337
TARA_B100000003,416190293.77198184,217040159,91,4573519.71178002,0.021072227982380072
TARA_B100000035,600902723.979392,354661545,91,6603326.637136176,0.018618671040685215
TARA_Y100000022,385342181.1469752,231266779,92,4188501.968988861,0.018111126842774338
TARA_B100000315,648707259.4386808,353519208,90,7207858.438207564,0.02038887357489091
TARA_B100000073,648446025.4350967,371929687,88,7368704.834489736,0.019812091080779297
TARA_Y100000294,442630233.7945119,226744396,89,4973373.413421482,0.02193383166753758
TARA_Y100000287,400628056.3391025,235650989,92,4354652.786294593,0.018479246808060682
TARA_B100000085,507477960.3249693,310834821,92,5516064.786140971,0.017745967998035107
TARA_Y100000031,487099061.742453,243015035,90,5412211.797138367,0.022271098564491564
TARA_B100000287,652692787.6468704,404332442,90,7252142.084965226,0.017936087564710494
TARA_B100000282,665414351.5019891,388219450,90,7393492.794466546,0.01904462229923448
TARA_B100000131,617387599.1414657,369649573,90,6859862.212682952,0.018557744181901037
TARA_B100000123,616736472.2365322,351029466,90,6852627.469294802,0.01952151637690382
TARA_B100000161,693689009.5400596,355804280,91,7622956.148791864,0.02142457687353245
TARA_B100000242,830116466.2095737,422880216,88,9433141.661472429,0.022306888108173942
TARA_B100000214,610091497.9537132,357543306,92,6631429.325583839,0.01854720593086377
TARA_B100000212,722123550.1969053,367066636,92,7849169.023879405,0.021383498945623063
TARA_B100000378,618589158.6652956,359789956,87,7110220.214543628,0.019762142038627747
TARA_B000000609,506511801.44498885,296031939,92,5505563.059184661,0.0185978684522438
TARA_B000000565,542882798.9595723,295821463,85,6386856.458347909,0.02159024025362186
TARA_B000000557,542860650.2708262,311817516,90,6031785.003009181,0.019343958223979888
TARA_B000000532,492518678.93750334,271699742,93,5295899.773521542,0.019491736482847088
TARA_B100000405,600610969.1672689,354436678,90,6673455.212969654,0.01882834262702816
TARA_B100000408,285782017.44787955,215982851,91,3140461.730196479,0.014540329084722003
TARA_B100000401,1153751443.3397763,574967451,93,12405929.498277165,0.021576750956424428
TARA_B000000441,731432077.1968364,386425592,91,8037715.134031169,0.02080016256798843
TARA_B000000460,510868425.8874896,394236908,90,5676315.843194329,0.014398235497510369
TARA_B000000437,476526538.13810223,253992444,90,5294739.312645581,0.020846050493713037
TARA_B000000477,262249232.93922916,132309700,95,2760518.24146557,0.020864065457525564
TARA_B000000475,525919570.26465356,280087895,90,5843550.780718373,0.0208632750112902
TARA_B100000497,268417368.90752506,147953808,96,2796014.259453386,0.01889788642312867
TARA_B100000482,416554055.0136627,221316099,88,4733568.80697344,0.021388271473976414
TARA_B100000470,482537888.01380867,344191636,92,5244977.0436283555,0.015238537184059741
TARA_B100000475,447827851.8980688,239868614,87,5147446.573541021,0.021459441849032493
TARA_B100000446,796844120.0235695,342978924,90,8853823.555817438,0.025814482862560495
TARA_B100000459,217426055.59645963,216710980,86,2528209.9487960422,0.01166627527961916
TARA_B100000427,481565051.7222228,297613242,92,5234402.7361111175,0.0175879362790958
TARA_B100000508,386532139.7320654,252526354,90,4294801.552578504,0.017007339964915123
TARA_B100000424,434636315.3561106,372821827,90,4829292.3928456735,0.012953352092353952
TARA_B100000519,381786127.2027599,366259362,88,4338478.718213181,0.011845372892374506
TARA_B100000749,515855588.10610366,393423759,90,5731728.756734485,0.014568842439265303
TARA_B100000513,349330701.8833527,388975984,88,3969667.0668562804,0.010205429718396908
TARA_B100000530,627861065.5885886,395736688,90,6976234.062095429,0.017628474371058134
TARA_B100000745,482611332.7280102,402876939,87,5547256.698023105,0.013769109524591342
TARA_B100000524,575083061.3873092,398525486,88,6535034.78849215,0.016398034800946582
TARA_B100000767,839698757.6505394,385066279,90,9329986.196117105,0.024229559182244325
TARA_B100000768,486878026.83746266,240625766,91,5350307.987224865,0.02223497539837386
