sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000164,292779583.1,374584396,91,3217358.056,0.008589141
TARA_A100001011,261764780.5,314948276,92,2845269.353,0.009034085
TARA_A100001015,354421203.8,425125871,89,3982260.716,0.009367251
TARA_A100001035,219299785,371335866,93,2358062.204,0.006350214
TARA_A100001037,231673742.1,347981762,90,2574152.69,0.007397378
TARA_A100001234,164756041.1,226154770,90,1830622.678,0.008094557
TARA_A100001388,219116642.7,347841493,91,2407875.194,0.006922335
TARA_A200000113,158832503.6,180239988,87,1825660.961,0.010129056
TARA_A200000159,123753569.7,155740903,93,1330683.545,0.008544214
TARA_B000000437,171123163.6,253992444,90,1901368.484,0.007485925
TARA_B000000441,253259104.3,386425592,91,2783067.08,0.007202078
TARA_B000000460,211614198.3,394236908,90,2351268.87,0.005964101
TARA_B000000475,194853848.5,280087895,90,2165042.761,0.007729869
TARA_B000000477,96062603.88,132309700,95,1011185.304,0.007642564
TARA_B000000532,179360440.2,271699742,93,1928606.884,0.007098302
TARA_B000000557,199618391.5,311817516,90,2217982.128,0.007113077
TARA_B000000565,187088302.7,295821463,85,2201038.856,0.00744043
TARA_B000000609,185788153.4,296031939,92,2019436.45,0.006821684
TARA_B100000003,152909455.2,217040159,91,1680323.684,0.007741994
TARA_B100000029,208082786.6,393164825,89,2338008.838,0.005946638
TARA_B100000035,232806175,354661545,91,2558309.615,0.007213383
TARA_B100000073,233179349.7,371929687,88,2649765.337,0.007124372
TARA_B100000085,175666870.6,310834821,92,1909422.507,0.006142885
TARA_B100000123,234230427.5,351029466,90,2602560.305,0.007414079
TARA_B100000131,223630312.2,369649573,90,2484781.246,0.006721991
TARA_B100000161,247597792.7,355804280,91,2720854.864,0.007647055
TARA_B100000212,265792641.8,367066636,92,2889050.455,0.007870643
TARA_B100000214,233982516.4,357543306,92,2543288.222,0.007113231
TARA_B100000242,306682641.3,422880216,88,3485030.015,0.008241175
TARA_B100000282,250680274.2,388219450,90,2785336.38,0.007174644
TARA_B100000287,232681164.1,404332442,90,2585346.268,0.00639411
TARA_B100000315,221076620.6,353519208,90,2456406.896,0.00694844
TARA_B100000378,243847527.6,359789956,87,2802845.145,0.007790226
