sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_X000000368,207788735.58841258,407529708,90,2308763.72876014,0.005665264846802629
TARA_Y200000002,189577754.20338666,363703213,91,2083272.0242130402,0.005727945065508784
TARA_A200000159,101727149.93356505,155740903,93,1093840.3218662909,0.007023462050083856
TARA_A200000113,111119349.42282018,180239988,87,1277233.9014117261,0.007086295974518851
TARA_X000001036,212754114.94002798,370409251,93,2287678.655269118,0.006176084018131389
TARA_X000000950,236058638.7373866,432720305,90,2622873.7637487403,0.006061360498783944
TARA_S200000501,192650424.01047024,374072229,90,2140560.2667830028,0.005722318046718734
TARA_A100000164,200045719.88344458,374584396,91,2198304.6141037866,0.0058686497290821125
TARA_E500000081,84268701.4617392,135522562,98,859884.7087932571,0.006344956117294013
TARA_E500000075,84412702.11378272,134566031,93,907663.4635890615,0.006745115812987466
TARA_E500000331,178748476.8999957,349127221,92,1942918.2271738665,0.005565072301176615
TARA_E500000178,251854810.3230904,402302512,91,2767635.278275719,0.006879487936868062
TARA_A100001011,189055905.43708375,314948276,92,2054955.493881345,0.006524739617502605
TARA_A100001015,234166717.86194858,425125871,89,2631086.717549984,0.006188959310711966
TARA_A100001388,141042163.84966943,347841493,91,1549913.8884579057,0.004455805071127342
TARA_A100001037,183787231.56439212,347981762,90,2042080.350715468,0.00586835453380878
TARA_A100001035,139433546.8670484,371335866,93,1499285.4501833164,0.004037545487683423
TARA_A100001234,113052974.88844705,226154770,90,1256144.1654271893,0.005554356273038987
TARA_B100000029,166405836.03345564,393164825,89,1869728.4947579287,0.004755584365305133
TARA_B100000003,113361090.02515171,217040159,91,1245726.2640126562,0.00573961182922215
TARA_B100000035,169918341.91900948,354661545,91,1867234.5265825216,0.005264835031896457
TARA_Y100000022,109655369.87785147,231266779,92,1191906.1943244725,0.005153814998757225
TARA_B100000315,214760582.08818248,353519208,90,2386228.689868694,0.0067499265552458864
TARA_B100000073,162087520.72871298,371929687,88,1841903.6446444655,0.004952289932813203
TARA_Y100000294,146357410.1946515,226744396,89,1644465.283085972,0.00725250684072462
TARA_Y100000287,104483591.56707466,235650989,92,1135691.212685594,0.004819378087505477
TARA_B100000085,129985731.69968596,310834821,92,1412888.3880400648,0.004545463675834648
TARA_Y100000031,156624718.88431385,243015035,90,1740274.654270154,0.007161181011990283
TARA_B100000287,172291322.89617535,404332442,90,1914348.032179726,0.004734589247181224
TARA_B100000282,162021543.7740926,388219450,90,1800239.3752676956,0.004637169454718705
TARA_B100000131,158715482.00674146,369649573,90,1763505.3556304607,0.00477074906733481
TARA_B100000123,152260607.86237556,351029466,90,1691784.5318041728,0.004819494360636303
TARA_B100000161,149795360.89156482,355804280,91,1646102.8669402727,0.004626427953425048
TARA_B100000242,186521969.31082094,422880216,88,2119567.833077511,0.005012218006144584
TARA_B100000214,148093342.03459433,357543306,92,1609710.23950646,0.004502140614839143
TARA_B100000212,160923063.1812622,367066636,92,1749163.7302311107,0.004765248482651828
TARA_B100000378,187311368.60950002,359789956,87,2153004.236890805,0.005984058757023236
TARA_B000000609,118657974.1313867,296031939,92,1289760.588384638,0.0043568291743839105
TARA_B000000565,126888984.03657621,295821463,85,1492811.5769008966,0.0050463261244195
TARA_B000000557,135086354.64043513,311817516,90,1500959.4960048348,0.004813583006045224
TARA_B000000532,117846443.84310122,271699742,93,1267166.0628290453,0.004663847133241096
TARA_B100000405,161689127.21458265,354436678,90,1796545.8579398072,0.005068735741676845
TARA_B100000408,96713477.2218918,215982851,91,1062785.463976833,0.004920693745156799
TARA_B100000401,263025039.38261697,574967451,93,2828226.2299206126,0.004918932758718219
TARA_B000000441,191546115.51126578,386425592,91,2104902.368255668,0.0054471091248419895
TARA_B000000460,173905289.45796403,394236908,90,1932280.9939773781,0.0049013193710858195
TARA_B000000437,128292962.2611974,253992444,90,1425477.358457749,0.005612282538837057
TARA_B000000477,71056499.91344167,132309700,95,747963.1569835965,0.005653124124562269
TARA_B000000475,146917610.89183375,280087895,90,1632417.8987981528,0.005828234379062161
TARA_B100000497,75149174.52217242,147953808,96,782803.9012726294,0.005290866871588931
TARA_B100000482,103754452.7395849,221316099,88,1179027.8720407374,0.005327347975895497
TARA_B100000470,169599573.39996642,344191636,92,1843473.6239126786,0.005355951252437403
TARA_B100000475,112575562.93960221,239868614,87,1293971.9878115198,0.005394503124996252
TARA_B100000446,323468010.1666552,342978924,90,3594089.0018517245,0.010479037487013997
TARA_B100000459,67166583.4061153,216710980,86,781006.7837920383,0.003603909611742046
TARA_B100000427,130764870.41613683,297613242,92,1421357.287131922,0.004775853646767243
TARA_B100000508,121121905.01675822,252526354,90,1345798.9446306468,0.005329340575006468
TARA_B100000424,117761754.42206685,372821827,90,1308463.938022965,0.0035096226756674443
TARA_B100000519,130433599.90021713,366259362,88,1482199.9988661038,0.004046859009343504
TARA_B100000749,205039424.55176508,393423759,90,2278215.8283529454,0.005790742872630998
TARA_B100000513,101934554.67846785,388975984,88,1158347.2122553166,0.0029779401811483473
TARA_B100000530,173893517.03354597,395736688,90,1932150.1892616218,0.004882413604425834
TARA_B100000745,165295356.50369808,402876939,87,1899946.6264792883,0.004715947830608612
TARA_B100000524,147415286.8749434,398525486,88,1675173.7144879932,0.004203429324688141
TARA_B100000767,211169944.67519775,385066279,90,2346332.7186133084,0.006093321712580572
TARA_B100000768,123873616.6891833,240625766,91,1361248.5350459702,0.0056571187602825965
TARA_B100000780,188784202.5437479,385331682,89,2121170.8150982913,0.005504792141898914
TARA_B100000795,194335641.28464344,363905524,88,2208359.5600527665,0.006068496943324132
TARA_B100000809,174947142.24301848,354624236,89,1965698.2274496458,0.0055430453643603925
TARA_B100000787,188815808.92294037,351516889,90,2097953.432477115,0.005968286298975283
TARA_B100001059,246256610.21293187,304717891,88,2798370.5706014987,0.009183479714361434
TARA_B100001063,190106104.71630198,258327423,93,2044151.6636161504,0.007913026189310727
TARA_B100001057,260639701.43798387,418953169,93,2802577.434817031,0.006689476634122395
TARA_B100000989,158768671.9137171,336783339,91,1744710.6803705175,0.005180513636900897
TARA_B100001029,88422005.48787893,229203258,92,961108.7553030319,0.004193259570957023
TARA_B100001013,152678282.28707474,389577142,89,1715486.3178323004,0.0044034573204818584
