sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000164,1310212572,374584396,91,14397940.36,0.038437107
TARA_A100001011,1167910162,314948276,92,12694675.68,0.040307176
TARA_A100001015,1461540462,425125871,89,16421802.95,0.038628096
TARA_A100001035,927462676.6,371335866,93,9972716.952,0.026856326
TARA_A100001037,1110571167,347981762,90,12339679.64,0.035460708
TARA_A100001234,726021019.7,226154770,90,8066900.219,0.035669821
TARA_A100001388,957787962,347841493,91,10525142.44,0.030258444
TARA_A200000113,724811320.5,180239988,87,8331164.603,0.046222621
TARA_A200000159,534949230.2,155740903,93,5752142.261,0.03693405
TARA_B000000437,793981028.3,253992444,90,8822011.425,0.034733362
TARA_B000000441,1194087003,386425592,91,13121835.2,0.033956952
TARA_B000000460,983773159.3,394236908,90,10930812.88,0.027726508
TARA_B000000475,915931373.5,280087895,90,10177015.26,0.036335077
TARA_B000000477,453167207.9,132309700,95,4770181.136,0.036053148
TARA_B000000532,773142752.6,271699742,93,8313362.932,0.030597611
TARA_B000000557,837477866.9,311817516,90,9305309.632,0.029842165
TARA_B000000565,799474965.1,295821463,85,9405587.824,0.031794812
TARA_B000000609,790212237,296031939,92,8589263.446,0.029014651
TARA_B100000003,670183571.2,217040159,91,7364654.628,0.033932221
TARA_B100000029,983123612.6,393164825,89,11046332.73,0.028095933
TARA_B100000035,976886609.1,354661545,91,10735017.68,0.030268344
TARA_B100000073,973526705.1,371929687,88,11062803.47,0.029744341
TARA_B100000085,724857496.3,310834821,92,7878885.83,0.025347501
TARA_B100000123,952821368.9,351029466,90,10586904.1,0.030159588
TARA_B100000131,1024230478,369649573,90,11380338.65,0.03078683
TARA_B100000161,1031178472,355804280,91,11331631.56,0.031847935
TARA_B100000212,1147470243,367066636,92,12472502.64,0.033978851
TARA_B100000214,1014893699,357543306,92,11031453.25,0.030853474
TARA_B100000242,1262340344,422880216,88,14344776.63,0.033921607
TARA_B100000282,995649598.5,388219450,90,11062773.32,0.028496185
TARA_B100000287,1075244027,404332442,90,11947155.86,0.029547854
TARA_B100000315,1328801854,353519208,90,14764465.04,0.041764251
TARA_B100000378,1006607875,359789956,87,11570205.46,0.032158223
TARA_B100000401,1813150561,574967451,93,19496242.59,0.033908428
TARA_B100000405,940065486,354436678,90,10445172.07,0.029469783
TARA_B100000408,558502017.7,215982851,91,6137384.81,0.028416075
TARA_B100000424,658435465.1,372821827,90,7315949.613,0.019623179
TARA_B100000427,808839085.7,297613242,92,8791729.192,0.029540786
TARA_B100000446,1144126287,342978924,90,12712514.3,0.037065001
TARA_B100000459,341161899.2,216710980,86,3966998.828,0.018305481
TARA_B100000470,945623678.2,344191636,92,10278518.24,0.029862777
TARA_B100000475,598628144.1,239868614,87,6880783.265,0.028685634
TARA_B100000482,564314590.8,221316099,88,6412665.805,0.028975144
TARA_B100000497,403371090.5,147953808,96,4201782.193,0.028399284
TARA_B100000508,591477779.7,252526354,90,6571975.33,0.026024909
TARA_B100000513,552634616.6,388975984,88,6279938.825,0.016144798
TARA_B100000519,575389896.4,366259362,88,6538521.55,0.017852162
TARA_B100000524,863752276.4,398525486,88,9815366.777,0.024629207
TARA_B100000530,994901394.2,395736688,90,11054459.94,0.027933877
TARA_B100000575,1052029632,341481107,92,11435104.7,0.033486786
TARA_B100000579,1053140975,337657879,93,11324096.51,0.03353719
TARA_B100000586,1044348957,361874453,90,11603877.29,0.032066031
TARA_B100000609,909937081.2,284445761,90,10110412.01,0.035544253
TARA_B100000614,878917170.2,278182539,92,9553447.502,0.034342369
TARA_B100000674,1872198598,572835473,89,21035939.3,0.03672248
TARA_B100000676,1341145764,351412096,94,14267508.13,0.040600504
TARA_B100000678,1085875041,368812914,92,11802989.57,0.032002647
TARA_B100000683,803133129.5,305178642,90,8923701.439,0.029240911
TARA_B100000686,1095176117,345426075,94,11650809.75,0.033728808
TARA_B100000700,905700410,283044306,93,9738714.086,0.034407031
TARA_B100000745,901799685.6,402876939,87,10365513.63,0.025728734
TARA_B100000749,931515714.1,393423759,90,10350174.6,0.026307955
TARA_B100000767,1305598456,385066279,90,14506649.51,0.037673124
TARA_B100000768,737895667.1,240625766,91,8108743.594,0.033698567
TARA_B100000780,1039022685,385331682,89,11674412.19,0.030297047
TARA_B100000787,1110739549,351516889,90,12341550.55,0.03510941
TARA_B100000795,941429584.5,363905524,88,10698063.46,0.029397914
TARA_B100000809,885743259.8,354624236,89,9952171.459,0.028063991
TARA_B100000886,835654559,309852319,90,9285050.655,0.029966052
TARA_B100000900,965875211.8,318046581,93,10385754.97,0.032654823
TARA_B100000902,1136606676,387758814,101,11253531.45,0.029021987
TARA_B100000925,1096467127,341004970,89,12319855.36,0.036128082
TARA_B100000927,933659560.9,317708836,90,10373995.12,0.032652523
TARA_B100000929,1026740574,350388824,90,11408228.6,0.032558768
TARA_B100000941,859451452.3,355229985,92,9341863.612,0.026298072
TARA_B100000945,848843621.4,360151130,91,9327951.883,0.025900104
TARA_B100000949,858213473.1,279762247,93,9228101.861,0.032985515
TARA_B100000953,1101424168,367256827,90,12238046.32,0.033322856
TARA_B100000959,1260298264,345650351,92,13698894.17,0.03963223
TARA_B100000963,1310422576,354642203,93,14090565.33,0.039731778
TARA_B100000965,1025625230,315554996,93,11028228.28,0.034948673
TARA_B100000989,994297437.6,336783339,91,10926345.47,0.032443248
TARA_B100001013,937921689.2,389577142,89,10538445.95,0.027050986
TARA_B100001027,585538905.5,230668318,92,6364553.32,0.027591797
TARA_B100001029,587525012.5,229203258,92,6386141.44,0.02786235
TARA_B100001057,1539616798,418953169,93,16555019.34,0.039515203
TARA_B100001059,1181010378,304717891,88,13420572.47,0.044042614
TARA_B100001063,910916390.9,258327423,93,9794799.903,0.037916222
TARA_B100001079,1024720468,343859596,92,11138265.96,0.032391901
TARA_B100001093,1425315178,462240205,92,15492556.29,0.033516246
TARA_B100001094,862060643.1,324616652,93,9269469.281,0.028555126
TARA_B100001105,1089532534,392702028,92,11842744.94,0.030157076
TARA_B100001109,996237604.7,298259247,94,10598272.39,0.03553376
TARA_B100001113,1184261035,367914954,92,12872402.55,0.03498744
TARA_B100001115,895449307,260313225,94,9526056.458,0.036594593
TARA_B100001121,1124228954,307957576,94,11959882.49,0.038836137
TARA_B100001123,1047608505,328380341,91,11512181.37,0.035057462
TARA_B100001142,952549386.4,317878065,92,10353797.68,0.032571602
TARA_B100001146,913537469.6,317444967,92,9929755.104,0.031280241
TARA_B100001167,680251402.9,283448214,91,7475290.142,0.026372684
TARA_B100001173,975232979.2,302028834,91,10716845.93,0.035482857
TARA_B100001175,1071672601,349395064,92,11648615.23,0.033339381
TARA_B100001179,832492572.6,315718849,92,9048832.311,0.028661046
TARA_B100001245,922065428.2,360434425,89,10360285.71,0.028743885
TARA_B100001248,811603215.4,304975519,89,9119137.252,0.029901211
TARA_B100001250,1015239057,433149549,90,11280433.96,0.026042816
TARA_B100001287,1072634803,331881103,92,11659073.95,0.035130274
TARA_B100001540,1044090974,310522687,94,11107350.79,0.035769853
TARA_B100001559,963383696.9,316857199,90,10704263.3,0.03378261
TARA_B100001564,1097609192,341045048,92,11930534.7,0.034982284
TARA_B100001741,965065112.4,304342528,91,10605111.13,0.034845972
TARA_B100001750,785903630.6,300140171,91,8636303.633,0.028774234
TARA_B100001758,978826435.7,314545851,92,10639417.78,0.033824696
TARA_B100001765,807951255,329290893,90,8977236.166,0.027262327
TARA_B100001769,1019289692,333852872,92,11079235.78,0.033185983
TARA_B100001778,982793956.4,321040924,91,10799933.59,0.033640364
TARA_B100001939,921376997.6,311469542,91,10125021.95,0.032507262
TARA_B100001964,1286598882,359534838,93,13834396.59,0.038478598
TARA_B100001971,1279580693,372718152,93,13758932.18,0.036915112
TARA_B100001989,820320300.4,311888634,92,8916525.004,0.02858881
TARA_B100001996,787680235.8,342491361,90,8752002.62,0.025553937
TARA_B100002003,1042302644,319703262,92,11329376.57,0.035437163
TARA_B100002019,995934723.3,335660959,94,10595050.25,0.031564738
TARA_B100002049,907383622.5,300762214,91,9971248.599,0.033153262
TARA_B100002051,987491824,288959000,92,10733606.78,0.037145778
