sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_X000000368,87549327.13088915,407529708,90,972770.3014543238,0.0023869923648715294
TARA_Y200000002,84213251.63270397,363703213,91,925420.3476121316,0.0025444381972290456
TARA_A200000159,51351829.39596014,155740903,93,552170.2085587111,0.003545441164924484
TARA_A200000113,57125689.90477364,180239988,87,656617.1253422258,0.003643015807026273
TARA_X000001036,83395477.29892486,370409251,93,896725.5623540308,0.0024209048773299424
TARA_X000000950,123152190.30356471,432720305,90,1368357.670039608,0.00316222200397924
TARA_S200000501,92339619.54041648,374072229,90,1025995.7726712942,0.002742774504843807
TARA_A100000164,87347928.12688796,374584396,91,959867.3420537139,0.0025624861908388565
TARA_E500000081,35080002.518422656,135522562,98,357959.20937165973,0.002641325577741511
TARA_E500000075,32859795.521220326,134566031,93,353331.1346367777,0.002625708226742436
TARA_E500000331,53407382.56486649,349127221,92,580515.0278789836,0.0016627607157534807
TARA_E500000178,79021357.81805988,402302512,91,868366.5694292294,0.002158491541880378
TARA_A100001011,89606273.92500857,314948276,92,973981.2383153104,0.00309251173140351
TARA_A100001015,134569393.0369194,425125871,89,1512015.6521002178,0.0035566305304910923
TARA_A100001388,39627616.02948893,347841493,91,435468.30801636184,0.0012519159352169691
TARA_A100001037,60267281.8864005,347981762,90,669636.46540445,0.001924343567765629
TARA_A100001035,35416079.66651991,371335866,93,380818.06093032163,0.0010255353597605937
TARA_A100001234,36653034.98469831,226154770,90,407255.9442744257,0.0018007842340642458
TARA_B100000029,56618066.06700259,393164825,89,636158.0456966583,0.0016180441515760173
TARA_B100000003,32583374.732927762,217040159,91,358059.0629992062,0.0016497364572940908
TARA_B100000035,55469148.28458584,354661545,91,609551.0800503938,0.0017186838794445386
TARA_Y100000022,33024122.60514873,231266779,92,358957.85440379055,0.0015521375614600942
TARA_B100000315,87344475.26118076,353519208,90,970494.1695686751,0.0027452374513372273
TARA_B100000073,51668252.25884234,371929687,88,587139.2302141176,0.0015786296462377244
TARA_Y100000294,42821962.85749923,226744396,89,481145.65008426097,0.0021219737227122517
TARA_Y100000287,35466596.43470163,235650989,92,385506.48298588727,0.0016359213454686043
TARA_B100000085,40747604.94198788,310834821,92,442908.7493694335,0.0014249006850150599
TARA_Y100000031,51894807.48140525,243015035,90,576608.9720156139,0.002372729621505163
TARA_B100000287,51554509.053674445,404332442,90,572827.8783741605,0.0014167249987181599
TARA_B100000282,46853775.53214003,388219450,90,520597.505912667,0.001340987696295657
TARA_B100000131,41266439.942495346,369649573,90,458515.9993610594,0.0012404072203839917
TARA_B100000123,42187732.02869642,351029466,90,468752.57809662685,0.0013353653282674191
TARA_B100000161,45564092.53801532,355804280,91,500704.31360456394,0.0014072464603420846
TARA_B100000242,56472311.02909225,422880216,88,641730.8071487756,0.0015175238350445214
TARA_B100000214,45547664.63138655,357543306,92,495083.31121072336,0.0013846806887519336
TARA_B100000212,56780520.086370975,367066636,92,617179.5661562063,0.0016813829033380367
TARA_B100000378,134512338.03369248,359789956,87,1546118.8279734768,0.004297281795085677
TARA_B000000609,38577300.11550743,296031939,92,419318.4795163851,0.0014164636455540871
TARA_B000000565,48712437.00143425,295821463,85,573087.4941345206,0.0019372748965632714
TARA_B000000557,46563790.02643095,311817516,90,517375.44473812165,0.0016592250857970455
TARA_B000000532,42703443.99199124,271699742,93,459176.81711818534,0.0016900156538175342
TARA_B100000405,59966071.94488909,354436678,90,666289.6882765455,0.0018798553581876915
TARA_B100000408,35290920.019267045,215982851,91,387812.30790403346,0.001795569908020306
TARA_B100000401,93882090.14806177,574967451,93,1009484.8403017394,0.001755725195480221
TARA_B000000441,80086826.75124417,386425592,91,880075.0192444414,0.002277476019870965
TARA_B000000460,67816444.30076289,394236908,90,753516.0477862543,0.0019113280174829657
TARA_B000000437,44624587.936454795,253992444,90,495828.75484949775,0.0019521397843216854
TARA_B000000477,29741505.672036294,132309700,95,313068.48075827677,0.002366179356149071
TARA_B000000475,59386919.53515397,280087895,90,659854.6615017108,0.0023558842537686636
TARA_B100000497,31739776.645015478,147953808,96,330622.6733855779,0.0022346344298592026
TARA_B100000482,39855917.86845686,221316099,88,452908.1575961007,0.002046431143701393
TARA_B100000470,55402813.68446486,344191636,92,602204.4965702702,0.001749619786142247
TARA_B100000475,44318069.50033304,239868614,87,509403.0977049775,0.0021236754955568198
TARA_B100000446,142880345.63491914,342978924,90,1587559.395943546,0.004628737467097383
TARA_B100000459,25914875.912355278,216710980,86,301335.76642273576,0.0013904960718775568
TARA_B100000427,52969822.02405105,297613242,92,575758.9350440331,0.0019345877595192257
TARA_B100000508,45714993.84115735,252526354,90,507944.3760128594,0.002011450955383688
TARA_B100000424,36207323.81135557,372821827,90,402303.5979039508,0.0010790773736108288
TARA_B100000519,58804275.27910816,366259362,88,668230.4008989563,0.0018244732291620067
TARA_B100000749,58105672.641080275,393423759,90,645618.584900892,0.001641025917046591
TARA_B100000513,29671764.67855442,388975984,88,337179.144074482,0.0008668379487266289
TARA_B100000530,70427705.3894605,395736688,90,782530.0598828945,0.0019774008415486977
TARA_B100000745,43658277.894004695,402876939,87,501819.286137985,0.0012455895027984837
TARA_B100000524,44885430.244037054,398525486,88,510061.7073186029,0.0012798722421446414
TARA_B100000767,114507102.27894102,385066279,90,1272301.136432678,0.0033041094632767828
TARA_B100000768,69455977.05202208,240625766,91,763252.4950771658,0.003171948323593766
TARA_B100000780,82609020.24984264,385331682,89,928191.238762277,0.00240881111551652
TARA_B100000795,68548962.40002559,363905524,88,778965.4818184726,0.002140570643875339
TARA_B100000809,66537344.55723962,354624236,89,747610.6130026923,0.002108176873175392
TARA_B100000787,83972673.22852094,351516889,90,933029.7025391216,0.0026542955167628422
TARA_B100001059,141246726.90620133,304717891,88,1605076.4421159243,0.005267417796994153
TARA_B100001063,96230416.46687414,258327423,93,1034735.6609341305,0.004005520006035637
TARA_B100001057,126615536.35370801,418953169,93,1361457.380147398,0.0032496648334157797
TARA_B100000989,66578569.34074596,336783339,91,731632.6301180875,0.002172413374992067
TARA_B100001029,35293583.093650684,229203258,92,383625.90319185524,0.001673736693532756
TARA_B100001013,42977383.91153549,389577142,89,482891.9540621965,0.001239528457915009
TARA_B100001027,35926679.20336606,230668318,92,390507.3826452833,0.0016929389611506306
TARA_B100000886,52205522.32643868,309852319,90,580061.359182652,0.0018720575048613787
TARA_B100000965,78170201.38094415,315554996,93,840539.7997950984,0.002663687187494564
TARA_B100000959,98998681.5802145,345650351,92,1076072.6258718967,0.003113182505843591
TARA_B100000963,124277435.64626488,354642203,93,1336316.512325429,0.003768069623471826
TARA_B100000902,72971975.56922302,387758814,101,722494.8076160694,0.001863258245926215
TARA_B100000953,75948389.00181606,367256827,90,843870.9889090674,0.0022977680110193494
TARA_B100000900,72006153.37466119,318046581,93,774259.7137060344,0.0024344223769726184
TARA_B100000927,79144274.38222557,317708836,90,879380.8264691731,0.002767882812265168
TARA_B100000929,85736548.59967475,350388824,90,952628.3177741638,0.002718774836762955
TARA_B100000925,93096875.19536841,341004970,89,1046032.3055659372,0.0030674987099628993
TARA_B100001113,86560860.59443024,367914954,92,940878.9195046765,0.0025573272009614388
TARA_B100001079,69836906.64885297,343859596,92,759096.8114005758,0.0022075778027744086
TARA_B100001109,72624934.0979283,298259247,94,772605.6818928543,0.0025903829962155515
TARA_B100000579,61956419.667594194,337657879,93,666198.060941873,0.0019729972329236628
TARA_B100000586,62210097.703574084,361874453,90,691223.3078174898,0.0019101191092301005
TARA_B100000575,70930254.69744687,341481107,92,770981.0293200746,0.002257756032517707
TARA_B100000945,60282198.08719925,360151130,91,662441.7372219698,0.0018393437699944736
TARA_B100000949,104650762.70874277,279762247,93,1125277.018373578,0.004022261868570058
TARA_B100000941,58737451.26857979,355229985,92,638450.5572671716,0.0017972879098794871
TARA_B100000700,75047248.74700296,283044306,93,806959.6639462684,0.002851001227865253
TARA_B100000678,82964442.15665299,368812914,92,901787.4147462281,0.002445108022291834
TARA_B100001115,63419834.179257594,260313225,94,674679.0870133786,0.002591797197446955
TARA_B100000686,68686818.19187123,345426075,94,730710.8318284173,0.002115389904564724
TARA_B100000683,82179808.65196632,305178642,90,913108.985021848,0.002992047474350607
TARA_B100000676,103023023.99115285,351412096,94,1095989.616927158,0.0031188158558069614
TARA_B100000674,138410503.57714194,572835473,89,1555174.197495977,0.0027148706230627883
TARA_B100001123,88021218.58290093,328380341,91,967266.1382736366,0.0029455665199934625
TARA_B100001121,71131675.64459768,307957576,94,756719.9536659328,0.00245722142476512
TARA_B100000614,77879097.33979855,278182539,92,846511.927606506,0.003043008848253075
TARA_B100000609,76271145.09184593,284445761,90,847457.167687177,0.0029793278152848864
TARA_B100001250,53863860.25526814,433149549,90,598487.336169646,0.001381710629853723
TARA_B100001245,60834562.293411754,360434425,89,683534.4077911433,0.0018964182119705778
TARA_B100001248,44863113.07401847,304975519,89,504079.9221799828,0.0016528537235802943
TARA_B100001094,59360068.74406014,324616652,93,638280.3090759155,0.0019662586781774693
TARA_B100001105,63379587.73131242,392702028,92,688908.5622968741,0.0017542780866333446
TARA_B100001093,127231297.25182875,462240205,92,1382948.8831720515,0.0029918403207095574
TARA_B100001964,88885333.57892933,359534838,93,955756.2750422509,0.0026583133928241216
TARA_B100001971,100882070.98457101,372718152,93,1084753.451447,0.002910385355868045
TARA_B100001287,68271842.99211161,331881103,92,742085.2499142566,0.002235997299051572
TARA_B100001996,35511307.33085115,342491361,90,394570.0814539017,0.0011520584936853392
TARA_B100002003,85951173.92962356,319703262,92,934251.8905393865,0.0029222469758203046
TARA_B100001989,46866900.70903578,311888634,92,509422.83379386715,0.0016333485041133853
TARA_B100002019,63254489.10351199,335660959,94,672920.0968458722,0.002004761289041876
TARA_B100001939,65692050.28428441,311469542,91,721890.6624646639,0.0023176926316110353
TARA_B100002052,67098828.03426651,288134459,92,729335.0873289838,0.0025312317376415703
TARA_B100002049,96446600.42505944,300762214,91,1059852.7519237301,0.0035238893138475505
TARA_B100002051,57702439.061858736,288959000,92,627200.424585421,0.0021705516166148865
TARA_B100001146,68012178.86962351,317444967,92,739262.8138002555,0.0023287904696887365
TARA_B100001142,59886091.366235666,317878065,92,650935.7757199529,0.002047753045558374
TARA_B100001167,42628786.389639765,283448214,91,468448.2020839535,0.0016526764994326387
TARA_B100001540,69660309.10303845,310522687,94,741067.1181174302,0.0023865152181857495
TARA_B100001741,65516396.599438205,304342528,91,719960.4021916286,0.002365625359435894
TARA_B100001750,48026039.18350849,300140171,91,527758.6723462471,0.0017583739976820602
TARA_B100001765,51676211.5050797,329290893,90,574180.1278342189,0.0017436866310002047
TARA_B100001758,62739150.92791418,314545851,92,681947.2926947194,0.0021680377933032072
TARA_B100001778,80404545.75738446,321040924,91,883566.4368943347,0.002752192542575459
TARA_B100001769,72639241.84500377,333852872,92,789556.9765761279,0.0023649848265379844
TARA_B100001559,74716737.93374556,316857199,90,830185.9770416174,0.0026200634849442616
TARA_B100001564,82279700.7636423,341045048,92,894344.5735178511,0.0026223649302711794
TARA_B100001179,51063503.19117365,315718849,92,555038.078164931,0.0017580137515480776
TARA_B100001175,83271145.57420382,349395064,92,905121.1475456937,0.002590537877620657
TARA_B100001173,75650279.16702344,302028834,91,831321.7490881697,0.002752458227508734
TARA_B110000008,90289840.61001748,333376323,93,970858.5011829836,0.0029121999200374636
TARA_B110000014,51961924.517388694,345266565,93,558730.3711547172,0.0016182579716478402
TARA_B110000003,135791692.59663084,366908583,91,1492216.4021607784,0.004066997806264942
TARA_B110001452,88357797.97157934,270128473,88,1004065.8860406744,0.003716993898827816
