sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000164,284002991.9,374584396,91,3120911.999,0.008331666
TARA_A100001011,259225205,314948276,92,2817665.272,0.008946438
TARA_A100001015,384490829.7,425125871,89,4320121.683,0.010161983
TARA_A100001035,140577213,371335866,93,1511582.935,0.004070662
TARA_A100001037,239257831.7,347981762,90,2658420.352,0.007639539
TARA_A100001234,143502626.3,226154770,90,1594473.625,0.007050365
TARA_A100001388,149339969.7,347841493,91,1641098.568,0.004717949
TARA_A200000113,186029836.3,180239988,87,2138273.98,0.011863483
TARA_A200000159,129098159.4,155740903,93,1388152.252,0.008913216
TARA_B000000437,176901604.6,253992444,90,1965573.385,0.007738708
TARA_B000000441,276643264,386425592,91,3040035.868,0.007867067
TARA_B000000460,232044437.6,394236908,90,2578271.529,0.006539904
TARA_B000000475,219012344.8,280087895,90,2433470.498,0.008688239
TARA_B000000477,110505031.7,132309700,95,1163210.86,0.008791577
TARA_B000000532,142253608.5,271699742,93,1529608.693,0.005629776
TARA_B000000557,144972494.3,311817516,90,1610805.492,0.00516586
TARA_B000000565,154054684,295821463,85,1812408.047,0.006126696
TARA_B000000609,134505901.7,296031939,92,1462020.67,0.004938726
TARA_B100000003,126099059.8,217040159,91,1385703.954,0.006384551
TARA_B100000029,218851722.8,393164825,89,2459008.122,0.006254395
TARA_B100000035,198114800.7,354661545,91,2177085.722,0.006138488
TARA_B100000073,193904041.8,371929687,88,2203455.021,0.005924386
TARA_B100000085,123439099.1,310834821,92,1341729.338,0.004316535
TARA_B100000123,151382924.4,351029466,90,1682032.493,0.004791713
TARA_B100000131,201312733.3,369649573,90,2236808.148,0.006051158
TARA_B100000161,160113433.5,355804280,91,1759488.28,0.004945102
TARA_B100000212,231185579.8,367066636,92,2512886.737,0.00684586
TARA_B100000214,205912820.6,357543306,92,2238182.833,0.006259893
TARA_B100000242,203746953.2,422880216,88,2315306.286,0.005475088
TARA_B100000282,151868243.7,388219450,90,1687424.929,0.004346575
TARA_B100000287,229690695.2,404332442,90,2552118.836,0.006311932
TARA_B100000315,494919288.1,353519208,90,5499103.201,0.015555317
TARA_B100000378,326850796.5,359789956,87,3756905.707,0.010441942
TARA_B100000401,357057960.9,574967451,93,3839332.913,0.006677479
TARA_B100000405,201118104.1,354436678,90,2234645.601,0.006304781
TARA_B100000408,124101489.8,215982851,91,1363752.636,0.006314171
TARA_B100000424,118093957.9,372821827,90,1312155.088,0.003519523
TARA_B100000427,192615498.3,297613242,92,2093646.72,0.00703479
TARA_B100000446,385040891.9,342978924,90,4278232.132,0.012473746
TARA_B100000459,81557941.73,216710980,86,948348.1597,0.004376096
TARA_B100000470,206689724.7,344191636,92,2246627.442,0.006527258
TARA_B100000475,128918010.9,239868614,87,1481816.217,0.006177616
TARA_B100000482,122522919.8,221316099,88,1392305.907,0.006291029
TARA_B100000497,97129416.27,147953808,96,1011764.753,0.006838383
TARA_B100000508,145217451.7,252526354,90,1613527.241,0.00638954
TARA_B100000513,104967460.3,388975984,88,1192812.049,0.003066544
TARA_B100000519,148789079.1,366259362,88,1690784.99,0.00461636
TARA_B100000524,144890688.4,398525486,88,1646485.096,0.004131442
TARA_B100000530,209032240.1,395736688,90,2322580.446,0.005869005
TARA_B100000575,255707717.5,341481107,92,2779431.712,0.008139343
TARA_B100000579,242603192.8,337657879,93,2608636.482,0.007725679
TARA_B100000586,245902150.9,361874453,90,2732246.121,0.00755026
TARA_B100000609,247922623.2,284445761,90,2754695.813,0.009684433
TARA_B100000614,242477677.5,278182539,92,2635626.929,0.009474451
TARA_B100000674,467500439.5,572835473,89,5252813.926,0.009169847
TARA_B100000676,328615382.7,351412096,94,3495908.327,0.009948173
TARA_B100000678,281673448.6,368812914,92,3061667.919,0.008301412
TARA_B100000683,218449141.3,305178642,90,2427212.681,0.007953416
TARA_B100000686,250872081.6,345426075,94,2668851.932,0.007726261
TARA_B100000700,242533875.3,283044306,93,2607891.133,0.009213721
TARA_B100000745,160242094.6,402876939,87,1841863.156,0.004571776
TARA_B100000749,199010086.8,393423759,90,2211223.187,0.005620462
TARA_B100000767,399630891.7,385066279,90,4440343.241,0.011531374
TARA_B100000768,233489491.5,240625766,91,2565818.588,0.010663108
TARA_B100000780,325565704.8,385331682,89,3658041.627,0.009493228
TARA_B100000787,365856067.6,351516889,90,4065067.418,0.011564359
TARA_B100000795,280464580.7,363905524,88,3187097.508,0.008758036
TARA_B100000809,225278366.1,354624236,89,2531217.597,0.007137746
TARA_B100000886,158686006.3,309852319,90,1763177.848,0.005690381
TARA_B100000900,230691826.8,318046581,93,2480557.277,0.007799352
TARA_B100000902,246224354.2,387758814,101,2437864.894,0.006287065
TARA_B100000925,256251552.8,341004970,89,2879230.931,0.008443369
TARA_B100000927,221012003.6,317708836,90,2455688.929,0.007729369
TARA_B100000929,280062608.2,350388824,90,3111806.757,0.00888101
TARA_B100000941,164765801.7,355229985,92,1790932.628,0.005041614
TARA_B100000945,197542674.3,360151130,91,2170798.618,0.006027466
TARA_B100000949,255784444.5,279762247,93,2750370.371,0.009831099
TARA_B100000953,265408076.5,367256827,90,2948978.628,0.008029745
TARA_B100000959,335277542.6,345650351,92,3644321.116,0.010543375
TARA_B100000963,360450360.6,354642203,93,3875810.329,0.01092879
TARA_B100000965,270164362.9,315554996,93,2904993.149,0.009205981
TARA_B100000989,190721508,336783339,91,2095840.748,0.006223113
TARA_B100001013,188566449.7,389577142,89,2118724.154,0.005438523
TARA_B100001027,107151189.4,230668318,92,1164686.841,0.005049184
TARA_B100001029,120507863.7,229203258,92,1309868.084,0.005714875
TARA_B100001057,342459393.1,418953169,93,3682359.066,0.008789429
TARA_B100001059,396067958,304717891,88,4500772.25,0.014770292
TARA_B100001063,265549650.1,258327423,93,2855372.581,0.011053308
TARA_B100001079,250943043.6,343859596,92,2727641.778,0.007932429
TARA_B100001093,313537843.3,462240205,92,3408020.036,0.007372833
TARA_B100001094,189997968.6,324616652,93,2042988.91,0.006293543
TARA_B100001105,239152607,392702028,92,2599484.859,0.006619484
TARA_B100001109,245437455,298259247,94,2611036.755,0.008754252
TARA_B100001113,313643214.2,367914954,92,3409165.372,0.009266178
TARA_B100001115,231235720.2,260313225,94,2459954.47,0.009449979
TARA_B100001121,278134273.2,307957576,94,2958875.247,0.009608061
TARA_B100001123,261103254.3,328380341,91,2869266.531,0.008737632
TARA_B100001142,228502719.6,317878065,92,2483725.213,0.007813453
TARA_B100001146,224395989.4,317444967,92,2439086.841,0.007683495
TARA_B100001167,149447398.9,283448214,91,1642279.109,0.00579393
TARA_B100001173,245273211.1,302028834,91,2695310.013,0.008924016
TARA_B100001175,273167408.1,349395064,92,2969210.958,0.008498148
TARA_B100001179,188152093.5,315718849,92,2045131.451,0.006477698
TARA_B100001245,216593925.6,360434425,89,2433639.613,0.006751962
TARA_B100001248,147295289.6,304975519,89,1655003.254,0.005426676
TARA_B100001250,243608422,433149549,90,2706760.245,0.00624902
TARA_B100001287,235789534.8,331881103,92,2562929.726,0.007722433
TARA_B100001540,245007431.4,310522687,94,2606462.036,0.008393789
TARA_B100001559,227979985.1,316857199,90,2533110.945,0.007994488
TARA_B100001564,254663892.8,341045048,92,2768085.791,0.008116481
TARA_B100001741,224613265.1,304342528,91,2468277.639,0.008110196
TARA_B100001750,190702731.8,300140171,91,2095634.415,0.006982186
TARA_B100001758,239234736.4,314545851,92,2600377.57,0.008267086
TARA_B100001765,178661895.1,329290893,90,1985132.167,0.006028506
TARA_B100001769,224352324.7,333852872,92,2438612.225,0.007304452
TARA_B100001778,240207701.8,321040924,91,2639645.075,0.008222145
TARA_B100001939,196175270,311469542,91,2155772.198,0.006921294
TARA_B100001964,353456993.1,359534838,93,3800612.83,0.010570917
TARA_B100001971,390351042.5,372718152,93,4197323.038,0.011261386
TARA_B100001989,151123381.7,311888634,92,1642645.453,0.005266769
TARA_B100001996,161149316.7,342491361,90,1790547.964,0.005228009
TARA_B100002003,321781480.3,319703262,92,3497624.785,0.010940222
TARA_B100002019,196836541.4,335660959,94,2094005.759,0.006238455
TARA_B100002049,268842110.6,300762214,91,2954308.908,0.00982274
TARA_B100002051,235856904.2,288959000,92,2563662.002,0.008872061
TARA_B100002052,252519879.4,288134459,92,2744781.298,0.009526043
TARA_B110000003,398507122,366908583,91,4379199.143,0.011935396
TARA_B110000008,316241264.8,333376323,93,3400443.707,0.010200016
TARA_B110000014,220282920.7,345266565,93,2368633.556,0.006860304
TARA_B110000027,373957003.3,269640573,95,3936389.508,0.014598654
TARA_B110000037,403933005.8,307362470,94,4297159.636,0.013980756
TARA_B110000046,401112623.4,311678782,92,4359919.819,0.013988504
TARA_B110000090,537515481.1,316894061,93,5779736.356,0.018238702
TARA_B110000091,480987823.2,298480291,93,5171912.078,0.017327483
TARA_B110000093,385530651.4,253608239,92,4190550.559,0.016523716
TARA_B110000114,624259409.2,325056836,93,6712466.766,0.020650133
TARA_B110000116,270794666.8,303538659,92,2943420.291,0.009697019
TARA_B110000196,276920864.1,403657238,92,3010009.393,0.007456845
TARA_B110000208,418940851.2,317570168,94,4456817.565,0.014034119
TARA_B110000211,481239505.1,345187806,89,5407185.45,0.015664474
TARA_B110000238,536394551.1,378641950,93,5767683.345,0.015232552
TARA_B110000240,405519563.4,311139237,92,4407821.341,0.014166716
TARA_B110000259,415471213.5,309043914,91,4565617.731,0.014773362
TARA_B110000261,289394248.1,265064735,93,3111766.108,0.011739646
TARA_B110000263,216901856,298777816,90,2410020.623,0.008066264
TARA_B110000285,207518136.9,315701877,93,2231377.816,0.00706799
TARA_B110000305,365146627,340814002,93,3926307.817,0.011520383
TARA_B110000438,230719268.6,307302490,94,2454460.305,0.007987115
TARA_B110000444,274112056.6,297683763,93,2947441.469,0.00990125
TARA_B110000459,345576018.9,282368061,91,3797538.669,0.013448896
TARA_B110000467,225463182.6,306158190,94,2398544.496,0.007834331
TARA_B110000483,346666411.9,333342581,94,3687940.552,0.011063515
TARA_B110000495,259144666.5,363194462,92,2816789.853,0.007755597
TARA_B110000503,314578523.7,284108697,93,3382564.771,0.011905883
TARA_B110000858,298950858.2,318899103,93,3214525.356,0.01008007
TARA_B110000879,680571336,366398924,94,7240120.596,0.019760212
TARA_B110000881,278143344.8,326725151,92,3023297.226,0.009253335
TARA_B110000902,569389484.2,438981200,90,6326549.825,0.014411892
TARA_B110000908,541181890.1,362668168,91,5947053.737,0.016398058
TARA_B110000914,262167049.6,302432611,91,2880956.589,0.009525946
TARA_B110000967,443316687.4,358306213,91,4871611.949,0.013596225
TARA_B110000971,407071582.3,389790405,92,4424691.112,0.011351462
TARA_B110000977,323631467.3,300364228,92,3517733.34,0.011711559
TARA_B110001450,457049080.9,373981684,92,4967924.792,0.013283872
TARA_B110001452,286026812.6,270128473,88,3250304.689,0.01203244
TARA_B110001454,175677771.9,277553979,94,1868912.467,0.00673351
TARA_B110001469,380164452.8,306718487,94,4044302.689,0.013185715
TARA_E500000075,105532258,134566031,93,1134755.462,0.008432704
TARA_E500000081,117338202.5,135522562,98,1197328.597,0.008834902
TARA_E500000178,226310140.6,402302512,91,2486924.622,0.006181728
TARA_E500000331,196969923.7,349127221,92,2140977.431,0.00613237
TARA_S200000501,298687403,374072229,90,3318748.922,0.008871947
TARA_X000000368,345107531.7,407529708,90,3834528.13,0.009409199
TARA_X000000950,360738544.3,432720305,90,4008206.048,0.00926281
TARA_X000001036,318034345.7,370409251,93,3419724.148,0.009232286
TARA_Y100000022,122292515.3,231266779,92,1329266.47,0.005747762
TARA_Y100000031,306022362.5,243015035,90,3400248.472,0.013991926
TARA_Y100000287,117538476.5,235650989,92,1277592.136,0.005421544
TARA_Y100000294,252411781.6,226744396,89,2836087.433,0.012507861
TARA_Y200000002,245945538.9,363703213,91,2702698.229,0.007431054
