sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_X100000009,767269816.9691797,292111463,89,8621009.179428985,0.029512738359839665
TARA_A200000327,693082559.6231464,283189283,88,7875938.177535755,0.027811568623293398
TARA_A200000369,682294607.8066171,266034035,84,8122554.85484068,0.030532013901306575
TARA_A100000165,63387788.387096286,77594720,86,737067.306826701,0.00949893635580747
TARA_A100000220,357791769.54642904,264247497,88,4065815.5630276026,0.015386391959003504
TARA_S200002603,603099920.7917141,315217088,88,6853408.190814933,0.021741867594484387
TARA_E500000176,564385526.409791,262791876,89,6341410.409098775,0.024130922559793194
TARA_A100001401,1804101780.9759495,276738619,89,20270806.527819656,0.07324892565074069
TARA_A100001026,1267621112.9557657,214004727,88,14404785.374497337,0.06731059437998926
TARA_A100001195,756686608.7060149,248704686,88,8598711.46256835,0.03457398250456909
TARA_B100000315,583991839.9203604,406547227,89,6561706.066520904,0.0161400831951091
TARA_B100000071,1072163621.9778374,381457164,88,12183677.522475425,0.031939831447169845
TARA_B100000091,1131224725.5738184,357550409,89,12710390.174986724,0.03554852645962635
TARA_B100000101,1008209714.5582223,303665320,89,11328199.039980026,0.03730488236187137
TARA_B100000089,1177477167.2657216,344640365,89,13230080.531075522,0.03838807601969526
TARA_B100000120,291212723.7084133,221263526,82,3551374.679370894,0.01605042974579956
TARA_B100000110,1047149841.812667,234494627,86,12176160.951310081,0.05192511703609346
TARA_B100000116,2173150673.211917,1064527710,88,24694894.013771784,0.023197981397564356
TARA_B100000287,943243501.4179682,360109965,89,10598241.588965934,0.02943057015644078
TARA_B100000282,1611167719.7044597,379764377,90,17901863.552271776,0.047139396521838
TARA_B100000133,502953026.5473559,292998252,88,5715375.301674499,0.019506516720360842
TARA_B100000127,881909562.7049954,243128289,89,9909096.210168488,0.04075665670549957
TARA_B100000143,696631105.9942474,247215334,90,7740345.622158305,0.03131013556852547
TARA_B100000267,1043533582.3456999,329496557,89,11725096.43085056,0.03558488300334671
TARA_B100000261,693538174.0664593,268651985,89,7792563.753555723,0.029006164810417175
TARA_B100000248,2910714903.917639,333858766,89,32704661.841771223,0.09795957204781384
TARA_B100000236,411273237.20623606,254949173,83,4955099.243448627,0.019435635680405315
TARA_B100000178,839514002.6388221,286145283,90,9327933.36265358,0.0325985921027871
TARA_B100000194,746251546.5246243,248400663,90,8291683.850273604,0.033380280672896605
TARA_B100000214,1017427712.7985536,372774442,88,11561678.554529019,0.03101521255721984
TARA_B100000212,1375619972.9217854,290740814,87,15811723.826687189,0.054384259331017724
TARA_B100000353,1127018450.9696705,198137012,90,12522427.232996339,0.06320084827460878
TARA_B100000355,419284396.8867773,253247958,89,4711060.639177273,0.01860256120674139
TARA_B100000493,518239719.54457045,155876239,88,5889087.722097391,0.037780535121182846
TARA_B100000480,1262526391.4567142,242577159,88,14346890.812008115,0.05914361793646085
TARA_B100000473,1411248822.2933793,194715216,87,16221250.830958383,0.0833075666308399
TARA_B100000444,816970830.2743417,265480342,89,9179447.531172378,0.03457675043665711
TARA_B100000457,547702231.2343309,165343726,90,6085580.347048121,0.03680563208699023
