sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000165,4174941.134,77594720,86,48545.82713,0.000625633
TARA_A100000220,42450559.4,264247497,88,482392.7205,0.001825534
TARA_A100001026,50837263.47,214004727,88,577696.1757,0.002699455
TARA_A100001195,50155054.93,248704686,88,569943.806,0.002291649
TARA_A100001401,60197479.12,276738619,89,676376.1698,0.002444098
TARA_A200000327,82336087.8,283189283,88,935637.3613,0.003303929
TARA_A200000369,70239645.15,266034035,84,836186.2517,0.003143155
TARA_B100000071,223926350.7,381457164,88,2544617.622,0.006670782
TARA_B100000089,100734072.7,344640365,89,1131843.513,0.003284129
TARA_B100000091,81076272.48,357550409,89,910969.3537,0.002547807
TARA_B100000101,183922767.5,303665320,89,2066547.95,0.006805347
TARA_B100000110,76254230.9,234494627,86,886677.1034,0.003781226
TARA_B100000116,599970347.5,1064527710,88,6817844.858,0.006404572
TARA_B100000120,117966313.5,221263526,82,1438613.579,0.006501811
TARA_B100000127,51775197.99,243128289,89,581743.7977,0.002392744
TARA_B100000133,56774205.99,292998252,88,645161.4317,0.002201929
TARA_B100000143,43784886.78,247215334,90,486498.7419,0.001967915
TARA_B100000178,54433843.07,286145283,90,604820.4786,0.002113683
TARA_B100000194,48414749.72,248400663,90,537941.6636,0.002165621
TARA_B100000212,42777463.76,290740814,87,491694.9858,0.00169118
TARA_B100000214,106854232.1,372774442,88,1214252.637,0.003257339
TARA_B100000236,40437573.5,254949173,83,487199.6808,0.001910968
TARA_B100000248,89309458.21,333858766,89,1003477.059,0.003005693
TARA_B100000261,52284068.01,268651985,89,587461.4383,0.002186701
TARA_B100000267,53550375.26,329496557,89,601689.6097,0.001826088
TARA_B100000282,110351809.2,379764377,90,1226131.213,0.003228663
TARA_B100000287,317231564.7,360109965,89,3564399.603,0.009898087
TARA_B100000315,76352868.34,406547227,89,857897.3971,0.002110204
TARA_B100000353,33756231,198137012,90,375069.2333,0.001892979
TARA_B100000355,28743192.86,253247958,89,322957.2232,0.001275261
TARA_B100000420,25892992.91,101426752,89,290932.5046,0.0028684
TARA_B100000422,33651927.49,203142728,87,386803.7643,0.001904099
TARA_B100000436,44585488.21,199342794,88,506653.2751,0.002541618
TARA_B100000444,102505664.4,265480342,89,1151749.039,0.004338359
TARA_B100000457,39413449.06,165343726,90,437927.2118,0.002648587
TARA_B100000473,43214602.32,194715216,87,496719.5669,0.002551005
TARA_B100000480,194870984.7,242577159,88,2214443.008,0.009128819
TARA_B100000493,31679412.53,155876239,88,359993.3242,0.002309482
TARA_B100000513,45844797.72,227326165,87,526951.6979,0.002318042
TARA_B100000515,39375500.65,198996548,88,447448.871,0.002248526
TARA_B100000524,29449745.36,188010395,88,334656.1973,0.001779988
TARA_B100000526,39641951.84,302300119,87,455654.6188,0.001507292
TARA_B100000562,49445386.72,211718785,88,561879.3945,0.002653895
TARA_B100000575,50781044.1,270046469,88,577057.3193,0.002136882
TARA_B100000579,47625278.7,264491758,89,535115.491,0.002023184
TARA_B100000593,32001078.07,134794655,85,376483.2714,0.002793013
TARA_B100000603,37768618.72,205351653,87,434122.0543,0.002114042
TARA_B100000611,62342193.83,264590527,88,708434.0208,0.002677473
TARA_B100000622,58174012.23,274262559,85,684400.1439,0.00249542
TARA_B100000624,33774137.59,225903500,86,392722.5301,0.001738453
TARA_B100000637,38374765.87,274386816,87,441089.2628,0.001607545
TARA_B100000639,32965911.24,298456081,86,383324.5493,0.001284358
TARA_B100000651,59802025.92,288933336,86,695372.3944,0.002406688
TARA_B100000658,23509657.66,220667248,89,264153.4568,0.001197067
TARA_B100000660,20457212.55,183888911,86,237874.5646,0.001293578
TARA_B100000674,26178755.63,206364947,87,300905.2371,0.001458122
TARA_B100000676,57922670.01,334359430,90,643585.2224,0.00192483
TARA_B100000678,173116308.9,407546955,88,1967230.783,0.004827004
TARA_B100000683,41243174.58,215968900,88,468672.4384,0.002170092
TARA_B100000686,146984127.6,353444061,88,1670274.177,0.00472571
TARA_B100000700,165742704.7,387585432,89,1862277.581,0.004804818
TARA_B100000713,39769614.68,209774688,88,451927.4395,0.002154347
TARA_B100000747,83064645.47,208490145,87,954766.0399,0.00457943
TARA_B100000765,55687431.89,178945402,88,632811.726,0.00353634
TARA_B100000767,46834669.23,221516962,88,532212.1504,0.00240258
TARA_B100000768,40860433.08,159339848,88,464323.1031,0.002914043
TARA_B100000780,41218803.12,213962639,89,463132.6193,0.002164549
TARA_B100000787,30234138.03,191355857,89,339709.4161,0.001775276
TARA_B100000795,21323995.01,127615714,89,239595.4496,0.001877476
TARA_B100000801,29131894.12,143616088,89,327324.653,0.002279164
TARA_B100000811,40790551.68,221907464,88,463528.9963,0.002088839
TARA_B100000813,30505666.86,110164227,89,342760.3018,0.003111358
TARA_B100000832,45642546.09,124043396,88,518665.2965,0.004181321
TARA_B100000834,53816525.69,196340040,83,648391.8757,0.003302393
TARA_B100000851,35154688.37,198932377,89,394996.4985,0.001985582
TARA_B100000858,43333308.27,217138014,86,503875.6775,0.002320532
TARA_B100000865,18669368.52,112102052,88,212151.915,0.001892489
TARA_B100000872,41353270.64,166422541,88,469923.53,0.002823677
TARA_B100000885,103093004.3,268920360,88,1171511.413,0.004356351
TARA_B100000900,29109141.11,252497298,88,330785.6944,0.001310056
TARA_B100000902,33529061.18,251568804,88,381012.0588,0.001514544
TARA_B100000916,26019979.04,150393192,88,295681.58,0.001966057
TARA_B100000918,19570830.91,158214503,88,222395.8058,0.00140566
TARA_B100000920,73551064.24,259806433,87,845414.5315,0.003254017
TARA_B100000925,30289040.53,198246250,88,344193.6424,0.001736192
TARA_B100000927,42968822.72,246762914,88,488282.0764,0.00197875
TARA_B100000929,155978274.9,344757307,88,1772480.397,0.005141241
TARA_B100000939,31464351.69,175238058,86,365864.5546,0.002087814
TARA_B100000943,23840695.61,219166679,87,274030.984,0.001250331
TARA_B100000953,98083126.69,303923905,87,1127392.261,0.003709456
TARA_B100000959,114888298.9,282885949,88,1305548.851,0.004615107
TARA_B100000963,27229674.07,240256335,88,309428.1144,0.001287908
TARA_B100000965,77356336.07,260699888,88,879049.2735,0.003371882
