sample,sum_bases,HQ_reads,Avg_read_len,read_counts,RNA_signalT
TARA_A100000165,6631321.931,77594720,86,77108.39454,0.000993732
TARA_A100000220,39760537.01,264247497,88,451824.2843,0.001709853
TARA_A100001026,46137135.89,214004727,88,524285.6351,0.002449879
TARA_A100001195,37617248.77,248704686,88,427468.736,0.00171878
TARA_A100001401,46357968.53,276738619,89,520876.0509,0.001882195
TARA_A200000327,78849382.88,283189283,88,896015.7146,0.003164017
TARA_A200000369,81788972.1,266034035,84,973678.2393,0.003659976
TARA_B100000071,274825726,381457164,88,3123019.614,0.008187078
TARA_B100000089,147162122.7,344640365,89,1653506.996,0.004797775
TARA_B100000091,80827150.23,357550409,89,908170.2273,0.002539978
TARA_B100000101,242451187.6,303665320,89,2724170.647,0.008970964
TARA_B100000110,67891222.31,234494627,86,789432.8176,0.003366528
TARA_B100000116,253033596,1064527710,88,2875381.773,0.002701087
TARA_B100000120,88020577.12,221263526,82,1073421.672,0.004851327
TARA_B100000127,38690326.75,243128289,89,434722.7724,0.001788039
TARA_B100000133,34132276.22,292998252,88,387866.7752,0.001323785
TARA_B100000143,35228123.51,247215334,90,391423.5945,0.001583331
TARA_B100000178,50401118.97,286145283,90,560012.433,0.001957091
TARA_B100000194,44315135.47,248400663,90,492390.3941,0.001982243
TARA_B100000212,27115229.43,290740814,87,311669.3038,0.001071983
TARA_B100000214,50938147.32,372774442,88,578842.5832,0.001552796
TARA_B100000236,25401919.92,254949173,83,306047.2279,0.001200424
TARA_B100000248,58324279.6,333858766,89,655328.9842,0.001962893
TARA_B100000261,40383519.2,268651985,89,453747.4067,0.001688978
TARA_B100000267,38139887.36,329496557,89,428538.0602,0.001300584
TARA_B100000282,97263599.11,379764377,90,1080706.657,0.002845729
TARA_B100000287,148856495.5,360109965,89,1672544.893,0.004644539
TARA_B100000315,160595526.4,406547227,89,1804444.117,0.004438461
TARA_B100000353,28074636.23,198137012,90,311940.4025,0.001574367
TARA_B100000355,27145175.5,253247958,89,305001.9719,0.001204361
TARA_B100000420,24025454.32,101426752,89,269948.9249,0.002661516
TARA_B100000422,62361827.1,203142728,87,716802.6103,0.003528566
TARA_B100000436,43680779.17,199342794,88,496372.4906,0.002490045
TARA_B100000444,237428412.5,265480342,89,2667734.971,0.01004871
TARA_B100000457,37894002.67,165343726,90,421044.4742,0.00254648
TARA_B100000473,38752919.19,194715216,87,445435.8528,0.002287627
TARA_B100000480,110811645.7,242577159,88,1259223.246,0.005191021
TARA_B100000493,28353157.83,155876239,88,322194.9754,0.002066992
TARA_B100000513,54737414.82,227326165,87,629165.6876,0.002767678
TARA_B100000515,47729576.73,198996548,88,542381.5537,0.002725583
TARA_B100000524,24710718.93,188010395,88,280803.6242,0.001493554
TARA_B100000526,44486378.99,302300119,87,511337.6896,0.00169149
TARA_B100000562,50473364.85,211718785,88,573560.9642,0.00270907
TARA_B100000575,37762271.25,270046469,88,429116.7187,0.001589048
TARA_B100000579,41323890.89,264491758,89,464313.3808,0.001755493
TARA_B100000593,25948047.59,134794655,85,305271.1482,0.002264713
TARA_B100000603,38820276.08,205351653,87,446210.0699,0.002172907
TARA_B100000611,66230344.66,264590527,88,752617.5529,0.002844461
TARA_B100000622,81919726.55,274262559,85,963761.4888,0.00351401
TARA_B100000624,44329711.99,225903500,86,515461.7673,0.002281779
TARA_B100000637,31036775.97,274386816,87,356744.5513,0.001300152
TARA_B100000639,41611997.21,298456081,86,483860.4327,0.001621212
TARA_B100000651,92075637.99,288933336,86,1070646.953,0.003705515
TARA_B100000658,26895314.28,220667248,89,302194.5425,0.001369458
TARA_B100000660,28823535.5,183888911,86,335157.3895,0.001822608
TARA_B100000674,26186125.96,206364947,87,300989.9536,0.001458532
TARA_B100000676,109576119.3,334359430,90,1217512.436,0.003641328
TARA_B100000678,351609976,407546955,88,3995567.909,0.009803945
TARA_B100000683,40512075.49,215968900,88,460364.4942,0.002131624
TARA_B100000686,111518267,353444061,88,1267253.034,0.003585442
TARA_B100000700,159108949.4,387585432,89,1787741.004,0.004612508
TARA_B100000713,36236851.65,209774688,88,411782.4051,0.001962975
TARA_B100000747,130381953.8,208490145,87,1498643.147,0.007188077
TARA_B100000765,49330810.13,178945402,88,560577.3879,0.003132673
TARA_B100000767,60570191.79,221516962,88,688297.634,0.003107201
TARA_B100000768,42607369.02,159339848,88,484174.6479,0.003038629
TARA_B100000780,51992520.35,213962639,89,584185.6219,0.002730316
TARA_B100000787,48373969.69,191355857,89,543527.7494,0.002840403
TARA_B100000795,36896206.68,127615714,89,414564.1199,0.003248535
TARA_B100000801,23315574.81,143616088,89,261972.7507,0.001824118
TARA_B100000811,51947170.96,221907464,88,590308.7609,0.002660157
TARA_B100000813,49879379.39,110164227,89,560442.465,0.005087336
TARA_B100000832,26668962.45,124043396,88,303056.3915,0.002443148
TARA_B100000834,43157198.68,196340040,83,519966.2491,0.002648295
TARA_B100000851,41710966.43,198932377,89,468662.5441,0.002355889
TARA_B100000858,51539925.24,217138014,86,599301.4563,0.002760002
TARA_B100000865,15134335.6,112102052,88,171981.0863,0.001534148
TARA_B100000872,28010648.05,166422541,88,318302.8187,0.001912618
TARA_B100000885,78594131.71,268920360,88,893115.133,0.003321114
TARA_B100000900,27056741.63,252497298,88,307462.9731,0.001217688
TARA_B100000902,52487697.22,251568804,88,596451.1047,0.002370926
TARA_B100000916,19356876.8,150393192,88,219964.509,0.001462596
TARA_B100000918,19629780.47,158214503,88,223065.6872,0.001409894
TARA_B100000920,79492931.74,259806433,87,913711.8591,0.003516895
TARA_B100000925,24065831.06,198246250,88,273475.3529,0.001379473
TARA_B100000927,34926129.3,246762914,88,396887.8329,0.001608377
TARA_B100000929,351468570.8,344757307,88,3993961.031,0.011584848
TARA_B100000939,23504644.54,175238058,86,273309.8202,0.001559649
TARA_B100000943,14442936.34,219166679,87,166010.7625,0.000757464
TARA_B100000953,162556467,303923905,87,1868465.138,0.006147806
TARA_B100000959,238370894.2,282885949,88,2708760.162,0.00957545
TARA_B100000963,30399047.15,240256335,88,345443.7176,0.001437813
TARA_B100000965,94541296.54,260699888,88,1074332.915,0.004120957
TARA_B100000973,40397072.06,239210159,88,459057.6371,0.001919056
TARA_B100000986,29863462.43,220245992,89,335544.5217,0.001523499
TARA_B100000987,16957846.5,183251506,89,190537.6011,0.00103976
TARA_B100000994,25558415.93,151417967,89,287173.2127,0.00189656
TARA_B100001000,97635086.25,259050170,87,1122242.371,0.004332143
TARA_B100001010,128811410.1,279980358,86,1497807.094,0.005349686
TARA_B100001031,24667944.29,203218697,89,277167.9134,0.00136389
TARA_B100001033,20637513.46,218954924,88,234517.1984,0.001071075
TARA_B100001061,45675812.36,249679566,88,519043.3223,0.002078838
TARA_B100001064,27846276.77,172743448,89,312879.5143,0.001811238
TARA_B100001076,109768868,177171197,86,1276382.186,0.007204231
TARA_B100001089,51932214.25,270877282,83,625689.3284,0.002309863
TARA_B100001090,80890324.33,355171301,87,929773.8428,0.002617818
TARA_B100001107,6178592.472,163415598,87,71018.30427,0.000434587
TARA_B100001111,19016744.15,123041084,86,221124.9319,0.001797163
TARA_B100001115,28070335.98,231001921,87,322647.54,0.001396731
TARA_B100001121,43222444.14,245065556,86,502586.5598,0.002050825
TARA_B100001123,358751920.7,351133123,87,4123585.295,0.011743652
