sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000165,222763.9723,77594720,86,2590.278747,3.34E-05
TARA_A100000220,1701219.522,264247497,88,19332.04002,7.32E-05
TARA_A100001026,6227867.252,214004727,88,70771.21877,0.000330699
TARA_A100001195,2423946.713,248704686,88,27544.84901,0.000110753
TARA_A100001401,1610554.248,276738619,89,18096.11514,6.54E-05
TARA_A200000327,2895568.509,283189283,88,32904.1876,0.000116192
TARA_A200000369,2906540.817,266034035,84,34601.67639,0.000130065
TARA_B100000071,19101425.95,381457164,88,217061.6585,0.000569033
TARA_B100000089,13534505.21,344640365,89,152073.0922,0.000441252
TARA_B100000091,2835021.018,357550409,89,31854.16874,8.91E-05
TARA_B100000101,19265844.56,303665320,89,216470.1636,0.000712858
TARA_B100000110,4428992.715,234494627,86,51499.91529,0.000219621
TARA_B100000116,12616441.77,1064527710,88,143368.6564,0.000134678
TARA_B100000120,4444648.679,221263526,82,54203.03267,0.00024497
TARA_B100000127,3470687.79,243128289,89,38996.49202,0.000160395
TARA_B100000133,1746033.6,292998252,88,19841.29091,6.77E-05
TARA_B100000143,1792146.142,247215334,90,19912.73491,8.05E-05
TARA_B100000178,2863913.363,286145283,90,31821.25959,0.000111207
TARA_B100000194,2448235.629,248400663,90,27202.6181,0.000109511
TARA_B100000212,1190158.685,290740814,87,13679.98489,4.71E-05
TARA_B100000214,1954390.838,372774442,88,22208.98679,5.96E-05
TARA_B100000236,1171343.507,254949173,83,14112.57237,5.54E-05
TARA_B100000248,2696014.176,333858766,89,30292.29411,9.07E-05
TARA_B100000261,2627954.881,268651985,89,29527.58294,0.00010991
TARA_B100000267,2085145.681,329496557,89,23428.60315,7.11E-05
TARA_B100000282,7803152.987,379764377,90,86701.69986,0.000228304
TARA_B100000287,10468614.73,360109965,89,117624.8846,0.000326636
TARA_B100000315,5672210.429,406547227,89,63732.70145,0.000156766
TARA_B100000353,1127798.882,198137012,90,12531.09869,6.32E-05
TARA_B100000355,1370891.684,253247958,89,15403.27735,6.08E-05
TARA_B100000420,1814540.685,101426752,89,20388.09759,0.000201013
TARA_B100000422,3223466.94,203142728,87,37051.34414,0.000182391
TARA_B100000436,2668191.227,199342794,88,30320.35485,0.000152102
TARA_B100000444,10407776.16,265480342,89,116941.3052,0.00044049
TARA_B100000457,2299536.011,165343726,90,25550.40013,0.000154529
TARA_B100000473,1875443.087,194715216,87,21556.81709,0.000110709
TARA_B100000480,4344385.194,242577159,88,49368.01357,0.000203515
TARA_B100000493,1824153.057,155876239,88,20729.01201,0.000132984
TARA_B100000513,1942880.512,227326165,87,22331.95991,9.82E-05
TARA_B100000515,2410424.054,198996548,88,27391.18243,0.000137647
TARA_B100000524,833867.982,188010395,88,9475.772523,5.04E-05
TARA_B100000526,1702762.771,302300119,87,19571.98587,6.47E-05
TARA_B100000562,1239921.608,211718785,88,14090.01827,6.66E-05
TARA_B100000575,1356580.474,270046469,88,15415.6872,5.71E-05
TARA_B100000579,1281742.908,264491758,89,14401.6057,5.45E-05
TARA_B100000593,1434794.461,134794655,85,16879.93484,0.000125227
TARA_B100000603,899439.7111,205351653,87,10338.38748,5.03E-05
TARA_B100000611,3958848.808,264590527,88,44986.91827,0.000170025
TARA_B100000622,5367316.372,274262559,85,63144.89849,0.000230235
TARA_B100000624,2842370.375,225903500,86,33050.81831,0.000146305
TARA_B100000637,1177181.744,274386816,87,13530.82464,4.93E-05
TARA_B100000639,2554269.622,298456081,86,29700.80956,9.95E-05
TARA_B100000651,5170776.358,288933336,86,60125.30649,0.000208094
TARA_B100000658,1131336.049,220667248,89,12711.641,5.76E-05
TARA_B100000660,1212833.33,183888911,86,14102.71314,7.67E-05
TARA_B100000674,857996.7865,206364947,87,9862.032029,4.78E-05
TARA_B100000676,4362914.471,334359430,90,48476.82746,0.000144984
TARA_B100000678,26020136.66,407546955,88,295683.3711,0.00072552
TARA_B100000683,937120.8863,215968900,88,10649.10098,4.93E-05
TARA_B100000686,3836181.251,353444061,88,43592.96876,0.000123338
TARA_B100000700,6437964.856,387585432,89,72336.68378,0.000186634
TARA_B100000713,1495673.748,209774688,88,16996.29259,8.10E-05
TARA_B100000747,7763716.323,208490145,87,89238.11866,0.000428021
