sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_X100000009,702992823.2136079,292111463,89,7898795.766445032,0.027040348520814578
TARA_A200000327,641398658.2839507,283189283,88,7288621.116863076,0.025737630462742744
TARA_A200000369,637826417.4446735,266034035,84,7593171.636246113,0.02854210603634273
TARA_A100000165,60102259.30191887,77594720,86,698863.4802548706,0.009006585502916572
TARA_A100000220,328100816.4905133,264247497,88,3728418.3692103787,0.014109569292194198
TARA_S200002603,552065697.1975174,315217088,88,6273473.83178997,0.019902074064556966
TARA_E500000176,536847901.83958685,262791876,89,6031998.897074009,0.02295352120045754
TARA_A100001401,1770160892.9455616,276738619,89,19889448.23534339,0.07187088057031675
TARA_A100001026,1238973652.1288545,214004727,88,14079246.046918802,0.06578941616985312
TARA_A100001195,730560243.8895551,248704686,88,8301820.953290399,0.03338023535789108
TARA_B100000315,502659315.2941694,406547227,89,5647857.475215387,0.013892254331414703
TARA_B100000071,976953757.1028035,381457164,88,11101747.239804585,0.029103522721635355
TARA_B100000091,1041146472.784805,357550409,89,11698274.97511017,0.03271783413093556
TARA_B100000101,869188619.3876854,303665320,89,9766164.262782982,0.03216094700172868
TARA_B100000089,1096904912.5252678,344640365,89,12324774.298036717,0.03576126173739607
TARA_B100000120,257729665.63412273,221263526,82,3143044.7028551553,0.01420498335028411
TARA_B100000110,1000835455.052326,234494627,86,11637621.570375884,0.04962852121288
TARA_B100000116,2002190650.9707763,1064527710,88,22752166.488304276,0.021373014788224044
TARA_B100000287,827282120.8214498,360109965,89,9295304.728330895,0.025812406297423332
TARA_B100000282,1539544154.6325963,379764377,90,17106046.1625844,0.04504384086184156
TARA_B100000133,474254184.4404505,292998252,88,5389252.09591421,0.018393461596194812
TARA_B100000127,857301575.5844615,243128289,89,9632601.972859118,0.03961942072836747
TARA_B100000143,665499069.0330834,247215334,90,7394434.100367594,0.029910903910060828
TARA_B100000267,1012363371.2577649,329496557,89,11374869.339974888,0.034521967220358205
TARA_B100000261,649272612.7560042,268651985,89,7295197.8961348785,0.027154825958702215
TARA_B100000248,2852799403.7628126,333858766,89,32053925.884975422,0.09601043659574127
TARA_B100000236,384447758.20098174,254949173,83,4631900.701216647,0.018167937737207908
TARA_B100000178,807726511.5107518,286145283,90,8974739.016786132,0.03136427384960993
TARA_B100000194,719271497.9136733,248400663,90,7991905.532374147,0.03217344686545441
TARA_B100000214,964792165.4866316,372774442,88,10963547.33507536,0.029410673318304797
TARA_B100000212,1357356163.846359,290740814,87,15601794.986739758,0.05366221127364581
TARA_B100000353,1107466288.124604,198137012,90,12305180.979162266,0.0621044036899187
TARA_B100000355,395705357.09665537,253247958,89,4446127.607827588,0.017556420367376025
TARA_B100000493,482862558.2762366,155876239,88,5487074.525866325,0.03520148138720697
TARA_B100000480,1167953699.651489,242577159,88,13272201.132403284,0.05471331755684089
TARA_B100000473,1362494335.8712208,194715216,87,15660854.43530139,0.08042953579601807
TARA_B100000444,754029216.421772,265480342,89,8472238.386761483,0.03191286527256878
TARA_B100000457,520663422.72856635,165343726,90,5785149.141428515,0.03498862207465021
TARA_B100000436,735101304.059055,199342794,88,8353423.909761989,0.04190482004462117
TARA_B100000422,393728976.4102623,203142728,87,4525620.418508762,0.022278033100494553
TARA_B100000420,216629538.78366885,101426752,89,2434039.7616142565,0.023998005591407055
TARA_B100000515,241715072.4576635,198996548,88,2746762.1870189034,0.013803064498480162
TARA_B100000747,253541367.5463528,208490145,87,2914268.5924868137,0.013977968083272299
TARA_B100000513,825326553.9450378,227326165,87,9486512.11431078,0.041730841297176594
TARA_B100000526,442235014.17565364,302300119,87,5083161.0824787775,0.01681494899602993
TARA_B100000524,873542881.2221357,188010395,88,9926623.650251541,0.0527982702778298
TARA_B100000713,625344989.9774859,209774688,88,7106193.067925976,0.03387535996681342
TARA_B100000834,355786324.6652834,196340040,83,4286582.224882932,0.021832440417568075
TARA_B100000832,360374512.6239976,124043396,88,4095164.916181791,0.03301396969316924
TARA_B100000767,924262503.7780073,221516962,88,10502982.997477354,0.047413899606827195
TARA_B100000768,819094541.3368866,159339848,88,9307892.515191894,0.05841534702099059
TARA_B100000765,457299887.2316532,178945402,88,5196589.627632423,0.029040084682547044
TARA_B100000780,415442104.49279165,213962639,89,4667888.814525749,0.021816373346029577
TARA_B100000795,305392935.2837665,127615714,89,3431381.295323219,0.02688839162333268
TARA_B100000787,412001357.25100744,191355857,89,4629228.733157387,0.02419172742205318
TARA_B100000813,214372177.58937332,110164227,89,2408676.152689588,0.02186441296129267
TARA_B100000811,295198892.89138556,221907464,88,3354532.8737657447,0.015116809562411767
TARA_B100000562,803802486.1053245,211718785,88,9134119.160287779,0.04314269591282502
TARA_B100000851,1307827888.8104596,198932377,89,14694695.379892804,0.0738677916661741
TARA_B100000858,692933993.6191021,217138014,86,8057372.018826769,0.03710714614358943
TARA_B100000801,298055716.2550135,143616088,89,3348940.6320788036,0.023318701119882917
TARA_B100000865,222739764.0449627,112102052,88,2531133.6823291215,0.02257883452774907
TARA_B100000872,230925386.5153768,166422541,88,2624152.1194929183,0.015768008971170068
TARA_B100001061,437265921.4002598,249679566,88,4968930.925002952,0.019901231825286626
TARA_B100001064,350879664.1519864,172743448,89,3942468.1365391733,0.022822678267595847
TARA_B100000987,311551047.8368371,183251506,89,3500573.571200417,0.019102563725726853
TARA_B100000986,372989066.71277124,220245992,89,4190888.3900311375,0.019028216368319372
TARA_B100000973,257952407.57717246,239210159,88,2931277.3588315053,0.01225398357279427
TARA_B100001000,328535008.59982705,259050170,87,3776264.466664679,0.014577347957983116
TARA_B100000994,312623868.2998423,151417967,89,3512627.7337060934,0.02319822279548961
TARA_B100001033,349416159.440436,218954924,88,3970638.1754595,0.018134500484946848
TARA_B100001010,429952195.57383263,279980358,86,4999444.134579449,0.017856410250677118
TARA_B100001031,222811516.28721854,203218697,89,2503500.1830024556,0.012319241388514835
TARA_B100000885,724907700.098609,268920360,88,8237587.501120556,0.03063207077783384
TARA_B100000965,960791306.836206,260699888,88,10918083.032229614,0.04187989153347704
TARA_B100000959,743627940.2887709,282885949,88,8450317.503281487,0.029871817717187103
TARA_B100000963,511418489.6119765,240256335,88,5811573.745590642,0.024189055183875346
TARA_B100000902,402785140.94482124,251568804,88,4577103.874372968,0.018194242694626668
TARA_B100000953,670426108.4956355,303923905,87,7706047.2240877645,0.025355186272984234
TARA_B100000900,980938329.1932527,252497298,88,11147026.468105145,0.04414711189545143
TARA_B100000918,258718630.12946185,158214503,88,2939984.4332893393,0.018582268866270367
TARA_B100000920,243724718.31253785,259806433,87,2801433.543822274,0.010782772048690088
TARA_B100000916,263496496.77147564,150393192,88,2994278.3724031323,0.019909667004096385
TARA_B100000927,342439431.38186395,246762914,88,3891357.1747939084,0.01576961915271396
TARA_B100000929,1107227660.9043217,344757307,88,12582132.510276383,0.036495622441662656
TARA_B100000925,801987753.6946546,198246250,88,9113497.201075621,0.045970590621893834
TARA_B100001111,188355930.48104575,123041084,86,2190185.2381516946,0.01780043841414543
TARA_B100001076,240103710.2845023,177171197,86,2791903.607959329,0.01575822512481715
TARA_B100001107,146908462.5817443,163415598,87,1688603.0181809692,0.010333181402799561
TARA_B100000579,547782928.0734919,264491758,89,6154864.360376314,0.023270533671511662
TARA_B100000575,1007240923.4300804,270046469,88,11445919.584432732,0.04238499998469794
TARA_B100000943,109270120.16151734,219166679,87,1255978.3926611189,0.005730699567980947
TARA_B100000939,318585343.84417695,175238058,86,3704480.7423741505,0.021139704380735324
TARA_B100000593,220377147.18056327,134794655,85,2592672.3197713327,0.019234236845454538
TARA_B100000700,647150877.3678846,387585432,89,7271358.172672861,0.01876065912785097
TARA_B100000678,1245297604.6918397,407546955,88,14151109.14422545,0.034722647220429975
TARA_B100001115,1438392830.3806822,231001921,87,16533250.923915887,0.07157191962882373
TARA_B100000686,472933634.01709497,353444061,88,5374245.841103352,0.015205364678919734
TARA_B100000683,792388729.2825279,215968900,88,9004417.378210545,0.041693120528976835
TARA_B100000676,417551298.3125489,334359430,90,4639458.870139432,0.013875663294854379
TARA_B100000674,1087247198.7424443,206364947,87,12497094.2384189,0.06055822183027479
TARA_B100001123,478738589.77184737,351133123,87,5502742.41117066,0.015671385154885146
TARA_B100001121,1236100535.7504451,245065556,86,14373262.043609828,0.058650682201989365
TARA_B100001230,244710976.70902747,246944301,85,2878952.667165029,0.011658307786438971
TARA_B100001228,1126816413.8232117,278679634,86,13102516.439804787,0.04701641182650895
TARA_B100000611,801780686.5704123,264590527,88,9111144.165572867,0.03443488422989863
TARA_B100000603,1338575496.685871,205351653,87,15385925.249262884,0.07492476941134184
TARA_B100000624,249526046.1216927,225903500,86,2901465.652577822,0.012843827796283909
TARA_B100000622,781015657.8461808,274262559,85,9188419.504072715,0.03350227438107115
TARA_B100000639,244723716.07310146,298456081,86,2845624.6055011796,0.009534483586217094
TARA_B100000651,240572621.49138644,288933336,86,2797356.063853331,0.009681666029195506
TARA_B100000637,912965525.1155398,274386816,87,10493856.610523446,0.038244755209096655
TARA_B100000660,205851307.20335898,183888911,86,2393619.8512018486,0.013016662278248244
TARA_B100001242,422173217.0239975,347539966,88,4797422.920727245,0.013803945992004973
TARA_B100000658,292152336.9716457,220667248,89,3282610.5277713,0.014875839335120997
TARA_B100001090,546374136.2151947,355171301,87,6280162.485232123,0.01768206628055267
TARA_B100001089,928239752.3015201,270877282,83,11183611.47351229,0.041286635006594206
TARA_B100001261,545366191.7656375,238553827,86,6341467.346112064,0.026582962117443053
TARA_B100001263,546617057.9371706,307524077,86,6356012.301595007,0.020668340390124988
TARA_B100001275,508756441.82450414,263340676,86,5915772.5793547,0.022464332776888214
TARA_B100001977,1237624856.7305434,285692059,87,14225573.065868314,0.049793379331794146
TARA_B100001964,1096349167.655785,294488097,88,12458513.26881574,0.04230565987465272
TARA_B100001971,795123750.8573395,309226736,85,9354397.068909876,0.030250932341470874
TARA_B100001287,602225024.3230866,231031969,86,7002616.561896356,0.03031016266799144
TARA_B100001996,426474379.4277036,250831658,87,4902004.361237973,0.019543005058946638
TARA_B100002003,542210641.9185398,270871162,84,6454888.59426833,0.023830106337670343
TARA_B100001989,433824964.14399475,227910343,86,5044476.327255753,0.022133599821995587
TARA_B100002010,526832658.7953934,280468845,86,6125961.148783645,0.021841859650342427
TARA_B100002017,612333484.7855387,267382038,84,7289684.342684984,0.027263178922605803
TARA_B100001937,975141699.3108761,493882935,87,11208525.279435357,0.02269470047479036
TARA_B100002056,498769624.84832186,276004415,85,5867877.939392022,0.021260087232271345
TARA_B100002046,420947677.60812074,311052227,84,5011281.876287152,0.01611074103091746
TARA_B100002054,426159041.83170676,272587937,87,4898379.791169044,0.017969906684348412
TARA_B100001217,275409617.2754928,205137897,85,3240113.144417562,0.015794805308048773
TARA_B100001215,991109511.8911831,427715448,87,11392063.35507107,0.026634678285155297
TARA_B100001196,410782161.57434416,339497667,86,4776536.762492374,0.014069424407833628
TARA_B100001139,24192866.10210635,51865276,87,278078.92071386613,0.0053615625358643835
TARA_B100001135,1008822930.0847281,316403681,88,11463896.932781002,0.036231869668990994
TARA_B100001158,973755373.3427728,225948330,85,11455945.568738503,0.050701616465757916
TARA_B100001750,380804135.6952055,319301079,88,4327319.723809154,0.013552474477573418
TARA_B100001741,1111746985.6968763,368263433,87,12778700.985021567,0.034699891001726386
TARA_B100001765,348323858.0897252,325859594,85,4097927.742232061,0.012575746786918482
TARA_B100001758,673869799.9352484,294815368,89,7571570.785789307,0.025682415530622227
TARA_B100001776,1191928468.7465737,284405550,86,13859633.357518299,0.04873193704383862
TARA_B100001769,1602425646.3688862,357794052,88,18209382.34510098,0.050893474174078725
TARA_B100001557,303848359.06605923,293800009,86,3533120.454256503,0.012025596821055588
TARA_B100001564,1924862832.293852,372681787,88,21873441.2760665,0.0586920049196461
TARA_B100001171,1812850820.7072535,1105582114,84,21581557.389372066,0.01952053774756713
TARA_B100001297,839427944.0014676,225978877,87,9648597.057488132,0.04269689798258504
TARA_B100002033,1347290913.8663418,498084112,87,15486102.458233815,0.0310913399667601
TARA_B110001437,356259057.76689494,209698652,83,4292277.804420421,0.020468790635909385
TARA_B110001435,614103107.134112,253003582,86,7140733.803885023,0.02822384468803696
TARA_B110001446,473995598.5825677,181183793,86,5511576.727704275,0.03041981093587259
TARA_B110001444,486281827.5398776,149703144,87,5589446.293561812,0.0373368664425766
TARA_B110000200,172983365.93708783,205115460,88,1965720.0674669072,0.009583480774520396
TARA_B110001467,2703734608.8800488,178732939,88,30724256.919091463,0.1719003620205197
TARA_B110000044,506723521.2717856,215748775,88,5758221.832633927,0.026689476371923444
TARA_B110000035,222250019.75613576,160090923,89,2497191.2332150084,0.015598581021454967
TARA_B110000023,336944163.5939623,229445360,90,3743824.0399329145,0.016316843539276257
TARA_B110000085,571359619.5921377,236912365,89,6419771.0066532325,0.027097661224449947
TARA_B110000083,475125031.2584344,211400400,90,5279167.013982604,0.024972360572556175
TARA_B110000122,564151144.7304701,194415764,89,6338776.907083933,0.03260423319934043
TARA_B110000110,1382503434.5252597,264833169,89,15533746.455339996,0.05865483736042141
TARA_B110000112,366786839.31577134,229531388,90,4075409.3257307927,0.017755346496361502
TARA_B110000204,770875936.231118,214900526,86,8963673.677106023,0.04171080380280699
TARA_B110000501,286300512.706344,160688119,87,3290810.4908775175,0.02047948853566154
TARA_B110000206,334236452.14898384,187487146,87,3841798.3005630327,0.020490995689715352
TARA_B110000235,1156184837.7840192,279107359,86,13444009.741674643,0.048167879879063465
TARA_B110000233,1153064956.8497844,256419395,87,13253620.193675682,0.051687276594953674
TARA_B110000255,829168332.6590362,259782864,87,9530670.490333749,0.03668706374079296
TARA_B110000253,1033869624.4900606,270173168,87,11883558.902184604,0.0439849707880118
TARA_B110000257,110393903.31423143,183487972,90,1226598.9257136825,0.006684900990205955
TARA_B110000283,277545537.9780791,165533115,90,3083839.310867545,0.018629742519299206
TARA_B110000975,296034008.8666287,93056969,89,3326224.818726165,0.035743962590552084
TARA_B110000966,212484616.0310228,129099235,88,2414597.909443441,0.018703425387791343
TARA_B110000969,441837521.1137815,176877743,89,4964466.529368332,0.028067220019696495
TARA_B110000303,900726304.6992877,221178186,87,10353175.916083766,0.04680920891576426
TARA_B110000906,207287343.84425634,124624572,88,2355537.998230186,0.01890107191886834
TARA_B110000901,387624958.57149845,123717581,88,4404829.074676119,0.03560390559750856
TARA_B110000875,345033846.9428854,180899871,88,3920839.169805516,0.021674084940643854
TARA_B110000494,130714791.44948184,255197841,89,1468705.5219042904,0.00575516437031413
TARA_B110000481,978610428.5701149,247834754,88,11120573.051933123,0.0448709185150567
TARA_B110000857,1051942204.7890306,252207755,87,12091289.710218742,0.047941783987644405
TARA_B110000465,92186848.99772067,174137249,90,1024298.3221968964,0.005882132215129322
TARA_B110000457,644805483.5402707,209346502,87,7411557.282072077,0.035403301279292816
TARA_B110000436,285168378.8955886,191250673,89,3204139.0887144785,0.0167536094825375
TARA_B110000442,287789853.1219274,151605219,88,3270339.240021902,0.021571415955158525
