sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000165,5671729.103,77594720,86,65950.33841,0.000849933
TARA_A100000220,130071869.7,264247497,88,1478089.428,0.00559358
TARA_A100001026,119231976.9,214004727,88,1354908.828,0.00633121
TARA_A100001195,92006372.61,248704686,88,1045526.962,0.004203889
TARA_A100001401,147783394.2,276738619,89,1660487.575,0.006000202
TARA_A200000327,260263429.2,283189283,88,2957538.969,0.010443683
TARA_A200000369,214174163.4,266034035,84,2549692.422,0.009584084
TARA_B100000071,346532539.8,381457164,88,3937869.77,0.010323229
TARA_B100000089,255712119.1,344640365,89,2873169.877,0.008336719
TARA_B100000091,342368265.4,357550409,89,3846834.443,0.010758859
TARA_B100000101,335612351.4,303665320,89,3770925.297,0.012418031
TARA_B100000110,130093658,234494627,86,1512716.953,0.006450966
TARA_B100000116,418473461.1,1064527710,88,4755380.24,0.004467127
TARA_B100000120,153348336.4,221263526,82,1870101.663,0.00845192
TARA_B100000127,116633004.5,243128289,89,1310483.197,0.005390089
TARA_B100000133,124731741.6,292998252,88,1417406.154,0.004837593
TARA_B100000143,119790232.3,247215334,90,1331002.581,0.005383981
TARA_B100000178,127887565.8,286145283,90,1420972.954,0.004965914
TARA_B100000194,108647092.7,248400663,90,1207189.919,0.00485985
TARA_B100000212,97212211.63,290740814,87,1117381.743,0.003843223
TARA_B100000214,236080140.5,372774442,88,2682728.869,0.007196655
TARA_B100000236,83619074.41,254949173,83,1007458.728,0.003951606
TARA_B100000248,217352533,333858766,89,2442163.293,0.007314959
TARA_B100000261,142369033.3,268651985,89,1599652.06,0.005954365
TARA_B100000267,123976970,329496557,89,1392999.663,0.004227661
TARA_B100000282,271637141.6,379764377,90,3018190.463,0.007947534
TARA_B100000287,313585242.2,360109965,89,3523429.688,0.009784316
TARA_B100000315,262770440.5,406547227,89,2952476.86,0.007262322
TARA_B100000353,69722309.37,198137012,90,774692.3263,0.003909882
TARA_B100000355,76286725.66,253247958,89,857154.2208,0.003384644
TARA_B100000420,34734927.28,101426752,89,390280.0818,0.003847901
TARA_B100000422,110333236,203142728,87,1268198.115,0.006242892
TARA_B100000436,79336000.13,199342794,88,901545.456,0.004522589
TARA_B100000444,255382109.6,265480342,89,2869461.905,0.010808566
TARA_B100000457,87651642.47,165343726,90,973907.1385,0.005890197
TARA_B100000473,91002564.79,194715216,87,1046006.492,0.005371981
TARA_B100000480,158342666.5,242577159,88,1799348.483,0.007417634
TARA_B100000493,58060283.81,155876239,88,659775.9524,0.004232691
TARA_B100000513,101613062.3,227326165,87,1167966.234,0.005137843
TARA_B100000515,59195321.39,198996548,88,672674.1067,0.003380331
TARA_B100000524,86020120.33,188010395,88,977501.3674,0.005199188
TARA_B100000526,97696015.74,302300119,87,1122942.71,0.003714662
TARA_B100000562,87588410.41,211718785,88,995322.8455,0.004701155
TARA_B100000575,130432395.1,270046469,88,1482186.308,0.005488634
TARA_B100000579,90517308.48,264491758,89,1017048.41,0.003845293
TARA_B100000593,56953648.74,134794655,85,670042.9264,0.004970842
TARA_B100000603,115942935.6,205351653,87,1332677.421,0.006489733
TARA_B100000611,109120691,264590527,88,1240007.852,0.004686516
TARA_B100000622,108341794.2,274262559,85,1274609.344,0.004647406
TARA_B100000624,79875864.18,225903500,86,928789.1184,0.004111442
TARA_B100000637,74875601.19,274386816,87,860639.0942,0.003136591
TARA_B100000639,54082492.83,298456081,86,628866.1956,0.002107064
TARA_B100000651,100388033.7,288933336,86,1167302.717,0.004040042
TARA_B100000658,60801449.55,220667248,89,683162.3545,0.003095894
TARA_B100000660,54894429.02,183888911,86,638307.3141,0.003471157
TARA_B100000674,107634795.3,206364947,87,1237181.555,0.005995115
