sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_A100000165,310824.5,77594720,86,3614.238372,4.66E-05
TARA_A100000220,2652861.285,264247497,88,30146.15097,0.000114083
TARA_A100001026,4923653.877,214004727,88,55950.61224,0.000261446
TARA_A100001195,3585693.269,248704686,88,40746.51442,0.000163835
TARA_A100001401,678509.8587,276738619,89,7623.706278,2.75E-05
TARA_A200000327,2279931.352,283189283,88,25908.31082,9.15E-05
TARA_A200000369,4556139.218,266034035,84,54239.75259,0.000203883
TARA_B100000071,79863651.32,381457164,88,907541.4923,0.002379144
TARA_B100000089,11527215.9,344640365,89,129519.2797,0.00037581
TARA_B100000091,1926250.975,357550409,89,21643.26938,6.05E-05
TARA_B100000101,35449627.87,303665320,89,398310.4255,0.001311676
TARA_B100000110,10568068.92,234494627,86,122884.5224,0.00052404
TARA_B100000116,19557881.85,1064527710,88,222248.6574,0.000208777
TARA_B100000120,30362990.07,221263526,82,370280.3668,0.001673481
TARA_B100000127,1970245.406,243128289,89,22137.58883,9.11E-05
TARA_B100000133,3182178.658,292998252,88,36161.12111,0.000123418
TARA_B100000143,1600827.157,247215334,90,17786.96841,7.19E-05
TARA_B100000178,3566674.22,286145283,90,39629.71355,0.000138495
TARA_B100000194,3167192.544,248400663,90,35191.02826,0.00014167
TARA_B100000212,45115150.04,290740814,87,518564.943,0.001783599
TARA_B100000214,16885875.94,372774442,88,191884.9539,0.000514748
TARA_B100000236,2306101.535,254949173,83,27784.35584,0.00010898
TARA_B100000248,9639758.984,333858766,89,108311.8987,0.000324424
TARA_B100000261,1381025.754,268651985,89,15517.14331,5.78E-05
TARA_B100000267,3760000.074,329496557,89,42247.19184,0.000128217
TARA_B100000282,6101257.751,379764377,90,67791.75279,0.00017851
TARA_B100000287,23475677.3,360109965,89,263771.6551,0.000732475
TARA_B100000315,56566733.02,406547227,89,635581.2699,0.001563364
TARA_B100000353,1655244.048,198137012,90,18391.60054,9.28E-05
TARA_B100000355,3433681.292,253247958,89,38580.68867,0.000152344
TARA_B100000420,4263210.265,101426752,89,47901.23893,0.000472274
TARA_B100000422,5567892.364,203142728,87,63998.76281,0.000315043
TARA_B100000436,2378972.469,199342794,88,27033.77805,0.000135615
TARA_B100000444,31437676.31,265480342,89,353232.3181,0.00133054
TARA_B100000457,2966046.716,165343726,90,32956.07462,0.000199319
TARA_B100000473,1520068.687,194715216,87,17472.05387,8.97E-05
TARA_B100000480,8083335.502,242577159,88,91856.08525,0.000378667
TARA_B100000493,523264.2092,155876239,88,5946.184195,3.81E-05
TARA_B100000513,10613147.32,227326165,87,121990.199,0.000536631
TARA_B100000515,3512691.334,198996548,88,39916.94698,0.000200591
TARA_B100000524,2397773.899,188010395,88,27247.43067,0.000144925
TARA_B100000526,1203649.121,302300119,87,13835.04737,4.58E-05
TARA_B100000562,1310785.229,211718785,88,14895.28669,7.04E-05
TARA_B100000575,3790137.117,270046469,88,43069.73997,0.00015949
TARA_B100000579,5755170.607,264491758,89,64664.83828,0.000244487
TARA_B100000593,1758950.45,134794655,85,20693.5347,0.000153519
TARA_B100000603,1404145.61,205351653,87,16139.60472,7.86E-05
TARA_B100000611,3651468.612,264590527,88,41493.9615,0.000156823
TARA_B100000622,15273761.88,274262559,85,179691.3163,0.00065518
TARA_B100000624,11724808.55,225903500,86,136334.9831,0.00060351
TARA_B100000637,1126835.906,274386816,87,12952.13685,4.72E-05
TARA_B100000639,6905687.204,298456081,86,80298.68842,0.000269047
TARA_B100000651,24642126.67,288933336,86,286536.3566,0.000991704
TARA_B100000658,830101.1439,220667248,89,9326.979145,4.23E-05
TARA_B100000660,2385064.038,183888911,86,27733.30276,0.000150816
TARA_B100000674,549209.218,206364947,87,6312.749632,3.06E-05
TARA_B100000676,11765853.14,334359430,90,130731.7016,0.000390992
TARA_B100000678,62557166.94,407546955,88,710876.8971,0.001744282
TARA_B100000683,937552.7351,215968900,88,10654.00835,4.93E-05
TARA_B100000686,29840312.22,353444061,88,339094.4571,0.000959401
TARA_B100000700,42576084.73,387585432,89,478382.9745,0.001234265
TARA_B100000713,272982.9032,209774688,88,3102.078445,1.48E-05
TARA_B100000747,21522574.41,208490145,87,247385.9127,0.001186559
TARA_B100000765,762599.0936,178945402,88,8665.898791,4.84E-05
TARA_B100000767,3576508.486,221516962,88,40642.14188,0.000183472
TARA_B100000768,1944057.469,159339848,88,22091.56215,0.000138644
TARA_B100000780,3498150.083,213962639,89,39305.05711,0.000183701
TARA_B100000787,3401438.549,191355857,89,38218.41066,0.000199724
TARA_B100000795,1484378.747,127615714,89,16678.41289,0.000130692
TARA_B100000801,255958.8994,143616088,89,2875.94269,2.00E-05
TARA_B100000811,445320.9013,221907464,88,5060.464788,2.28E-05
TARA_B100000813,314775.0783,110164227,89,3536.798633,3.21E-05
TARA_B100000832,188530.9671,124043396,88,2142.397354,1.73E-05
TARA_B100000834,559030.993,196340040,83,6735.313169,3.43E-05
TARA_B100000851,739524.6826,198932377,89,8309.266096,4.18E-05
TARA_B100000858,767296.4731,217138014,86,8922.052013,4.11E-05
TARA_B100000865,542816.8195,112102052,88,6168.372949,5.50E-05
TARA_B100000872,452921.6639,166422541,88,5146.83709,3.09E-05
TARA_B100000885,12294148.28,268920360,88,139706.2304,0.000519508
TARA_B100000900,3285882.488,252497298,88,37339.57372,0.000147881
TARA_B100000902,8684122.852,251568804,88,98683.21423,0.000392271
TARA_B100000916,2668229.527,150393192,88,30320.79008,0.00020161
TARA_B100000918,2247667.127,158214503,88,25541.6719,0.000161437
TARA_B100000920,22485290.05,259806433,87,258451.6098,0.000994785
TARA_B100000925,979578.3731,198246250,88,11131.57242,5.62E-05
TARA_B100000927,4261019.224,246762914,88,48420.673,0.000196223
TARA_B100000929,104001245.9,344757307,88,1181832.339,0.003428012
TARA_B100000939,4747111.962,175238058,86,55198.97631,0.000314994
TARA_B100000943,1577406.371,219166679,87,18131.10771,8.27E-05
TARA_B100000953,43899039.6,303923905,87,504586.6621,0.00166024
