COG_func_group,count_all,count_integron,proportion_all,proportion_integron
Amino acid transport and metabolism,75144,7,0.08978174662440275,0.017948717948717947
Carbohydrate transport and metabolism,47462,9,0.056707405225798514,0.023076923076923078
"Cell cycle control, cell division, chromosome partitioning",12429,2,0.014850118822456907,0.005128205128205128
Cell wall/membrane/envelope biogenesis,65513,11,0.07827466686102014,0.028205128205128206
Coenzyme transport and metabolism,56164,20,0.06710451955462786,0.05128205128205128
Cytoskeleton,1002,1,0.0011971855386677787,0.002564102564102564
Defense mechanisms,21838,36,0.026091953885655637,0.09230769230769231
Energy production and conversion,55214,13,0.06596946340519234,0.03333333333333333
Function unknown,29528,26,0.03527993471634947,0.06666666666666667
General function prediction only,76095,42,0.09091799756978504,0.1076923076923077
Inorganic ion transport and metabolism,41289,9,0.049331929846361186,0.023076923076923078
"Intracellular trafficking, secretion, and vesicular transport",15647,2,0.01869497217917638,0.005128205128205128
Lipid transport and metabolism,50840,6,0.06074342593400186,0.015384615384615385
"Mobilome: prophages, transposons",9917,26,0.011848791404160041,0.06666666666666667
Nucleotide transport and metabolism,23603,5,0.028200768731712154,0.01282051282051282
"Posttranslational modification, protein turnover, chaperones",45448,26,0.054301086188995214,0.06666666666666667
"Replication, recombination and repair",38226,89,0.04567226986139172,0.2282051282051282
"Secondary metabolites biosynthesis, transport and catabolism",21909,9,0.026176784397876608,0.023076923076923078
Signal transduction mechanisms,49603,7,0.05926546334784214,0.017948717948717947
Transcription,39308,20,0.04696503907580144,0.05128205128205128
"Translation, ribosomal structure and biogenesis",60784,24,0.0726244768287248,0.06153846153846154
