connector_RNA,RNA_transposase,RNA_CAZyme,RNA_peptidase,RNA_secretory_CAZyme,RNA_secretory_peptidase,RNA_Lipid_transport_and_metabolism,RNA_Coenzyme_transport_and_metabolism,RNA_Signal_transduction_mechanisms,RNA_Defense_mechanisms,RNA_Energy_production_and_conversion,RNA_Replication_recombination_and_repair,RNA_Cell_wall,RNA_Amino_acid_transport_and_metabolism
TARA_X100000009,0.00010400064675515698,0.026010436099084853,0.030695970433888213,0.001124094796449004,0.008261905883656509,0.009551226945597315,0.009222401219225284,0.0036370321717673596,0.003166154355359157,0.03980367007497285,0.011476891302247369,0.016520416603218808,0.033264910942270014
TARA_A200000327,9.148761049103437e-05,0.023276931966156163,0.03821958238208183,0.001050627405098569,0.006836064792765278,0.009449778151854313,0.01086248916252906,0.0031640170315563247,0.0033039292710112106,0.03565163095866458,0.012018470660476902,0.015142245093698232,0.034076104417106116
TARA_A200000369,0.00020388275729533144,0.01931255112534104,0.027373151836484956,0.0009385312297409574,0.007125771251496526,0.007919435149716367,0.007685932200028327,0.0036599762105984147,0.0031431551670976503,0.034448005676089605,0.009308329839951585,0.013059224496573315,0.028100697341196385
TARA_A100000165,4.657840600614353e-05,0.003529511717634308,0.0040794312656315815,0.00018052293723909497,0.000521332644111275,0.0011564539398498876,0.001579778109937086,0.0009937324929146052,0.0006256331247035504,0.005319622405177464,0.0014691321367443927,0.0018976558875702762,0.00390708708882672
TARA_A100000220,0.00011408301425630965,0.01264467458509683,0.01837499059771616,0.0009105543895214804,0.004520894580150249,0.006231933520704509,0.00643970544093905,0.0017098526547449588,0.0018255337361507797,0.022926305838466637,0.007860369463517985,0.008953484948962708,0.029300535437265112
TARA_S200002603,0.00011860091914528508,0.01887087545179399,0.02890363783662025,0.0011137943897141986,0.00738409831156802,0.008668748475171835,0.007331764607720808,0.0030339917510783364,0.0028374770763890194,0.031834902308863766,0.010444905568381298,0.012551444726614774,0.0348292554377053
TARA_E500000176,0.00012863729672216422,0.011770015424277807,0.01641950143163777,0.0006905105249409014,0.004910962201547964,0.005576080806794253,0.005575663349973396,0.0019376474933886988,0.002087205479436748,0.02103901224603437,0.006787311877052356,0.008778868689618491,0.02685514770888637
TARA_A100001401,2.7548400383297386e-05,0.011745429738361688,0.023098864968045432,0.00033218529568797273,0.004225012756787449,0.006508165418082813,0.009737919453230465,0.0018821950212650504,0.0024440975108340505,0.02773989616108615,0.0070411058423875735,0.008160928854848336,0.028966488956943294
TARA_A100001026,0.00026144568403938705,0.013040167418908335,0.02074080400441653,0.0006556027167833387,0.0048397203688424865,0.006951976631141657,0.008148250409296863,0.002449878759530732,0.002699455212229237,0.03012752214456045,0.006991964800777907,0.00927457541779913,0.02769435310902577
TARA_A100001195,0.00016383492839118215,0.01030044798934393,0.01523238666669829,0.0003840838122978971,0.0030363947902400067,0.0052956641943655135,0.006755113657714736,0.001718780385088383,0.0022916488432541604,0.022457628037661995,0.006303868715873224,0.007061841856591658,0.02243451324218314
TARA_B100000315,0.0015633639283742452,0.014395320016779019,0.014076603864999888,0.00076682705881519,0.005999062882262238,0.005635982237329299,0.0035790163687502174,0.004438461258780661,0.002110203538813719,0.0300261236686606,0.0061189383095537975,0.011237213487731313,0.017436133818233213
TARA_B100000071,0.002379143919593677,0.0277640884938608,0.024272070980090262,0.001783578293535054,0.008415517278966948,0.013693622157249213,0.007320961777158475,0.008187078153912977,0.0066707820999667156,0.04781451477345658,0.010326292663533715,0.02219006226776295,0.03439956455900025
