site,size_fraction,depth,RPKM_code,num_reads
TARA007,girus,DCM,tara007_girus_DCM,178519830
TARA007,girus,SRF,tara007_girus_SRF,221166612
TARA007,prot,DCM,tara007_prot_DCM,744458992
TARA007,prot,SRF,tara007_prot_SRF,265432098
TARA009,girus,DCM,tara009_girus_DCM,416553274
TARA009,girus,SRF,tara009_girus_SRF,489617426
TARA009,prot,DCM,tara009_prot_DCM,329036110
TARA009,prot,SRF,tara009_prot_SRF,370813078
TARA018,bact,DCM,tara018_bact_DCM,408021182
TARA018,bact,SRF,tara018_bact_SRF,414976308
TARA023,bact,DCM,tara023_bact_DCM,147400552
TARA023,bact,SRF,tara023_bact_SRF,149566010
TARA023,prot,DCM,tara023_prot_DCM,508610652
TARA023,prot,SRF,tara023_prot_SRF,397044232
TARA025,bact,DCM,tara025_bact_DCM,386627816
TARA025,bact,SRF,tara025_bact_SRF,457560422
TARA030,bact,DCM,tara030_bact_DCM,346837034
TARA030,bact,SRF,tara030_bact_SRF,478785582
TARA030,prot,DCM,tara030_prot_DCM,426896616
TARA030,prot,SRF,tara030_prot_SRF,430029974
TARA031,bact,SRF,tara031_bact_SRF,401751524
TARA032,bact,DCM,tara032_bact_DCM,394022740
TARA032,bact,SRF,tara032_bact_SRF,397670070
TARA033,bact,SRF,tara033_bact_SRF,397670070
TARA034,bact,DCM,tara034_bact_DCM,449416158
TARA034,bact,SRF,tara034_bact_SRF,241308424
TARA034,girus,SRF,tara034_girus_SRF,208403344
TARA036,bact,DCM,tara036_bact_DCM,402101650
TARA036,bact,SRF,tara036_bact_SRF,251165916
TARA036,girus,SRF,tara036_girus_SRF,47924602
TARA037,girus,MES,tara037_girus_MES,532737716
TARA037,prot,MES,tara037_prot_MES,340330348
TARA038,girus,MES,tara038_girus_MES,157533556
TARA038,girus,SRF,tara038_girus_SRF,70533644
TARA038,prot,DCM,tara038_prot_DCM,328205338
TARA038,prot,MES,tara038_prot_MES,321388280
TARA038,prot,SRF,tara038_prot_SRF,375209692
TARA039,bact,DCM,tara039_bact_DCM,338044892
TARA039,bact,MES,tara039_bact_MES,276669050
TARA039,girus,MES,tara039_girus_MES,183842664
TARA039,girus,SRF,tara039_girus_SRF,49964608
TARA041,virus,DCM,tara041_virus_DCM,200048946
TARA041,virus,SRF,tara041_virus_SRF,85317778
TARA042,bact,DCM,tara042_bact_DCM,430039794
TARA042,bact,SRF,tara042_bact_SRF,401723064
TARA042,virus,DCM,tara042_virus_DCM,120008604
TARA042,virus,SRF,tara042_virus_SRF,99112476
TARA045,bact,SRF,tara045_bact_SRF,391038482
TARA046,girus,SRF,tara046_girus_SRF,119610982
TARA046,virus,SRF,tara046_virus_SRF,77435642
TARA056,bact,MES,tara056_bact_MES,434938762
TARA056,bact,SRF,tara056_bact_SRF,324775688
TARA056,virus,MES,tara056_virus_MES,103921448
TARA056,virus,SRF,tara056_virus_SRF,112802278
TARA057,bact,SRF,tara057_bact_SRF,336385740
TARA058,bact,DCM,tara058_bact_DCM,337711862
TARA058,virus,DCM,tara058_virus_DCM,102649026
TARA062,bact,SRF,tara062_bact_SRF,291429494
TARA062,virus,SRF,tara062_virus_SRF,121191220
TARA064,bact,DCM,tara064_bact_DCM,410378996
TARA064,bact,MES,tara064_bact_MES,244932320
TARA064,bact,SRF,tara064_bact_SRF,629462328
