bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count
CPC-1,ERR594313,SRF,0.04253466897928969,6.0,,
CPC-1,ERR594325,SRF,0.051549998116186393,5.0,,
CPC-1,ERR598943,SRF,0.0882712054487937,5.0,,
CPC-1,ERR598952,DCM,0.8084758476721048,4.0,,
CPC-1,ERR598962,DCM,0.12918390548628844,7.0,,
CPC-1,ERR598965,DCM,0.032362549026776946,7.0,,
CPC-1,ERR598971,MES,0.1554242555933844,2310.0,0.11539223796843638,65.0
CPC-1,ERR598978,SRF,0.12949367624159985,15.0,,
CPC-1,ERR598994,SRF,0.5330077837394414,4.0,,
CPC-1,ERR598997,SRF,0.7677454154445493,3.0,,
CPC-1,ERR599007,DCM,0.12713025381129636,18.0,,
CPC-1,ERR599055,MES,0.11971735949359208,491.0,0.09328381483060083,11.0
CPC-1,ERR599064,SRF,0.05171181293885991,8.0,,
CPC-1,ERR599065,DCM,0.2171900931717493,12.0,,
CPC-1,ERR599067,MES,0.14635478217785292,1944.0,0.1014505187250857,57.0
CPC-1,ERR599108,DCM,0.17053486005041585,10.0,,
CPC-1,ERR599118,SRF,0.14328597335181015,14.0,,
CPC-1,ERR599128,MES,0.14474815040088473,1940.0,0.11821164046451405,49.0
CPC-1,ERR599132,MES,0.15051008316034215,2244.0,0.11691952622032807,65.0
CPC-1,ERR599144,SRF,0.645757074485774,4.0,,
CPC-1,ERR599168,DCM,0.11577779878557695,14.0,,
CPC-11,ERR594313,SRF,0.21414322354761486,9.0,,
CPC-11,ERR594325,SRF,0.3130234020438537,2.0,,
CPC-11,ERR594395,SRF,0.01901534147514172,95.0,0.047212265271232984,2.0
CPC-11,ERR594404,SRF,0.01149257380640516,76.0,0.07599776910279918,3.0
CPC-11,ERR598952,DCM,0.26047466806361347,2.0,,
CPC-11,ERR598962,DCM,0.3419023136246804,1.0,,
CPC-11,ERR598965,DCM,0.06143316072113553,11.0,,
CPC-11,ERR598971,MES,0.08557566833605243,105.0,0.003494987600130628,1.0
CPC-11,ERR599007,DCM,0.19705257444924892,5.0,,
CPC-11,ERR599055,MES,0.21713572712898568,3.0,,
CPC-11,ERR599064,SRF,0.19513993214885417,6.0,,
CPC-11,ERR599065,DCM,0.18704140264982794,6.0,,
CPC-11,ERR599067,MES,0.13888815670739194,6.0,,
CPC-11,ERR599108,DCM,0.20904276836491645,3.0,,
CPC-11,ERR599118,SRF,0.12914707432788608,7.0,,
CPC-11,ERR599128,MES,0.24172176732288728,4.0,,
CPC-11,ERR599132,MES,0.05431356984708222,16.0,,
CPC-11,ERR599168,DCM,0.1749376328566111,3.0,,
CPC-11,ERR599346,MES,0.1157665379192406,8.0,,
CPC-11,ERR599349,DCM,0.20407992733754657,4.0,,
CPC-11,ERR599353,SRF,0.1056396795826762,4.0,,
CPC-12,ERR594313,SRF,0.08455390914434487,4.0,,
CPC-12,ERR594325,SRF,0.07467447124764262,7.0,,
CPC-12,ERR594395,SRF,0.01996457753156369,3.0,,
CPC-12,ERR594404,SRF,0.007556380469532994,2.0,,
CPC-12,ERR598943,SRF,0.05216212545667785,1.0,,
CPC-12,ERR598952,DCM,0.05597491816045031,1.0,,
CPC-12,ERR598965,DCM,0.04563882019295976,3.0,,
CPC-12,ERR598971,MES,0.22155159809023925,7.0,,
CPC-12,ERR598978,SRF,0.12740498126264033,2.0,,
CPC-12,ERR598994,SRF,0.014542364555961291,1.0,,
CPC-12,ERR598997,SRF,0.05512715494373355,1.0,,
CPC-12,ERR599007,DCM,0.02335348225266758,2.0,,
CPC-12,ERR599064,SRF,0.2923982638806756,2.0,,
CPC-12,ERR599065,DCM,0.035454653292099465,2.0,,
CPC-12,ERR599067,MES,0.03328034436672433,1.0,,
CPC-12,ERR599108,DCM,0.04487418390960893,1.0,,
CPC-12,ERR599118,SRF,0.09908279219871449,2.0,,
CPC-12,ERR599128,MES,0.029555116713032407,1.0,,
CPC-12,ERR599132,MES,0.015793813825860172,1.0,,
CPC-12,ERR599144,SRF,0.027709553576479543,1.0,,
CPC-12,ERR599168,DCM,0.014389353182011387,1.0,,
CPC-12,ERR599346,MES,0.06440011465038673,1912.0,0.04849429945817345,26.0
CPC-12,ERR599349,DCM,0.2067510775765354,1.0,,
CPC-12,ERR599353,SRF,0.1985293933380609,2.0,,
CPC-1232,ERR594313,SRF,0.07817477762384609,72.0,0.03738901709782104,2.0
CPC-1232,ERR594325,SRF,0.10833131564167348,15.0,,
CPC-1232,ERR598943,SRF,0.7182507112068693,1.0,,
CPC-1232,ERR598952,DCM,0.1798177981576941,1.0,,
CPC-1232,ERR598965,DCM,0.061060604167853375,17.0,0.05481622690054806,2.0
CPC-1232,ERR598971,MES,0.4282299725171081,1.0,,
CPC-1232,ERR598978,SRF,0.07964367294781013,6.0,0.06755247795522766,1.0
CPC-1232,ERR598997,SRF,0.17981779815769408,1.0,,
CPC-1232,ERR599007,DCM,0.057200282303469616,3.0,,
CPC-1232,ERR599064,SRF,0.08213022398058623,67.0,0.08675300589988358,4.0
CPC-1232,ERR599065,DCM,0.06417087546132559,3.0,0.06417087546132559,1.0
CPC-1232,ERR599108,DCM,0.6405695483711263,1.0,,
CPC-1232,ERR599118,SRF,0.03358721476170345,5.0,0.1279397402961005,1.0
CPC-1232,ERR599128,MES,0.29382228218967216,1.0,,
CPC-1232,ERR599132,MES,0.5163905421653978,1.0,,
CPC-1232,ERR599144,SRF,3.9192622763522715,1.0,,
CPC-13,ERR598965,DCM,0.17473266280752942,431.0,0.20743341133760615,3.0
CPC-13,ERR598971,MES,0.09002606920052147,14.0,,
CPC-13,ERR599064,SRF,0.07541982761199059,102.0,,
CPC-13,ERR599065,DCM,0.09397337530329614,1.0,,
CPC-13,ERR599067,MES,0.08677800854006211,1.0,,
CPC-13,ERR599132,MES,0.15404001194385986,3.0,,
CPC-13,ERR599346,MES,0.2089873504992076,5.0,,
CPC-1326,ERR594313,SRF,0.03512052227736706,208.0,0.00955275414725678,14.0
CPC-1326,ERR594325,SRF,0.05469286381468764,1429.0,0.03819956603875367,52.0
CPC-1326,ERR598965,DCM,0.06685220732359579,1323.0,0.04370057596262633,47.0
CPC-1326,ERR598971,MES,0.8013096790324136,2.0,,
CPC-1326,ERR598978,SRF,1.7063298932913131,1.0,,
CPC-1326,ERR598994,SRF,0.03614670635745598,22.0,0.060831965562985826,2.0
CPC-1326,ERR599007,DCM,1.0369439755167298,1.0,,
CPC-1326,ERR599064,SRF,0.0030498898568555857,1.0,,
CPC-1326,ERR599065,DCM,0.09409350663395014,6.0,,
CPC-1326,ERR599108,DCM,0.3599655736874962,1.0,,
CPC-1326,ERR599118,SRF,0.05767681001452256,12.0,,
CPC-1326,ERR599128,MES,0.3649922958397527,1.0,,
CPC-1326,ERR599132,MES,0.7152419649407409,2.0,,
CPC-1326,ERR599144,SRF,0.03911667821857637,20.0,0.03956193753048809,2.0
CPC-1399,ERR594313,SRF,0.06995338623692067,29.0,,
CPC-1399,ERR594325,SRF,0.10210250850189602,1488.0,0.0406923936034605,58.0
CPC-1399,ERR594395,SRF,0.07863557006086744,8.0,,
CPC-1399,ERR594404,SRF,0.050044142709371436,7.0,,
CPC-1399,ERR598965,DCM,0.10786110347765687,1263.0,0.031333288309700814,43.0
CPC-1399,ERR598971,MES,0.12137479436649393,3.0,,
CPC-1399,ERR598978,SRF,0.29982178317796604,2.0,,
CPC-1399,ERR598994,SRF,0.09431760234138262,1138.0,0.05904779728189759,30.0
CPC-1399,ERR599007,DCM,0.16406104889122256,4.0,,
CPC-1399,ERR599064,SRF,0.07994858245842357,58.0,0.008163976106068253,4.0
CPC-1399,ERR599118,SRF,0.03808718802362908,2.0,,
CPC-1399,ERR599128,MES,0.04535459921715795,1.0,,
