bin,ERR598949,ERR598974,ERR599028,ERR599082,ERR599145
ARS-1,89232.52770556112,2297187.3778674128,747767.7121659914,648576.4321655424,294861.02063484874
ARS-100,47388.35119755373,4119791.853282967,21416779.491539694,272023.41444580676,311538.4940692789
ARS-1004,86517.07222475814,1047274.1165372869,5775589.939271319,494063.44330289075,1529594.3585617377
ARS-1009,1265217.5549376633,3626273.6053354987,20575889.51136708,7138810.199425083,7185602.120044257
ARS-1012,352506.109360274,7368842.141779008,38921340.66674874,1910349.9399004611,18325975.479396895
ARS-1018,3330.7225520305988,10904.035469584265,6767.9973507685245,20562.020669223537,18545.738042534813
ARS-1019,7834745.917774015,2280473.7716958737,12212837.635865454,41684772.81906456,14096813.721587365
ARS-102,0.0,189606.01667339043,24.96251874062966,61.515625,63.81395348837209
ARS-1030,666595.6238935316,1842010.2526156355,9205405.077715542,3301101.4554181574,23678129.95374253
ARS-1032,930.256819114467,505110.237687352,4956.1140670397845,6795.89525934275,6188.307571163789
ARS-1034,7157560.548730757,3390898.175384787,18750696.063870694,39441168.19286986,41028599.256800786
ARS-1036,681378.918082684,68148.59460060135,21691.442076617575,3480717.461758721,838441.8045927772
ARS-1037,1117232.0894606186,7084.143979177535,23971.82796197174,5744057.159406236,583241.4446915922
ARS-104,5514.738374089421,23327.3290210261,19516.49592861246,25459.42297943232,21861.82797661968
ARS-11,2249377.9872951894,24628.868653877864,119405.91365633174,12404418.14240111,320855.3639726602
ARS-112,200211.96040357073,112332.37964427161,543960.4647594907,1062359.0210358598,721135.7474075701
ARS-1134,2850999.803944322,1482331.421901337,8573516.249997187,16274276.367638154,8612033.623645248
ARS-115,13284.17128815148,13366.353683683477,37651.47189448661,68912.26600513552,38393.52432184034
ARS-1168,33.64299109235818,44649.386937604904,0.0,138.2089516537979,0.0
ARS-117,41.90830324909744,2244.8703155757457,361.89316249340834,694.975258982167,304.4146516612614
ARS-1176,0.0,4245.98643717335,303.22653721682843,299.53757059553385,268.6467098166128
