bin,ERR594290,ERR594312,ERR594345,ERR594346,ERR599031,ERR599037,ERR599062,ERR599109,ERR599167,ERR599172
ARS-1,35727808.428723335,7547999.476584258,87559676.71290112,32377547.11922366,19515666.434351515,228965962.52253324,117289121.07624775,101757232.0026022,246360331.17120543,95683950.92699504
ARS-100,24961.229333471798,5294.253025894948,57371.24077518993,569.6101703833871,3744.7258065779856,535.3516837459092,18905.75376364792,1850.5908798236162,5562.382559782776,171.64022293224133
ARS-1004,29076.106013392888,13462.036223612395,69934.9062410683,4547.823040881275,3330.2261839833454,2587.5123921381814,20872.740413779306,2167.725229097477,4549.573649830717,691.7619335850331
ARS-1009,58342.741238323026,47016.15043166926,142683.04078597025,6880.036768165463,4972.292938699146,33670.39333701242,27161.36407543962,3171.0429218788345,11890.607058127081,636.5978384318005
ARS-1012,39701.709587624035,13282.760513957224,95481.85262870294,20048.092657096273,11047.41450417188,7426.924679490354,68858.08159110034,12053.75499723575,26692.87697800859,3150.058537051866
ARS-1018,2590308.4665609947,1225430.2324693678,6352903.007795372,5196476.760579322,88237.05276166933,185723.84425212056,513491.03973918175,42149.2114283162,94266.73852639133,76062.79544444213
ARS-1019,92408.03836741412,167806.08987327438,231016.7381978038,16678.918280411217,4336.8050506687205,4233.435251531019,17439.97259863181,2486.1868791658762,8515.137428776781,1804.9522581195306
ARS-102,5286708.761852429,337527.50389198324,12945480.79168119,1496130.4653325654,1674400.8856478387,9372937.486653464,9848653.777123407,2523684.3021047935,5996320.900124474,3943437.048149634
ARS-1030,21972.186639236817,10870.694156400736,54816.53362409673,7123.257363190128,28743.636982086453,102557.54790216012,165575.61903074736,38204.092282819634,90426.49856382314,43439.27966050062
ARS-1032,1218331.5549660856,80002.22765934821,2956567.406357622,242575.9015297769,4525902.0358187575,18307943.30524445,25115464.440872964,7684755.191321381,16324962.21691024,7959102.571942687
ARS-1034,21419.75153588061,46537.16857509597,57318.953106017776,16005.035452579636,6235.29862709803,56731.992453839026,33479.977939048105,19390.5831185555,46614.052330761195,19705.884394077588
ARS-1036,1103582.7258464359,33437097.292335283,2620677.8836439014,2611179.416045773,602466.8252636915,2937787.7331345333,3257675.471602042,1998626.077786915,4246586.1231950475,1304055.6829661168
ARS-1037,329407.3716158265,94052731.33498159,774796.3975623085,14551113.570146063,18699.61490272678,1177904.2972312532,101901.43817021885,235231.5067223232,503348.6219432093,514235.8125622567
ARS-104,799032.9979547131,242337.75184472476,1950609.023153653,1628214.9327519818,165081.3725361028,148185.19089119398,970152.3835178027,45571.48228951994,116715.36927122614,62688.027999286984
ARS-11,188711.51651534793,143839737.07081553,465543.0726666132,1141072.394966814,31876.102647454452,958151.660199028,167931.90472460864,1667685.7299818615,3817172.4652901036,394778.53167926584
ARS-112,1386335.3695037111,25230765.328088585,3325597.7971577314,12289126.967152862,105686.28078537612,145948.62772287775,577598.7331245913,179420.05539488792,413294.455937148,67199.69417090685
ARS-1134,11813.280966145967,20198.908141034906,31936.899484693018,6909.1098244867935,4981.267663150951,19960.12263771062,30451.408027812446,13054.242478740289,33423.65902995445,10016.00634431218
ARS-115,1204030.4519097765,655854.0454257353,2932541.703192446,344107.65471737273,57529.66723292888,359999.30754828453,318556.7987319801,114102.38495696118,264771.482003034,152762.81236604677
ARS-1168,562051.6944458366,92153.44029560637,1343243.6488057333,1453448.8252596215,403534.6988048347,3362600.6173838545,2316621.56757859,168065.23154267747,376915.81818489387,1456440.2300183668
ARS-117,211142.80293090036,43776.09632765378,488184.4244705417,134139.24565250703,21063.463674573624,38496.209001405114,114762.07120757432,30257.05069313997,63795.04663527136,14301.318568841916
ARS-1176,258238.85974693304,383262.4194854967,632987.0031987346,4515284.06782589,30841.2442007894,432263.7616671842,199576.87480995804,59882.976746285414,141780.54608999452,186916.81660839965
ARS-1199,1695211.8780090846,14819.208615609083,4147186.5058147223,120920.68027218479,658926.3243917968,738748.2473399456,3921473.338671805,204958.210198193,476108.45469922817,309671.9075708078
ARS-120,133985.66201506107,64207.80735494758,320088.7694738974,329074.91370702186,13665.835899721118,48902.14648549222,82534.16334335387,17921.24729683101,42044.69107647477,18925.668376716138
ARS-1203,1334139.6100683266,115864.13175137353,3269405.642056846,679192.13083474,251297.2986310791,843527.6395628655,1490482.0442300143,169073.45169496455,401511.9395202489,349612.09378406283
ARS-1215,4650932.474130024,363634.62529508653,11269715.156575523,1187716.738101316,22580605.44097398,71249203.67763709,123631409.9150291,28512296.512454875,58699197.26329014,31764598.037555005
ARS-123,2712.4674481241964,5953.54311024033,5920.109875087291,5021.373799664618,216.7079070790827,2388.0164164649345,1412.6921384551206,547.5303693999322,1485.1273943643225,986.0810873198243
ARS-125,213466.14542873172,16876.26319354174,525629.7368223799,60987.27047940181,120109.28208136151,2306680.048201658,683023.0579629564,414080.6801938186,1000402.7004908958,973837.7886622453
ARS-1279,23925.266479696158,38808.41067388115,57710.59737543454,264209.0284135787,4364.256813789314,124293.03204278709,26843.410295548878,5224.160641821533,12465.049792533773,50517.06878821357
ARS-1297,3870.6192139438526,153852.2506887995,10186.249542556001,4152289.8663914707,8621.0608402623,13801421.479700364,57003.566129556966,677439.2045718273,1560905.7536788178,5876391.121327248
ARS-13,175395.17650661396,27538334.050215073,422549.9446947082,6365573.270180941,14731.312688203057,3357169.2896542335,84392.74568890397,3067978.100784068,7238531.148103691,1424007.8143411567
ARS-1307,1089494.0367983787,1718.1081371873693,2643642.2411300563,1714.490435606846,143599.5015119922,3372.1985636855998,837846.1893327705,4075.650016630538,8806.602828159652,1310.436238513529
ARS-1330,735081.7295735449,41440.6374462832,1801765.89173573,1161065.8973375813,761956.4050204029,3710541.6898530005,4268769.258865717,373124.62512134045,825456.3591174716,1567693.3674749213
ARS-1358,3207732.701955498,477894.5899890335,7792917.810477751,1599061.82788826,526958.577149145,452800.47550387256,3107337.987737896,172288.29180108375,414241.05487027165,193397.76927765206
ARS-1360,2382100.0678577595,154822.18934197768,5848890.274851296,833568.7710230447,241636.73044643353,345540.41872543853,1392748.5266469873,53634.3175063915,120540.46995400239,150283.73732388485
ARS-1386,2065996.2865912935,127010.38290969846,5020239.693046077,424631.71633560356,452029.52256108203,1997670.5606044314,2595842.312196234,556621.180661613,1324749.9351172568,849393.1547393232
ARS-14,2361.455201566228,9093855.567355389,8236.684290035433,1480873.13646747,2048.814664144637,2484618.354497323,11359.68303264866,285893.9358884571,682632.3393035415,1046839.3615329327
ARS-1414,899251.2729349112,380023.96432674513,2228006.558308968,692724.9327203685,124539.67772749928,70901.59826817997,771307.5984480242,49829.113584836094,117911.43953793039,30748.721682396736
ARS-1419,1632351.9142380857,48445.137227583386,4040856.6411393057,202771.65175898417,425342.87002063304,992170.2068147267,2548665.644313444,283222.9058220498,680057.213647472,406396.64425463637
ARS-1426,5326546.244664803,645642.2297491647,12794220.449928809,2276192.9247831544,23265502.739289366,135413342.38638073,126961133.05033672,48564024.04305032,101692607.08270036,59287234.131456695
ARS-1427,984710.9518382617,8225.011311903063,2417921.711472,100385.5033468645,86363.00082437338,16433.957110119547,497691.8702700849,1689.6004249667922,4906.182576253265,9060.865316617557
ARS-1434,257505.67448430834,51235.55065726462,646604.1307982504,235001.11191284214,5331.582999135109,17239.604676612158,33097.711758228914,5531.1303380127265,11370.074040512587,6800.288250917982
ARS-1441,443034.23862518347,25190.740112215877,1104229.8708253822,327560.55733149475,365864.4497101061,2113524.7095492193,2200751.837859803,426500.4467061459,1003549.904726804,876284.3624011612
ARS-15,380614.8833003191,184094.50413988327,942558.1985570724,601220.8596522633,37308.73376016922,169546.09942280554,207291.29795539594,62400.80422315875,132880.90434018735,78223.60118479209
ARS-16,276145.6602102548,58434.57195852374,691314.0230436807,389911.09268696856,846435.0075175947,23142999.34585968,4828003.044218644,9301407.248669256,20508829.96308264,10052981.969025746
ARS-17,1701299.474137411,54360.57534157757,4084024.3861281923,420038.37300045486,8488639.943384653,34450843.825495854,46928152.08449696,12899934.729867248,26942077.72665398,15266070.97203287
ARS-18,1200108.1112985697,834829.0181651305,2894799.3745791176,14142182.350828338,131212.67420332602,743525.1077587693,756473.4720249063,299157.8429552299,700963.8828165234,319619.5860393223
ARS-24,7595587.945850746,2600439.1565813744,18220076.887834672,1082487.4128223553,3448899.1931842216,8825266.110115478,19056570.517150663,3056609.45416387,6409698.939895883,3897622.5751915183
ARS-27,8170407.382485265,73929.92959567712,19786060.77724853,450681.0729654591,12265915.466867749,30391136.072392814,68081388.34419948,12497813.056201156,26849617.581471045,13214370.226453394
ARS-28,8815.518796899647,24821.832309851314,17975.1094994621,14050.797084240045,1316.920850164228,11302.134854526264,7513.848737450638,1397.7863803750902,3300.85647423137,2824.5221029270983
ARS-29,169171.8693373307,141358.23032228925,398838.8930408202,1153966.0997784704,452806.73579634586,82027350.61300929,2605206.822607298,30248455.880857117,67478313.66588311,35342577.07248987
ARS-3,4175203.7138276356,91833582.91469869,10077165.004484763,1793523.311572724,172580.047943775,219166.48472010344,984440.4341314565,552385.0330297915,1156103.2453732467,95883.49488074008
ARS-30,13827.27721656073,8796.271728859976,31333.120089448363,8360.911206248045,23954.458738932288,20279.466056498582,128718.77386542354,12727.476064132254,27793.76824895681,9568.255659022103
ARS-31,1489309.6659218569,289229.19489088235,3564227.3885482475,204426.556092902,3664820.4421923235,12411285.357043967,20287693.49600046,5560770.977655995,11857560.00763205,5386394.0684549445
ARS-33,12901.928155870712,50142.7821184184,34522.20449204079,2427874.664582155,5077.419735827247,4601084.511229871,32258.128274979565,19397.518707478084,42598.27683006417,1963388.1727044384
ARS-34,8507451.516137606,552063.7240855031,20534516.56974878,4425371.132746839,7058545.029691754,18912625.692331336,38886453.69172114,7754101.951689324,16411771.325324124,8222188.927023506
ARS-38,141392.01353337136,37490665.72591806,343300.0384824532,656689.3773390255,3711.8521674122394,50522.97727547839,18739.392768755537,355999.04594352527,769077.4293818984,22459.140978034706
ARS-4,135544.18387474664,28169142.59622372,324237.5682030244,1494433.5347108503,31977.482489759765,21192080.919503663,191118.37068828783,2720405.328420301,6210476.450969779,9045626.465248497
ARS-40,25716.454938801075,29400.57009163373,57680.71114022976,1429.4396123077931,962.5503994914395,670.8015160990353,5642.740378259251,1189.0324740940746,3851.497198879802,431.6997706974233
ARS-42,5461.634737317676,15374.786416467818,13997.66627185627,4242.236645071763,5006.2318629560905,16028.40843391027,26657.401912834957,5355.1965999384365,13495.499188300699,6881.251685678997
ARS-45,613453.5444355995,152918.8185522031,1477408.3743804896,5961561.420606479,9236.30888266038,5358085.722641993,53801.627912357144,56728.33088338004,128012.5420089449,2293891.1740933047
ARS-46,4114824.6332508796,428791.6326045108,9853941.819778694,1763850.1725488403,9387173.946129557,57983135.785613365,52057288.37788536,21210828.9732378,45823247.921105914,25139976.316439014
ARS-49,1095525.4527693954,17690.747071161266,2657956.731609335,39108.63922596631,465702.483949238,937219.8049117653,2650757.394143569,278632.42921697686,621937.9803677325,404716.9477199275
ARS-5,1193417.8220785065,12129150.709242959,2891120.3022869457,3796224.619861796,227847.98052630792,844274.1250269145,1239845.3335435663,322118.264418423,690952.3311068034,369292.13112013193
ARS-51,10325259.419364197,403210.30335702316,25197139.21097587,3088007.2706737816,72633.79312873217,86023.51345075927,436941.9565188138,13547.087791569109,32932.52393657346,32778.66825384114
ARS-52,1572968.6911786397,6817.212096588334,3841530.3894786024,47105.7406484559,222747.46974106363,438826.87503213383,1302724.454844468,39079.057776493035,93546.29789600981,181756.0114830465
ARS-59,22772.238645735608,8253.239557055556,50067.374283567435,4523.034205843503,2780.3420330530844,10167.519107259723,23266.792556289092,4011.345705876584,9710.245519541577,3976.8891845298635
ARS-60,23509.47969809742,10936.241333185504,57341.40284093929,1861.9125605275683,3400.790295268284,354.28247738932254,17642.43925620885,2130.3674459844124,8840.786339932412,99.27186240356022
ARS-61,2148810.4363053767,68560.87183427936,5171133.758310132,617012.8572108787,1262252.340134501,2658589.2180961305,6967884.864740209,960124.0129400245,1996453.5818358073,1194352.5115840796
ARS-62,992518.4707180462,561916.0457864489,2375130.241219181,354245.2867597885,474393.1321700955,312615.125227861,2623503.5509503745,178825.16957827317,377709.1341238442,132963.81281909804
ARS-63,199429.1527598015,53964.261584701904,468894.8254979174,183464.99792574512,11357.819787830655,47298.66288764898,67048.25728742163,17962.63121855451,37773.571777288744,23951.000150752323
ARS-65,54454.519447029095,30993.24546045172,141653.7892228813,120816.94987436912,2581.6332206674497,13721.562783009069,11226.64609385861,5392.880156865401,12685.79288607736,6742.335551664018
ARS-66,75362.09624496949,45601.19900936027,180353.26971256424,319021.9250702189,22185.293722306167,102890.98698132868,117237.4096165426,33757.842655649074,73566.6272537221,43865.087185423836
ARS-67,2869.2760488165495,35936.341745413025,6399.781645626469,154184.80382498098,1342.5147813610474,8444.751686761154,8108.293409478909,3738.3023441592322,7464.045829662493,3336.6105168398835
ARS-68,56755.763885375265,32411.916194553756,137581.30605101355,149367.41202748264,2449.4863425353346,15202.446588618299,18277.50580555937,8466.170464323499,17975.59178841121,6715.828266715675
ARS-7,3502289.139586687,2789527.0658071665,8500888.647532025,607631.588701826,260398.30852181444,6968444.524045279,1490396.4503072354,402510.398781225,908396.2299983483,2961024.1558779227
ARS-70,3372262.7258951743,23205.215932802814,8173803.312207571,18813.024959151036,6777730.583253349,230000.0436140381,37509120.31190314,608399.3105439252,1331876.4014873495,99125.77454143568
