bin,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349
CPC-1,16432.075004533293,196035.1102666109,77436.18705060365,1121729.6946534817,96187.02855287018,59118.384095894144,652206.6301822966,2823.508089606099
CPC-11,204275.95614901153,42304.94618219047,1986559.8661111551,241595.50203792387,1035285.1088110465,386028.0041620309,71105.15142984738,420688.46848850575
CPC-12,12868.475689902592,11729.749831266108,72636.86209310654,68411.48319059929,62213.33513933558,25300.80365227325,23069.47603294584,574681.4139488663
CPC-1232,9040.828583503764,45598.82486530529,3848811.1333804647,256850.48987584934,44421.25858333045,20311.49417347155,144003.63031542258,876.9790151925546
CPC-13,2016.4897210538252,3416.7889614692085,187931612.90952048,21215.00091799741,11951.970337788278,3789.7877346588352,11277.191904293271,44010.38595924477
CPC-1326,11920.432297419668,7149.2502844405035,13665585.515925616,46838.32468359794,67042.01249981899,26745.763738006302,27364.09053200328,390.2680260341087
CPC-1399,1591.2113949343116,6594.100606685517,12822487.287739092,40816.11507052689,11125.749558730618,4357.918487335814,22463.192185666412,8898.779802984951
CPC-14,52172.91390761284,1166.3881681554617,15787606.564844629,9687.705746532734,293463.92546887766,108084.85896770259,3642.7845786160983,22481.06460619124
CPC-16,805.0885465678673,962.4567840308466,189465.95587365932,4862.40401763224,3982.4377246552867,1302.8070089620203,561.8642245020626,0.0
CPC-17,7536.6234319496525,8331.74299291439,5948777.379259216,51704.27647538736,46243.896699698584,17096.68868121856,24926.61841983112,63982.2072980396
CPC-19,7795.5819250686145,14612.84853379101,670232.3587390085,77186.00165363548,43926.48904411791,16921.210469720238,33496.48926761683,27322.3713213178
CPC-2,14543.945005263933,9544.157759592628,105232.74409114786,55373.85982788782,76920.92716262414,30949.298182998315,21809.469178656105,1772.1665550999448
CPC-20,118218.94984262569,277631.4866420035,1083402.0149962045,1472357.6094626663,597871.6936701807,228797.39209791334,538257.3300323848,3384.6444949626625
CPC-21,40629.169119631944,7985.071031535653,128519.88739074618,39723.89810804589,214981.81444278965,83259.44623296219,8726.372048185414,2240.224882329618
CPC-23,78949.7402607748,4565416.170632629,534333.957194199,25407558.666066527,411098.9053141275,155903.85401313176,13061929.387934072,141657.54867654783
CPC-24,13980.725544713352,16876.293484314556,839242.5174116864,95983.0698022035,71226.48141741667,29851.397031835757,40885.90841931533,899.4288704623921
CPC-25,2696.87648362194,4964.635815641748,46779.40204469665,28735.276936862883,15385.703483234163,5710.760430866179,7315.761529236152,4177.61955548896
CPC-27,2213.93329648283,12726.180313784025,39137413.686745554,76047.15100850043,16951.169627379,6470.6400923123465,34448.6558892038,54206.06488404078
CPC-28,40301.53796587784,21464.836624207142,81891280.51604655,108584.6430763439,199845.56867181367,80235.84269392009,40652.513382612946,18152.924758526362
CPC-288,27805.446211907187,383929.1039479569,45232327.46659974,2224247.715753237,152534.1399538223,59208.96995434054,1286052.5261690745,306.6241772050931
CPC-289,71660.5043422842,165861.32170114707,5886829.166061644,948273.9601535212,413466.10442913126,157574.1414202566,507938.2370797236,216.3268946658738
CPC-29,145639.28484406744,570568.1099443765,2779901.986974377,3186304.557486597,782237.3355635866,308856.42322932684,1799721.0512013084,1855.1705427956024
CPC-294,23180.066941334815,60584.25336629425,6551314.59120896,359520.74234013027,119594.98712915737,47947.070213355444,188598.42072380983,10438.178814046432
CPC-296,289016.05786173785,80444.65009644332,112060.19841255607,455417.8728391598,1540007.3148892608,597377.388575908,257314.20935134648,4563.566708533452
CPC-297,10485.574404055931,63169.56014490455,17109933.93123698,309411.14492074115,62257.76469665557,19297.3549409853,71505.9858946676,370.4207620262363
CPC-3,111088.87740472738,11020.629463910185,2220.5544913990925,54972.832599312096,578721.5280394536,207551.8968821559,14106.001156279579,115.11990274963446
CPC-30,762750.1892174949,2980237.745332627,504915.0357682565,17072774.96132426,3936255.4865678917,1559087.590491764,10055785.258460693,261.44405397011815
CPC-300,7195790.913455943,124865.91045900171,95637.9199615335,695142.207122423,36754519.53001571,14444261.187023142,383688.38872463885,88.98694202479413
CPC-305,11604.975038789104,117755.03693496676,22587845.185633417,665623.0796108899,60634.10024154126,25654.552068014917,403277.5296288438,51878.59372183032
CPC-309,528.7274131395467,600.9575001011442,1123813.7362899142,4428.415557042498,3892.664816458892,1611.7620765059933,1877.7998534988656,89.29082290513647
CPC-31,6528.121853986497,10887.437334357279,70607.7162731313,35232.58111389347,15316.473664854544,4219.138481320735,14483.769196094408,152604.69059503428
CPC-310,3962.8442566866456,12062.627787462827,8181438.682926617,68157.32334768571,22723.42901568465,10417.039351436859,33238.2244947137,116.6951075270499
CPC-316,60245.84849875933,746398.7660011484,7828084.395438453,4097740.825559561,325346.8710183418,118601.56267930573,1785529.6760373362,494.0064718131136
CPC-319,31061.132472932826,912333.6633612348,17464645.16436222,5225950.92879987,188286.34759574954,69568.76520372255,2954982.394544879,511.0926928266034
CPC-32,3656.2698339934427,3386.763689761244,30507.607397782424,18989.14698241821,23751.158636665354,8947.96311142665,5353.340303507786,512855.25152150553
CPC-320,1695.7890501449872,21679.478796001727,20471035.876045108,121838.11970783354,9031.219563370458,3596.555399907021,47065.53705431965,1780.0865257454818
CPC-322,2861.376380305931,27675.70017145752,16256710.006194575,156602.17217029125,15286.114032940886,5107.640296651987,55079.46607570915,12849.655090332131
CPC-323,46699.543722731876,513150.9478217887,18546347.917298626,2925192.4464253914,251305.21664290203,94604.0788167192,1598646.2746662209,5794.871382920177
CPC-324,41263.12738739126,314115.8830893929,67342098.92953937,1730013.7811709167,232121.48193159205,91920.80543425058,799964.0025362808,47534.51531328413
CPC-327,332260.9872859107,621307.7233905238,12771744.386799885,3478587.69665531,1726882.546269176,674621.3102640939,1670361.8518847139,1033.2994602511155
CPC-33,8950.862507531781,7589.494925590072,433264.867625623,37943.42454348872,42400.09341654152,16727.620962933644,12058.898313860536,890808.369666637
CPC-34,15031.775286112726,16105.319709167505,24088.541770843378,98652.60507694099,73342.78409645372,29603.48871995896,56007.40423747432,3126596.791473559
CPC-38,153126.6525141296,218476.5427468618,115835.68097127759,1159935.9566375304,748875.6040339811,282788.9358291847,338464.9122658879,3318.708356517104
