bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353
CPC-1,444919.50491530355,1391444.4089773623,259.64099517016166,284.1445438992023,23530.926811641064,84381.85777608935,709712.8543628114,13153.644776577588,37060.72126896822,70525.8324577383,725349.8539834473,3724.751747177397
CPC-11,7158295.94558271,1974369.6594747754,9075692.47468174,9086923.016754204,9437.181222324736,28801.644015979142,300748.52215966873,179303.29525767374,534424.3000151132,992543.0418912555,309363.52665329754,237900.9370102117
CPC-12,92728.17647958607,118105.57364756832,883457.4494860409,892932.1736779662,18229.26685596019,56823.24127182986,14198.65151189008,11378.719508693088,45736.03218775675,72446.7369582539,14716.655835798023,3823872.322915329
CPC-1232,792397.6433469151,397038.13421310246,2721.3807758575235,2526.6962684123605,60316.52177689816,230552.15341168686,134305.2173221775,10509.84775053009,5811962.981303178,68904.58297957628,135203.51238365762,890.7072192510914
CPC-13,4727.139581042178,6358.982343115809,2263.1565477881727,2552.848286206248,1018.1055554682366,3558.0655015920784,784.3509786572903,1140.9090535932132,4581257.074464848,4329.059396188031,475.21262185969044,5602.840662153544
CPC-1326,3372943.7083435603,19395033.98253194,279.3357213539749,277.3940634402825,16696.737194647067,57096.77501004147,2410719.427945537,12970.34906384524,1161155.1967244938,92968.88310056113,2448089.2211231575,129.18733907704495
CPC-1399,4109204.4667753284,57046671.16039873,182355.53933253247,178140.67794790614,5595.759407165673,16585.90795111636,11100929.796410568,2648.3797551048506,4802719.49367902,11920.08908953454,11348780.6429746,5631.470686540124
CPC-14,15818.618845248955,25720.125335876815,3662.983949756823,3632.2060460921134,10480.470911454126,35083.331440925685,1548.1020803749877,150838.87830238606,54966.75026548033,944168.6309304733,976.2230932939891,18893.943223882838
CPC-16,13795.943207870774,4562.127730904864,10647.103664154503,10956.501436289709,1173.001163955699,5673.4332588727675,1001.7354692021506,847.1136105990404,40305270.274976,5952.764049791936,716.4204914774388,0.0
CPC-17,5303.1313915236315,12400.769969934267,1794.5697044557426,1515.1440679175562,606.4264411653375,3447.6493836741515,909.7402840315322,995.0837003066083,426756.0124016594,2980.8993878897504,993.3179044584045,7019.073668910787
CPC-19,61999.509146328084,315522.7613017387,91404.00000201845,91133.97579606673,4416.933286517995,17947.044356326274,6731.6889622281415,6873.1332938345695,596430.1638471327,40733.824706805855,5826.308690245439,72671.76418822467
CPC-2,17241.525480545806,41692.99809428927,1707.9476672488677,1226.9108553634749,10987.219190493108,41705.266463861466,3358.310122770298,33591.583259731284,241879.55958709682,196364.61723838886,3086.352609601114,2217.5700701134247
CPC-20,54218.4383109657,61393.76771204569,428.1247422078459,176.82818081043047,1040515.0744183572,3589928.3186473036,130836.00582753356,81368.62842569288,2530680.5660895556,429712.44213780365,131280.16325858067,2520.860558593023
