bin,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-1,1002118.6327777618,156094.40143477576,1988996.3261173049,29408.937117184054,931636.9513950684,1981931.1280031092,4541.440583119511,146855.4789596141,2327533.8560147337,1051684.876679968,22828.054371944225,4668.642110198672,47802.14965808409,148805.25874412223,5531085.750170601,72517.63963140627
EAC-10,870813.2460440493,1065514.0984580452,301.879014955485,632.6581799782925,269.1273712737127,221.60830486738237,3755199.154727196,637009.6508959427,7972914.549222742,3373635.655692637,9356290.896425813,3625031.2552870144,8671098.768287979,644328.7434830513,18846436.855420128,338.66103590188703
EAC-102,407425.8224570059,587428.1817750754,13342148.427919189,356117.43816830486,27711901.770048913,13269147.479298815,10741.94797806951,15713.031062871298,413910.5723228796,186019.01707250232,36778.21698968546,10613.410516960868,59742.95515430126,14417.995550987092,995790.8265888555,298512.866791747
EAC-103,154682.07726078972,52158.31110121699,4544.827351886117,885.7267923821282,5475.370699333502,4327.673752796578,2386.9389412383553,15434.81976393816,234936.32480277462,108976.9062545783,17228.676441574113,2455.0962332669533,19600.273858403263,17398.825503882785,571946.8778444293,5013.58251106984
EAC-107,73383.82751821104,114126.38451047683,80.46998508575689,196.1645776237583,32.95516304347824,212.03983128083402,460787.6495126494,35823.675482844425,144529.48977242928,59323.42667187428,1151584.7109799017,432899.09862649185,4779377.705463182,33261.95495351822,337086.28624694253,132.65845416649353
EAC-108,1619.4208939692512,11126.772598931346,21037.6220680539,3861.870630385817,83758.77664069617,20257.571910931216,624.4335120351208,1680.7360562039287,2501.8904289861307,1759.3361112989003,2469.974961303804,496.74133373578036,2320.238949872658,1529.9865042686606,7185.715188161154,52623.787988374694
EAC-109,24268.639586173194,18230.10252102609,43156.35032038813,423265.94820395653,96092.82246378902,43011.27286745534,379.7984330158951,938.2516695243089,1764.9764695822632,874.4764647121297,1122.7983196584826,207.3055877952993,2950.6494488937783,685.0893569354968,3736.1525112886934,336986.8958844493
EAC-11,9820.110414753772,8144.006637920166,210.76851295656775,328.7426135998443,344.3906053598931,155.5247765713983,43714.41318686129,14640.399118275809,48254.328539138165,16541.450671208986,255533.09908449108,43365.659155547626,15510543.422125658,14522.989599987937,106997.13409836822,33734.79870396076
EAC-113,164055.01798709683,44457.51505987817,26613.5503875969,11140.503875968994,18869.286821705424,28229.93770862644,514184.3397525701,1145156.6829863617,1351777.833717874,567769.4179332643,1305398.393586618,500742.074848994,129201.0229077224,1146467.4399015435,3220855.6293706684,8193.798449612403
EAC-117,12524.211680975315,3424.701129110064,33.33333333333333,31.02310231023102,132.3432343234323,29.37293729372937,9595.568574510124,121377.25430084065,221527.26807289408,93163.4165131344,27135.956333057977,9111.891889780542,13196.254010025252,122713.81324091493,514597.87086218345,11.55115511551155
