bin,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167
IN-1,45291.921269861916,15304.56800110569,9577.308379786207,7092.261972785176,52345.67040835352,368336.9824826693,148943.07086835746,23710.994896527453,761436.3507363425
IN-10,7816.7712263261055,232.64858061101188,863.9209785887317,982.9198958913584,5226.475714861491,750.1421202917952,2585.194530603205,402.67160407338076,1992.5412797241174
IN-1077,74374.91986749296,6701.670092628538,1046.4801477951335,11113.956128243635,6120.592788074939,2311.9563866540484,126626.6560110046,13162.743530650845,4920.304178112529
IN-11,349450.52229107963,67002.5453612391,11406.40187335253,53151.308173675156,68111.06547774162,53747.23510048197,2555535.4642236563,114223.56841909207,125234.98924259082
IN-12,169271.72193742165,87300.2343226456,8727.426646299504,25990.661624152377,40144.846751018435,10654.751389125826,57195.587330895745,147166.40682565531,22192.064458590834
IN-1213,9723.146689521589,4274.696873799476,905.8939246297632,1509.8525461189802,5380.676362873329,5069.242338569562,721462.2905623268,8806.165388707983,14556.88975191311
IN-13,116605.18412623958,241322.30079320885,5073.248214348143,17641.48441335185,35229.54998735884,125975.16441483726,1477725.6880158836,419547.56761134294,295159.3073488021
IN-1311,149876.24729332136,30360.77459035747,1290.2923471136592,32242.186380971427,6996.518757177873,1274.6576948754323,1223278.4495037019,59271.57076026196,2739.9811892392963
IN-14,99297.19844497778,15773.223529507362,7504.3589881691305,14991.512424016946,45276.053259704495,8917.03763143092,284933.38956709846,25748.107238551827,25396.97551111588
IN-15,1000931.3719828894,487008.1286998585,187713.4980697594,225971.9585885526,415755.7287726973,548431.8048984023,552157.4825268973,953290.9856190236,642567.9094210917
IN-16,1786505.2985941416,388642.69305759773,13987.003325045673,293987.8726744679,84994.8650986199,19144.262780585763,11499215.71168471,666645.8970566525,43289.661035155696
IN-17,169493.18456347685,25009.96976255451,1853.09863505532,24266.07669590082,10475.13106928448,2293.2883527903673,572853.2683867932,45329.06381805593,7391.938755030792
IN-18,23844.738584187606,4775.550811307438,4174.956286988254,3773.8149644441633,24086.807002637448,6456.17912176199,91306.09774403881,9360.667977747667,18355.1323383683
IN-19,355446.16193158843,87984.18603702924,1932.4744240303091,66495.70552043985,14052.760103533501,44747.3253069268,745040.7989194021,157883.51963889372,99093.21816201338
IN-2,20876.83209720612,3884.040589378893,4318.018246833907,2929.9377808806294,20719.80145420395,15198.609999138054,38646.35537347674,7195.366013787074,36588.44236186696
IN-20,21470833.846019417,2115246.950163995,173878.76334461698,3511394.554944745,991600.1791130134,189124.4831811717,113145573.00643224,3595778.931784549,432584.9349993892
IN-21,90692.09520861699,20106.020620679592,18072.32575565882,13617.219332843177,102401.9861491452,15041.50841152108,94741.53188800605,35264.902234748515,34691.456517034036
IN-22,88659.48159906105,16253.533975153401,9467.493384896357,14123.63419972608,65491.05920727914,13178.850401386411,684206.2492341608,28353.29267299064,33117.81994619819
