bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-1001,662835.0642743019,615544.8169561579,592285.217124969,8225446.476904455,518186.1116560183,8416461.279418197,519310.83053832815,2227060.81713497,13723964.357182398,12320.40985628988,813.0447666339635,1195.764078743203,2187.2734057932257,5373239.121614141,26795043.94600336,2473093.095011083,424707.8758208988
MED-1008,2240283.7453434025,788701.0301449667,779406.0231207808,227998.7631307021,36942.72855582193,194984.58768651317,37193.946483786414,60818.61744100451,344947.68767895846,4203.401207242581,34017.12317233287,7622.60366566102,829.5063589859902,155484.7555393309,725623.6271036597,182850.38054029818,31788.565687884042
MED-1017,299905.47051694663,1503768.923524631,1529091.2803769757,92562.52861354621,13508.217081977842,82147.42069142636,14132.784214455416,1054.2040440599633,7416.782863943902,131.01216553587685,1651.649129639149,7813.4168121450275,5038.883296133358,1053.8717127171785,5254.836093243238,81843.61342606854,14997.344874518141
MED-104,5985794.739018752,4474644.905343308,4398849.9923309395,9645112.954948436,574609.3109769815,9865508.34941812,580061.7015350807,4835725.77622206,30776451.935891505,377798.2042414715,411955.00457041326,245567.48536772229,734389.8464038562,6860863.953940298,34838560.29538497,14671338.078520104,2483800.2155666747
MED-1047,741825.5860880648,41670.62930278455,41272.912795938944,3588.3126564684276,152.88843705308443,3470.2008644900693,271.8401254986917,431039.8316328935,2624639.21830395,300164.8374969263,34947.57405979396,19021.595836010998,7234.653398107269,7686905.90243993,37680444.014778644,44503.09656744196,9995.411805440874
MED-1076,122683.41610260514,14534.886898923141,13046.485384921101,88484.60787888119,6577.153266005378,89250.32926827953,6529.043230174646,52576.859440748536,360642.2452807636,520686.54850507004,31869.995881714673,5569.411376756877,6427.50589441524,1665149.5575601475,8248660.593131093,93085.92271242752,15691.210817403617
MED-1093,169033.55185263773,1554408.036489826,1522056.8618201057,52485.63976709312,4984.127275417307,50654.55459503124,4529.774014663569,2534186.190276253,15216909.090438452,1462.5027175354971,12780.746033399606,1283.782784207749,28587.070194006075,3009587.6822127155,14739451.43291945,5903763.599130119,1043180.5971160901
MED-1094,28747.87659798054,7297.228397157002,5744.1888175163585,3609869.3260962595,217632.9679570704,3790207.853845235,220550.968706859,5925.663666688869,43812.610336081074,10.9752808988764,160.95095220481522,170.48875465580068,23.62921940928267,347364.3908825704,1751218.1368125293,38552.32236956915,6144.535267402472
MED-1105,614087.6763411879,1330808.760223108,1301487.653645419,1098550.0747569576,77214.38096266058,1109884.2470151144,78987.98730439672,5852478.103020961,35802141.72693343,11454.333333333332,28943.856334221156,4038.6291427902465,8834.812144498086,1960669.0184334952,9700353.908697762,9546582.509404734,1674379.3856520671
MED-1116,419243.7926329284,425736.6005267157,411947.0123096154,4134480.4864331223,223274.0716750052,4284288.855373522,233032.50281699025,67495.21145977532,464270.9922217718,14409.737190711048,3860.654177773037,85284.7510357548,25221.391298616993,322936.229189927,1633644.5075320685,1175662.6390651425,193464.62114111282
MED-1122,12145014.195974916,742148.2960632409,731901.0582212739,2173.4742574757656,594.5561238658166,1956.4882908501347,340.15154640439835,102629.50269619735,589042.2267726092,592.8474819185266,432.39593065488634,1498.9155403295679,3860.677442111037,3418929.987272873,16328382.815710913,366496.9756189139,68891.68986982701
