bin,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175
NP-1,19805479.151839696,2192960.630929836,1760879.1342086915,531148.6378550235,1754902.2459107903,1761134.5294312593,4084258.034967021,533805.9248297323,5625296.704030124,533606.0690999384,538330.222769364,1767496.6674276036
NP-10,52769.58759400813,52067.51915299652,65758.33469430737,41020.770529509944,66288.73073162395,66505.1149603131,10294.259034677249,40514.524905837745,289267.29900243535,38390.00119717559,41029.51423367559,61002.95725708531
NP-100,30346.902633159378,125453.39258022633,32083.68569110658,4086.496701788944,32966.59700421742,30253.409792810948,4905.607518174393,4449.4606777997615,248997.57271022172,4356.868105750586,4419.011227258453,30475.800583586773
NP-101,30629.17346913989,33078.46218254869,5252.779166155865,4589.837885827228,5208.345600008214,4907.247945419942,5238.719031748315,4640.253299216406,27787.02271303757,4220.5145448903995,4016.1058939753193,5513.077595888697
NP-103,13832.075310046308,101967.96963229135,91932.61387237633,104068.50241184961,89357.45677212576,89981.1805159574,2157.5713123175033,108014.74151617385,182961.32016304453,100055.75249809002,106787.91810953477,89273.88012786997
NP-104,38912.4144366538,46145.86359509885,2722.0631346537866,7503.2574658832045,3285.61248502283,3119.460186857914,6559.318695584536,6125.400833395302,23186.90278729839,7656.625257873143,5509.920248520143,3007.3342796724487
NP-1044,514260.54133017076,376535.2689896278,20273.726824536945,13015.934530490595,19700.024758114192,19206.388835863672,105136.39354309179,12594.334731116965,17331232.827349897,12107.975775968982,10546.738925513788,18447.765538870877
NP-1046,45775.03316296189,31263.193776152882,7718.481665371715,7665.067905317357,8013.779218913875,7850.474615075837,8328.244274448247,8943.973601672771,71951.46058572298,9289.790062957049,8376.212372438644,8227.878310853333
NP-105,3910831.4397547008,8713465.583380962,1314399.6803860902,1742181.38644645,1335604.833102801,1332514.7215717905,826092.0963028157,1727099.8496464468,11308555.452164233,1747152.658635577,1726880.8277789718,1334604.6572167545
NP-1051,219312.56568260147,153284.29957428217,8108379.370348615,8482382.324416962,8142829.008101717,8141793.491175192,41400.02166446776,8488880.40575726,122136.58859064773,8528785.424493022,8563429.606444055,8178683.152711301
NP-1052,4836.145016056605,16770.185574055817,516.8303715670436,847.5943701076782,902.2067851373182,502.37884622609613,754.995803266918,649.5853663618432,52538.870710836294,640.9628432956381,514.5008077544427,806.0290791599355
NP-106,769866.4693550442,1450051.6503187125,2307785.2048186413,2800025.5289759077,2337484.8683748515,2351428.2632883983,163930.6921000823,2814733.6956888014,2616029.139485269,2829373.589134826,2842616.314873213,2354020.897859484
NP-107,2153.2286393038394,7732.417908675556,77.22524007699658,77.31967954859999,24.826211397125345,171.25194573654784,714.995498900486,182.3596128899208,66180.89402696295,81.2767057793155,131.17062696715672,188.24958056232853
NP-1070,6954436.634441665,6843082.8242737735,342197.0490896578,260075.00212276468,341436.5454311592,340384.2632680441,1335400.473353911,271543.98416418134,14119938.766014593,265886.14593909105,270715.2512457019,331845.6250599319
NP-109,15316.02026882691,21077.435934010722,1735.868806624962,2687.5203517378072,1201.8885165016422,1600.3037945622523,1451.2496730855075,2066.3379598846936,26604.31976450955,2223.6231429297964,2370.806773009434,1296.6928286960226
NP-11,447725.8595068873,702148.17407684,28093.365221821612,16622.176615567674,30690.63532529196,32420.341208943806,84550.85378233953,14234.630290437146,73499.08225103508,15404.01337897471,15832.08357973286,28531.243337844484
NP-110,2571584.9604918896,1123175.1220830206,85382.20923594302,76614.91858458241,86482.46288942866,80883.87813139995,529720.0767363246,77916.28423354114,978352.2875484824,79738.05024357876,79347.76431008274,87470.80837133415
NP-112,1922151.5316083583,6100847.256347454,3175967.665375927,4789498.716922092,3249541.173843459,3214531.3640037836,395329.1675821325,4834640.0284820255,6830634.955408224,4819586.3797969455,4813922.350697943,3199727.639750927
NP-113,1624573.5803483955,316623.21204004186,3273139.5306274286,4185043.5838377667,3318879.7921864516,3314988.233957586,322243.40697515704,4188872.9387363,256909.48381035755,4192763.3071200387,4222766.93755829,3319494.7821792895
NP-1160,216418.9616325895,188912.5830648595,7943.088653988282,8764.075794053075,8340.985034405117,9837.196297503662,36707.34434997358,8885.321624704507,120026.4323817585,8589.537076942748,8123.96678141751,7675.256358045977
NP-117,2076865.8892205684,1307825.665847756,80041.88254889369,66693.75507825939,80373.40388965652,80586.901553097,429093.40651332214,62546.994972403845,3061495.658461265,67158.34063278082,65115.09244535781,80146.74788381251
NP-119,4459.07502004326,23815.24062203443,109712.73774619562,105013.36174283523,111225.87132934609,115604.00343355806,692.2914024818716,102174.0573869149,31423.92239972793,102861.77957463867,106728.01193500949,109320.95570331624
NP-12,1082836.8961325185,1178491.71969943,688121.070320975,1206503.9632112894,696104.2699827095,690006.7512216485,233044.71384731738,1199611.4142341067,1620575.3997141866,1198204.0852946825,1200709.0830027743,672704.6802637759
NP-120,67849.89761238705,205553.23227781965,40868.79732261396,56216.59731135917,43076.5307017469,44756.27440962926,12304.972800335208,59929.73854809765,566303.3258135504,61490.71116862897,59901.233942999344,43940.31644224927
NP-122,89163664.73027886,75026352.54559484,18487795.2892116,23820757.547602136,18723450.91931629,18690538.675117914,18206465.878368042,23891234.491498124,71335452.60377918,23899105.367326237,23925536.22866792,18714626.01925845
NP-124,337370.2674353009,1034665.0709967089,338441.8577128182,1208935.4711522125,337767.5452540431,337656.8690473329,67368.30767890399,1195393.6644286946,984967.8682121373,1197760.5426757035,1205890.3024616356,328986.4190998161
NP-125,1386357.6645114466,2761516.0469403425,2004018.5056736004,170590.5565754309,2042167.158822661,2033770.303914626,290290.6890652461,171789.771832551,4949539.357098658,178858.7498093665,172671.07371019752,2040799.4056822166
NP-127,20455.23814794052,95778.75546010658,24547.81525769309,9731.98973619428,25233.821403933267,25998.712511879294,4045.4343190823884,10728.625294113217,242258.71610400968,10027.33371825008,8886.292420341524,24054.82583215238
NP-1277,814479.7331471597,3028594.051259312,917518.1068390381,1182440.3458769512,933946.2650531163,936658.4006758119,163201.87878574646,1171109.8829175069,741370.1632033236,1204968.4144899067,1183569.886568489,941419.813048712
NP-13,601113.1331325537,626492.5317581141,312722.4998248529,48245.64147540638,317580.630415803,320630.39781250135,122255.38465613544,47455.35755328291,2093464.2851392124,47564.047669684274,45311.382002605205,323543.90377788694
NP-132,118211.60541728481,99194.47509758377,933691.1322076702,1693378.165048408,943216.3444205425,951544.168963896,24574.87490101801,1703191.5936184474,46892.86578880478,1694145.0047783232,1709567.5879108012,944909.0887486353
NP-133,61502.663762126394,37575.19815498881,3380465.7274611136,1684275.3949158844,3429178.086614923,3439880.677950443,11259.292833380588,1687023.812316261,66791.9913291346,1690863.167002992,1710577.3640103852,3428821.142378609
NP-135,261821.28714439133,816778.6050443505,86131.68464785442,142415.38637090946,85973.16302443664,79726.76689971575,51786.41989543591,144864.0784416468,383110.9603042073,143915.0458582726,148001.96036415378,84383.63148658561
