bin,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1,614674.5650030149,1137455.540402774,4140124.4755428997,2445457.040732485,1693458.468541951,4240838.500015347,6666955.935991718,1606222.6850548221,3730148.235979881,7841690.59857637,11789825.117011493,7845580.624414586,3821508.840004739
NP-10,162007.79573584307,203908.1420438071,382082.5182548786,1521226.8125423254,557495.4102365454,493579.6665160283,1090686.0162518262,9144352.083247852,6353.8865276079205,114445.59840249142,16788.88595500809,4994.356913558478,772.0939409059001
NP-100,41096.847548245394,286584.5444113456,666315.2262843732,340649.3816391472,37895.4669316044,961835.0741993011,2888.705227460545,1245.389277356157,249.62602797230895,997.9878732573477,943.2382264101723,598.7789012330727,797.2653081768962
NP-101,643.2397472204276,1291.668483540818,149.58682246024017,1746.380032461225,348.0638668336585,189.70286549024632,0.0,298.5367530521294,285.11928299482446,249.5752845791579,368.8148318119221,472.790938847507,1035.5193479496766
NP-103,22207.49729351523,162766.7673759687,887662.18613421,2324274.5823785905,32059.114589792185,451546.6196941975,2027.9255844248996,1395.8781920889821,149.72404823423201,299.476609030399,299.4395627279334,948.1552487582735,649.0000674593722
NP-104,1581.9031665309421,953.486072217319,92.84467713787086,7149.008479465129,300.8021395579354,49.7549019607843,99.90243902439025,148.8410822216132,0.0,1608.4256528798574,1215.2654422285398,3096.3263549373987,3674.8752066394354
NP-1044,701214.7847363029,380618.6138467469,642565.5754545466,1481250.7477449654,510654.5664318131,178722.66009871705,1578721.7622041942,2184535.5520798094,1816030.2627719175,1588758.1934337693,1064636.8229408192,391821.39593713323,527794.6949343925
NP-1046,1086.7071632256946,2606.3259161593305,3165.112903225807,4441.521505376344,1031.6058912948383,3782.0,2902.0389501870823,2207.4695077238675,1714.5591397849464,4295.054279864993,3765.1709240761966,2823.0619375051638,2406.7925054461944
NP-105,343329.58758212323,493990.1179265391,63752.37389459299,1097200.6782179805,35968.888675208014,55294.10155818503,93463.41935226815,1176400.7072775548,60871.571374923384,671349.0710115497,525301.0181577987,56740.80770571824,461745.6056978081
NP-1051,11688.470480511594,12729.905511324645,4924.473307239427,9859.202608914396,18991.481377751385,13380.817016248178,794.358962820222,497.90953558743496,1443.1506892259595,3088.993154345254,3244.444538896016,5576.129043629181,4343.896028204301
