bin,ERR598975,ERR599061,ERR599097,ERR599111
RS-341,4317.159078782596,54476.91313170295,299361.7431191534,29744.75320973183
RS-342,5019121.748387617,26826.99569323875,135395.51570771483,23737265.674591612
RS-344,265611.3630747011,1305438.245337732,7035016.713450766,1226677.9721553829
RS-346,1574886.787032675,13926839.632399144,78000841.44237348,8001624.488613727
RS-348,103682.72441834648,10596942.736498471,58188992.80581499,539504.9768662117
RS-349,444817.31945953856,3512692.423801208,19382435.477339704,2248492.7926635523
RS-350,110666.6301432734,4454692.759446863,24985791.19151798,588237.6759272921
RS-352,114152.4635110731,3330664.8829240375,18977020.56529444,643728.1649204575
RS-355,145530.85309114287,9392.337408308991,55931.98148171034,658744.2368748222
RS-357,2454181.046947555,2093116.4372105936,11107363.678601988,11125301.733412823
RS-359,54168.830530011226,1403115.472279213,7354458.277669713,257952.43359547353
RS-361,297906.0246935053,2784338.0951257823,14748946.929021066,1401050.4079384932
RS-363,3392851.485808497,34972.58148952334,188207.7313075131,15250228.224234391
RS-364,3408623.56954114,420292.7744821107,2220124.664014319,15569962.55918741
RS-365,3159902.569499825,63044.28522562834,354875.24514241377,15745634.795273008
RS-367,10508480.149461625,2846628.5623226585,15197268.861974476,47599665.37740054
RS-371,6399735.899507987,713698.4311959934,3977302.1829168415,31517770.214776997
RS-372,816517.1467044766,77475.60905590083,418586.8542857268,3824077.276538349
RS-373,2786749.065529878,78781.8348675887,424397.2800900421,13137415.92103469
RS-376,482629.9565504892,5876240.416573403,30995510.958367206,2232376.92652951
RS-380,6233307.793987991,4614258.401828265,25515210.028549064,31125828.195157867
RS-381,2846508.177903234,5414723.071134712,29698034.570413712,13960066.361814236
RS-382,750567.1866444201,2854761.559016116,15697719.422893278,3747076.909702975
RS-383,11552440.867570037,3735537.097293279,19579639.005836863,52291351.45991914
RS-384,3431886.31677009,1638400.3525375999,9082072.522979986,17073589.407165077
RS-386,180023.99448977204,3079436.1836656304,16651385.969340043,836823.9396625909
RS-387,18458961.00993118,6512695.5900775455,36142883.67305856,92216788.03493938
RS-388,1458420.0654989046,5086737.664241131,27236373.72612384,6879553.770191245
