bin,ERR599017,ERR599027,ERR599040,ERR599046,ERR599056,ERR599101,ERR599103,ERR599122,ERR599133,ERR599137,ERR599148
SAT-1,819532.7543563308,143653.38340458216,5349027.215874992,270563.21440947236,375173.80470130267,1845892.5275941556,384701.1006634819,639556.7085377373,1465774.0664116908,595083.9347781918,30683435.625522655
SAT-10,917721.9719827238,36221.83333399693,4104479.102432389,2874559.703131611,532909.9292795828,20870804.11168765,543533.5843428668,155554.59039999382,3719293.8958564736,1556483.7531598264,24800770.786585324
SAT-101,181746.67513323692,22091.691748065463,120718.91228967327,35398.98166915409,101285.39967305484,257997.09815618652,103160.36712215783,122901.35317791956,207075.07601371742,79212.82008254643,720864.125643607
SAT-103,13657.078977315463,126923.17909625695,4678.00956195163,251052.22314673418,6178.2262949180185,1917837.1057781475,6547.74925590382,734780.180427528,18965.093599074276,6733.514448252025,18773.04712706864
SAT-104,7533.480526705948,58810.111037643444,2218.1261430332793,2621.977440938405,3473.7452914939827,20335.89398989034,4319.629182569456,344813.9553018612,18569.223576163316,7605.8346970572275,11705.985707047514
SAT-105,18010.720662277512,28968.69568740659,48254.99948323552,144885.9748599639,8349.83167603603,1103110.7011721241,8929.600034630694,181337.41547668548,23285.123724390254,8648.844374849117,306036.8288958229
SAT-106,1644.304171281712,6292.66242333241,2630.188383689503,2049.0961079048247,712.9514298291748,11826.288023068491,1014.0228986988757,35363.343743241014,6392.239138224846,1584.628232436922,13515.51071449159
SAT-107,135131.665861622,21427.693377528776,303644.61322164116,499675.25256545714,71524.86270389122,3824342.776732283,73667.38235581186,131635.06770514962,368176.1341810268,143045.98545273338,1866318.1542934384
SAT-108,33743.90860756108,9319.35921893103,57847.14693444415,22648.557336093298,14274.975452034461,145406.40471162504,14245.693035741822,42427.475423737225,57739.19989386108,23087.12729114878,321499.90447287005
SAT-109,90403.26634794332,44763.22766743619,194311.67980381768,30528.219223268123,46289.73991517183,222848.85731776088,46356.93652599488,201113.64184231916,167129.17051723713,70168.20618674612,1181962.3594340621
SAT-110,3832.92484955583,1169.6510411897304,8590.456875854852,6689.761029851658,1945.6853535711032,47443.00315337099,1866.291657952557,9636.893753939106,8463.765038855092,3225.51976144942,50821.77633927692
SAT-111,36371.58976797635,18903.05339468327,152795.06463076713,18440.025862648334,19119.041840546095,126351.58020744959,19709.63176295702,88131.26172091086,27174.60827849697,11087.406405741862,914588.8954848228
SAT-112,25810.23817328189,10511.672470155861,37098.489853258754,8258.120011629795,12693.373026812744,70561.28013835744,12537.135546769186,54776.645899714385,59838.51278016188,24612.001899981937,224932.2744578277
SAT-113,39472.053967719374,12118.87335029024,408671.93022653525,187393.20463106796,7251.358410746193,1196241.5577523937,8455.195339354004,53249.89226469078,736834.1941064636,308814.07733927923,2277970.7119075363
SAT-114,881149.427433373,40577.905129232684,124696.38431328042,7129.396177572925,489322.20929955214,51142.308121512804,486319.14743837225,222045.54283897876,6791790.44186049,2799969.524097956,769201.8140774887
SAT-115,158423.44388350364,59656.89746591079,77655.5223456663,14521.910157406226,79777.19377047078,92048.76452490858,75472.62097704479,282569.4292817071,1536879.5736713314,637698.8224160419,434553.90851150407
SAT-116,1950551.695530687,4049.0229459435545,21345.427700152155,313583.544306819,1144075.1739532412,2546605.5112931724,1153483.842686751,14604.15990438143,6560502.956144972,2689138.0616547326,123213.48793594934
SAT-117,102.5933539766043,2838.9899345212334,386.58385273139766,226.98562600916438,14.963768115942024,462.12341135961987,88.81562228727081,16298.028691284231,2799.9684024890375,1162.376405403881,970.7579087297333
SAT-12,62784.3708642289,2558.725003544115,8616456.584337268,8812603.608426778,35980.94190143773,61373985.34206057,35525.94023204159,10955.28563542255,23808.824376748355,10015.467119387189,50854724.85187526
SAT-121,605.7436454737906,1801.0110377479398,1334.4592026042335,2469.968111886612,368.9987528689941,17614.446513304323,301.26214461063296,8169.064779158854,22890.40247510144,9574.8751449212,9063.29146171532
SAT-122,27808.943291323867,27335.199856547635,290616.48755151057,36308.39920970262,17431.873148062026,264925.14047104376,15394.890172634694,154645.2182225353,118442.00626813267,47031.43781762735,1743917.4518583834
SAT-126,235742.2552175598,7780.615509473899,1825947.354217862,179838.5338604708,125976.44665115538,1257675.34144253,129401.79038624866,38998.787288260144,372804.02490720904,146719.49997637796,10603329.242816038
SAT-127,117867.95810431104,89.10949654566963,217434.6333587635,653206.0700417663,50878.68917194583,4385725.160636787,54387.05377568148,570.8900720678971,95461.22666195547,38195.62104336313,1181264.5943421782
SAT-128,138014.05354362942,2967.0000000000005,861970.223110424,1537386.926138059,71546.17315296721,10150866.702277735,69025.15885383346,15052.740445665446,557589.6184474039,236025.5320660002,4874387.810737399
SAT-1289,16714.681455822207,13367.985187154061,242785.42037334337,186679.23355401217,9354.423387130644,1347151.4096773472,10994.197814424884,76222.01080544268,856764.6166415643,349590.4695736966,1526491.5179336998
SAT-129,5758.080669709492,21686.399078994596,1720.4587551961288,3003.823626318951,2456.764304948401,17125.71577020537,2767.1022063879386,144454.91430883322,15205.947437704184,4858.731287726608,12569.90957179874
SAT-13,17571.099258791735,45.89580484330479,1294102.6109933443,80024.414675986,10329.564375057813,585400.5580579194,9581.372335933112,622.5240786261062,1316669.9010335957,555883.6183055387,8013116.388767279
SAT-130,560.2237676109947,2489.283170765358,1695.8960329663462,465.9222626940545,117.71042568542562,2090.808582451735,39.63259259259257,13327.57842396797,2558.0264026203927,1473.5524752073559,12308.838833301408
SAT-1308,36051.84566350387,4706.757271479152,1469523.3034844566,60631.44303102112,20503.621019408238,452967.3478543866,17751.855913854553,19134.020272305526,1206143.9465472968,494760.5827274748,8792308.241783872
SAT-1309,7223.85343119731,11383.544380394698,75768.64359200552,43362.507488466,3746.7107894553874,313345.7654407805,3045.014468234748,54843.85540071272,43633.08071833432,18503.2207132721,420919.9292187633
SAT-131,4742.34370824639,166.2439652636366,504.1236360131137,2086.3764612470786,2148.0228173836754,14131.835116592292,2413.8298073891274,1063.009702234739,9560.222397181673,6886.285641564872,2102.357126359531
SAT-132,2959.1216166347467,4513.241893076794,44348.78173802935,9427.86359257539,1254.217252843255,59395.56157693674,1192.3675768360015,21295.37281562081,4236.219195047299,1978.8454894731194,262870.4565741192
SAT-1329,30892.63132821305,41999.72442684811,178888.1703654903,509035.3481464035,15334.976625268098,3433586.987772062,17020.54926663307,223682.34992042728,19589.848758807304,7593.019366517968,1019815.5090325681
SAT-133,6874.850285314566,593.5818266018919,82207.93707063224,218386.56760086838,4275.082180808777,1507876.8620376543,5304.449298351635,3544.265823298828,157718.00939743218,61029.66569710207,503708.4581855219
SAT-1331,123813.12523860192,96.81262075769503,38915.899485328584,147530.3642552714,67408.64605713273,1074499.619369248,68956.8347416008,480.3644035694198,8648.354431767955,3993.283190414386,266563.59446792677
SAT-1339,550.4256908820612,0.0,445.27059487546757,702.2911232477861,287.1058229552984,5484.903717407599,125.07305855838648,289.08539826213854,174.4072545311073,94.83724608724603,1053.4673125917734
SAT-134,1525.772587908157,799.6627756418276,2117.1679273749337,552.9185972500977,608.0126226536919,2419.95987128097,349.0531937460977,5761.778035992807,13550.141438183897,5538.216384455871,13750.893603883005
SAT-1340,1196808.9874899616,3010.481268318887,17123.334340661368,190980.3341864396,677806.127417215,1514110.0619756773,694946.0431727988,19875.72847949234,178836.85448188268,69895.85675746988,104792.38810608262
SAT-1342,74396.34508739109,15206.495891878587,72209.92369497975,22084.100676403592,3643.1405497206265,142941.80119313442,3814.6128574479003,71692.02926655501,73545.55652994235,29372.46148184494,444804.84415226243
SAT-1344,127946.92439760719,2722.294677300587,2793089.070017513,932677.5538685287,62262.82343837465,6208615.631473895,65250.69185892036,11068.682156375578,313944.0642796071,131512.9732076727,15915952.37244834
SAT-1346,81846.14798976507,1001.9921523517731,1125814.4108050652,1240452.7622466937,49903.72002946198,8912619.186140738,48985.08202868985,5892.968425698486,1341827.3778380132,556303.8085265626,6850749.608642013
SAT-135,20400.823179451756,3310.2111893120946,328838.1210631312,723417.8291999318,10980.168929206875,5392503.007447367,12212.411123013697,25026.007741566744,132706.1162188197,50854.76214978104,2053676.305918852
SAT-1358,534020.9854660806,1234.2604456084882,1022212.0538467764,1622038.551455726,292600.37530473754,11718249.955157647,293160.19172749534,5478.632233969593,4196632.109182672,1743110.2278817967,6406968.771148097
SAT-1359,44925.3178609968,193.67727156801374,90779.26530704937,814788.6929628188,27691.862710774883,5810488.544428711,28437.556470498334,976.651513992256,35559.89451778997,13122.207009718239,530360.4474439062
