bin,ERR598943,ERR598954,ERR598978,ERR598992,ERR599039,ERR599093,ERR599120
SP-1,1600.46882671577,116042.79397480983,4764.541977979063,173184.48828971156,83076.46721753417,2879.911387857469,1432.997222793993
SP-10,505.05647265537226,19337607.616399884,1979.1585882856261,4302191.731394613,3261845.461718542,2145.6714916129586,2031.5723656853966
SP-101,17118.782622656974,4271885.878933524,76068.12826533696,125600.43850386333,96255.83699694133,11455512.18777376,6033939.804311392
SP-102,328992.0344754937,461119.74727340724,1162397.3561865347,4383488.987630054,30459.3295539271,358909.5406145662,201670.18131265184
SP-104,72786.0421135237,1394873.938497807,259511.63833855413,15289160.379226489,3928993.097526678,116501.63195263116,69897.18890660278
SP-105,0.0,80646.86782057396,192.099749955255,942400.2352246583,661.4410756821956,16158.309023562386,9190.50603204493
SP-107,18997.77483272479,2110252.647920204,68374.87425297836,5475814.273412672,177188.98729236823,13315.612226475392,8135.337766102314
SP-108,118221.97136500223,2675340.076216498,436929.36428873945,4633465.058056866,1213049.483996617,18303.31028378305,9264.362254884543
SP-109,1829.8483683164543,29419.90072272751,8385.806464650925,1199384.4773535158,9699.345546677385,51.9233077631662,0.0
SP-11,17968.992106406586,80713.30005929929,64506.65046226003,597250.6317936333,1118697.2545709442,167951.9220084288,92289.6793890243
SP-110,1864.5327835421729,12977.747260736985,5552.255745964739,8129.489431096101,2718.62074028586,5924.100219290185,1754.5286132195104
SP-112,1206.6756284101466,4120.543327942996,3249.9005401476966,12770.018593714294,6819.740329327728,8985.674243775697,4621.967064037771
SP-113,22.92791267661573,1312.4334831829904,174.83084116905857,735.7580254957694,289.64859038486304,445.443208266373,261.1869456999186
SP-114,541639.543075739,86893.33370970262,1915639.6474180594,7209011.251243131,1215004.15865852,526.8146037203336,178.72319470521222
SP-115,4710.760794314863,1007121.06619523,17646.58641019925,43034.8042621964,168954.8373097261,39398.02410769723,23809.90981333918
SP-118,107538.41829172203,2028663.2304678967,338362.0217390401,3244237.00755948,1756203.0873063945,2323370.437648485,1397033.6681975778
SP-119,441005.9928005837,666156.7299407873,1562052.4940684182,264532.9658288443,552994.5394862031,1039059.4246138897,593774.635045427
SP-12,2210.694819647146,15444.024301089974,9287.405203448292,5802.764738182354,6732.00350491702,1312.8469712213112,1033.2409037049683
SP-121,60391.00428820117,988922.9415065519,199433.94883365076,1695339.0709386247,247996.15053345048,699754.3329635739,434638.1998186632
SP-123,27351.016122138877,115129.24221630112,108417.19074200679,122086.3963400286,120965.74365154753,67884.64949974007,35427.21033720745
SP-124,2159.1683949100166,9498.10536297654,7940.409209627239,15989.543786979946,2664.2416140566147,1108.8599751962934,410.3529801183703
SP-125,34772.98625524983,180496.1734733116,117346.37916876274,240869.63229303385,122947.69853013408,429405.946146319,258693.84954077448
SP-126,2781.170071283139,45465.54096943064,8379.365321994206,44157.54583847343,16470.554018562274,23978.591626929876,14528.604621481125
SP-127,61735.50790619546,97380.20644625137,203078.5903728673,169143.91069257192,120016.24772739563,27293.739226262187,29154.01737672707
SP-128,16841.039362604126,3278968.201785819,57169.571416636325,915754.2834467446,229060.73178250596,43166.46005966214,25355.93022310941
SP-13,6770.918933272141,42087.93498138422,27452.446336366203,32664.99387687369,35399.96477983105,15771.692535210464,7662.222077471344
SP-131,1367.1907100434364,67160.88056550927,4680.0217733287,79086.88330351046,32333.59205077446,8842.413828812216,5546.699712450258
SP-133,1164.9735200424395,88478.11312395342,5402.0719801342375,198804.66609908702,67966.1490349102,5782.277957086013,3567.0795994427244
SP-135,111506.16650892992,15698.09108116294,387844.0421365721,640249.4465794181,351632.4550744781,6581.360276181488,4437.401380554229
