bin,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349
CPC-1,16432.075004533293,196035.11026661095,77436.1870506036,1121729.694653481,96187.02855287016,59118.38409589419,652206.6301822971,2823.508089606099
CPC-11,204275.95614901173,42304.946182190484,1986559.8661111582,241595.50203792364,1035285.1088110469,386028.0041620305,71105.15142984733,420688.46848850575
CPC-12,12868.475689902592,11729.749831266112,72636.86209310654,68411.48319059929,62213.33513933556,25300.803652273233,23069.476032945837,574681.4139488667
CPC-1232,9040.828583503766,45598.8248653053,3848811.1333804675,256850.4898758494,44421.25858333043,20311.49417347156,144003.63031542255,876.9790151925549
CPC-13,2016.4897210538254,3416.7889614692094,187931612.90952122,21215.00091799742,11951.97033778828,3789.7877346588357,11277.191904293273,44010.38595924481
CPC-1326,11920.432297419675,7149.25028444051,13665585.515925629,46838.32468359795,67042.01249981897,26745.763738006317,27364.090532003283,390.26802603410874
CPC-1399,1591.2113949343122,6594.10060668552,12822487.28773908,40816.115070526896,11125.749558730622,4357.918487335813,22463.19218566642,8898.779802984953
CPC-14,52172.91390761279,1166.388168155462,15787606.564844614,9687.705746532734,293463.9254688775,108084.85896770247,3642.7845786160983,22481.064606191245
CPC-16,805.0885465678676,962.456784030847,189465.95587365926,4862.404017632239,3982.437724655287,1302.807008962021,561.8642245020628,0.0
CPC-17,7536.623431949651,8331.742992914387,5948777.37925922,51704.276475387385,46243.89669969859,17096.68868121856,24926.61841983112,63982.20729803964
CPC-19,7795.581925068617,14612.848533791013,670232.3587390094,77186.00165363547,43926.489044117916,16921.210469720238,33496.489267616846,27322.37132131779
CPC-2,14543.945005263942,9544.157759592634,105232.7440911478,55373.85982788777,76920.92716262417,30949.298182998333,21809.469178656112,1772.1665550999455
CPC-20,118218.94984262573,277631.48664200364,1083402.0149962062,1472357.6094626654,597871.6936701805,228797.39209791328,538257.3300323852,3384.6444949626634
CPC-21,40629.16911963199,7985.071031535656,128519.88739074602,39723.89810804592,214981.81444278907,83259.4462329622,8726.372048185418,2240.224882329619
CPC-23,78949.74026077485,4565416.170632621,534333.9571941993,25407558.666066565,411098.9053141274,155903.8540131321,13061929.387934072,141657.54867654786
CPC-24,13980.725544713347,16876.293484314556,839242.5174116864,95983.06980220345,71226.48141741664,29851.397031835757,40885.90841931535,899.4288704623924
CPC-25,2696.8764836219407,4964.635815641749,46779.40204469666,28735.276936862865,15385.703483234169,5710.76043086618,7315.761529236151,4177.619555488962
CPC-27,2213.9332964828304,12726.180313784025,39137413.686745554,76047.1510085005,16951.169627379,6470.640092312346,34448.655889203816,54206.06488404076
CPC-28,40301.53796587788,21464.836624207135,81891280.51604654,108584.64307634383,199845.56867181376,80235.84269391999,40652.51338261294,18152.924758526377
CPC-288,27805.44621190719,383929.1039479569,45232327.466599725,2224247.715753237,152534.13995382236,59208.9699543405,1286052.5261690747,306.6241772050932
CPC-289,71660.50434228417,165861.32170114754,5886829.166061647,948273.9601535207,413466.10442913184,157574.14142025667,507938.23707972374,216.32689466587385
