bin,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-1,96326895.1922562,11022730.337912932,18960055.33799216,22095236.46539958,59610142.15197728,8239.150638116871
CPC-11,9054118.360974468,111498.8407416452,1955583.4159119378,227897.47560120944,605449.5188946702,321683.78113208007
CPC-12,133190.50981999494,5303.918828644121,28241.602231830446,10565.168261528795,28883.079772208916,23871502.237408087
CPC-1232,10907.353386661249,1272.5346610579668,1640.6835099579541,2449.641381947626,7770.528794411121,2155.357702524902
CPC-13,198233.59715624474,10280.805789352356,40308.36038637097,21628.428959158875,58494.04159983393,157911.44545984486
CPC-1326,5995.233224558553,913.1173760801161,985.8809413355195,2509.616100363419,5332.554974818818,410.89720419377284
CPC-1399,27814.582421586158,5185.370952267454,5918.0598565976725,12037.588359746176,30711.85386985823,5120.655128544106
CPC-14,10250110.963523455,181232.67417495893,2051572.1958839744,372201.30438741983,996530.3784550834,11110.62205589233
CPC-16,1979.7812246572303,289.6952266943966,186.2751266687674,899.7305081420582,2072.964154317625,31.5962962962963
CPC-17,438853.8568642986,35888.16321480717,80940.27218695961,80454.01679977831,220037.13945186415,205084.77190889316
CPC-19,628256.3610678448,51180.4425122697,127191.09625088733,106454.09278680265,291803.3053512222,191440.56682294037
CPC-2,1003276.1031416357,5345529.2851266265,203016.63247273068,10443135.69877363,28166669.12713836,16733.42944915685
CPC-20,104780.650850802,8083.62171533916,25437.339655745614,16780.55719645811,46610.837044304695,4826.1099171171445
CPC-21,222433.53390881955,7529.551531351822,46351.976803810845,14563.721641843254,41096.581351420435,21364.449714463914
CPC-23,124721.03527039498,19404.661571146597,23556.42713107835,39958.88581337365,108655.37786007434,43385.23712621645
CPC-24,395673.070588045,146712.50786105043,79827.15738204996,290446.15293485264,784535.1066941486,11980.717876798723
CPC-25,63066.03100066421,102690.90981134714,12506.321580118629,198504.9417668333,550630.3923820165,1626948.0408136593
CPC-27,21016.05249357012,4408.510481526263,4278.475911635988,10326.758611635047,28304.390767041987,26373.777633609676
CPC-28,5908060.899751392,182497.4223400475,1225575.130582013,374370.9226521761,997299.40779131,429100.6094742658
CPC-288,13134.35180870595,3999.393315128145,2493.8993837473286,7132.3225531028875,18809.182346615322,59.60962601292151
CPC-289,50139.128070983614,6562.417099945302,7861.812544802441,15617.375927105408,44420.45930788635,245.99107370567089
CPC-29,56551.802023042546,10771.705118724523,7590.140991354932,21993.268547804048,70502.48811908196,712.0628818743266
CPC-294,44200168.66477197,2784083.5077302833,8555761.6221141,5568926.290652861,14962192.545907527,24590.464997336534
CPC-296,275397.0831867278,10609.899577543118,48341.58920540061,20514.000339131228,64998.01715751879,16263.115548064947
CPC-297,20581.418224169665,7481.862112733075,3710.1688891348313,15704.953345688125,44064.47912051166,1065.3745349255357
CPC-3,63774.7297309318,67583.13900765903,12638.341709190683,128748.21950439214,348149.5073417806,1188.133320887653
CPC-30,36533.85692663026,16322.812197837487,6029.161106052757,33431.902567186684,89436.4042072215,709.5174828649364
