bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376
EAC-1,7843.113473775226,636039.6385806481,634480.4662537364,2080696.502727252,415019.621389209,874.9586670414772,587.1729913519187,1831.7662823830608,24689.204040399418,60254.94484140642,34501.89554655813,579.8078562761243,752.8736284622378,4180.913064272865,6718.979743251426,3094.2901486392507,18128633.919139802,1479695.4514370458
EAC-10,404571.86345592915,4160.831411096233,4686.618636364408,287.157689701897,1222.138298142848,6950684.025057851,537061.1652426581,8636914.618167527,7487569.091586653,5468245.62218648,11313631.816419013,544790.8410651886,6877527.271715586,19589841.67282666,33620917.16825383,1168559.825111855,943.4458367194597,1187.746031197793
EAC-102,258808.7395516674,31688999.747515354,31356739.61885966,41628173.58294357,866849.9229474552,3094.6716077503606,13139.906572391026,4476.267763791022,16145.28976704422,35694.42317858264,34833.69009607269,13391.267271990802,2447.1995271198607,10203.79800106465,17341.237151392084,33399.06991684145,1430784.6572230607,608980.6912237721
EAC-103,1679.850877915873,3757.83664684303,3612.35965541259,9048.53749017323,11174.750343536141,694.6696252685579,512.0997196033519,2075.5106814434193,7295.943624874277,15235.369122406784,7362.707273205119,840.8164017339258,611.6970014247545,3778.5236899441716,8604.958622965632,2773.8328711325344,6560.777605978606,16075.647713950424
EAC-107,60712.01867988867,186.1687330776971,130.92091237023374,33.57314814814814,32.30609379387811,518552.90788141545,43064.058722639325,141437.59895375447,9869739.203386141,13441428.39815043,10607926.426006721,41673.70590982922,511512.05764339614,311093.86818405654,2583545.5394515092,90770.77730212726,402.51697671027176,250.42949179219528
EAC-108,1291.9590632605987,20152.470179787688,21164.40345843587,163423.76097515333,19095.416537150097,1051.9357323813929,1499.528939713296,1151.5331155879226,3494.154365556677,11529.991402960954,6510.2539035638665,1983.3884982772363,903.5210493303779,1646.8715415613551,4989.360443591925,4248.656388499562,9756.706215470238,27501360.836714625
EAC-109,20550.47921968503,347390.9249446586,351371.98752277443,36569.89876664753,28781.879646293288,755.8445032289852,675.4815796192047,489.80122589897303,2562.1993516436332,25855.551085325118,8255.268367683417,627.4300759001485,161.7603672350936,899.2273785740826,2462.2940015003787,1133.8080627256397,58970.210544211455,10545644.36870761
EAC-11,5861.900773989791,1190.9846420388358,1395.70648707818,225.36536305886483,194.28873729104754,50309.816385590166,10680.3529232094,36019.702795730795,630017.2495252854,9232093.38875537,2503851.2048952114,10583.972960280613,48304.27782785522,104749.18933439779,309193.18462957966,64914.457169772824,5859.920920994064,128183.19392052563
EAC-113,72619.13481517216,28403.258455007584,27534.552495784796,18099.294573643412,28054.620940045133,648022.4290002056,1069575.310968553,1060778.6810802002,106181.07698065319,53355.551727379454,72610.08544754572,1090539.2769247177,642403.6291427865,2370217.565341114,3123583.212060182,2305772.3773039533,5470.7441860465115,2915.377030411449
EAC-117,6227.500084522818,48.640410958904056,100.0,58.673267326732656,100.0,6068.955841026881,140056.00063832398,55299.59603696291,5650.1012242033985,13637.4119558415,9032.659123923488,139811.629864292,6615.274307600389,149760.92287791322,36663.2653667583,295602.16082140675,88.77887788778878,19.14191419141914
