bin,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167
IN-1,45291.921269861996,15304.568001105683,9577.30837978621,7092.261972785177,52345.67040835348,368336.9824826683,148943.07086835758,23710.99489652747,761436.3507363442
IN-10,7816.77122632611,232.64858061101208,863.9209785887322,982.9198958913587,5226.475714861493,750.1421202917954,2585.1945306032057,402.67160407338093,1992.5412797241183
IN-1077,74374.91986749301,6701.6700926285375,1046.4801477951337,11113.956128243637,6120.59278807494,2311.9563866540493,126626.65601100473,13162.743530650845,4920.304178112531
IN-11,349450.5222910797,67002.54536123906,11406.401873352528,53151.30817367514,68111.06547774162,53747.235100481936,2555535.46422365,114223.56841909197,125234.98924259085
IN-12,169271.7219374217,87300.2343226456,8727.426646299502,25990.661624152395,40144.846751018435,10654.75138912583,57195.58733089578,147166.4068256551,22192.064458590838
IN-1213,9723.146689521589,4274.696873799477,905.8939246297637,1509.8525461189806,5380.676362873329,5069.242338569563,721462.2905623268,8806.165388707981,14556.889751913113
IN-13,116605.18412623944,241322.30079320885,5073.248214348145,17641.484413351853,35229.549987358856,125975.16441483707,1477725.6880158826,419547.567611343,295159.3073488021
IN-1311,149876.24729332142,30360.77459035746,1290.2923471136598,32242.18638097142,6996.518757177873,1274.657694875432,1223278.4495037026,59271.57076026197,2739.981189239297
IN-14,99297.19844497781,15773.223529507362,7504.358988169132,14991.512424016948,45276.053259704524,8917.037631430923,284933.3895670983,25748.10723855183,25396.97551111589
IN-15,1000931.3719828903,487008.12869985984,187713.49806975943,225971.95858855298,415755.7287726973,548431.8048984011,552157.4825268975,953290.9856190231,642567.9094210899
IN-16,1786505.2985941402,388642.6930575979,13987.003325045673,293987.87267446803,84994.86509861994,19144.26278058576,11499215.711684743,666645.8970566517,43289.66103515572
IN-17,169493.18456347697,25009.969762554512,1853.0986350553208,24266.076695900803,10475.131069284482,2293.288352790368,572853.2683867937,45329.06381805593,7391.938755030792
IN-18,23844.738584187602,4775.550811307438,4174.956286988254,3773.8149644441646,24086.80700263746,6456.17912176199,91306.0977440388,9360.667977747667,18355.132338368312
IN-19,355446.16193158826,87984.18603702929,1932.4744240303098,66495.70552043983,14052.760103533505,44747.32530692683,745040.7989194028,157883.51963889383,99093.21816201338
IN-2,20876.832097206116,3884.0405893788948,4318.018246833907,2929.937780880631,20719.801454203985,15198.60999913805,38646.35537347677,7195.366013787078,36588.44236186695
