bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158
IN-1,4302.067394038621,1457.4874439751156,2354.9525498771286,9902.502738844227,1338.734863798124,10443.777869600908,8162.364332922569,4305.445765295222,11294.288796331237,5227.202426552907
IN-10,15.31060606060606,637.9476530845893,413.13250778116833,783.1674638983052,425.37636666575895,429.0996817434703,223.75042582516204,1090.2966027381888,2714.89113358588,90.19995569750624
IN-1077,157252.90605978327,288257.648037242,1542328.3593834182,449424.6947515591,266148.1906103464,641423.7990946237,279367.998198502,3153179.9357817653,1680150.061813918,297396.73111773207
IN-11,231078.447589374,81106.98173993516,81714.3700549252,677214.5109888715,83142.69557105254,682301.8197281085,458764.8622762832,185863.84801781792,416081.01605865837,275477.05985304294
IN-12,5749.45791157264,2762.2197234362357,3596.899169157155,30779.792593660033,3833.411245048799,22871.9710137862,10372.566411997828,5940.967935578177,16454.79047061782,11783.362763051715
IN-1213,235336.70747508827,100466.83874659432,95320.11388498383,4243897.228269182,94753.25921119528,610259.7296684931,400298.19124619314,202002.18753815666,623743.6757224273,287294.4412847939
IN-13,4048.3138277875205,6529.458848515528,5597.565819963219,91528.93260730617,6734.567485828235,13621.118496085257,7418.696696646217,13216.485539751642,31394.2809268268,5637.369766511261
IN-1311,158169.88384076013,249046.00076217088,307216.9707792766,5708169.911731242,236767.16668971302,289887.4598120121,291378.4023109949,659662.8611730469,1384198.1433948993,131102.03682469382
IN-14,198550.32155655447,29461.657032445433,37995.25517176438,112806.15022074837,30244.784028235117,533493.9061758518,379648.6549126171,95206.9165544277,161666.85781523763,224886.20419163888
IN-15,609214.040966563,1439179.6862826217,345007.0540692953,500099.5219267859,1441609.0699923781,233266.95467288568,325022.30904105655,395160.8799295318,501911.04110020143,217788.1014587752
IN-16,472451.9381478156,6622.8109106832735,11148.613441781825,150512.24299950586,6653.262241652336,1072085.973080071,906975.9021635738,25047.199450812877,38275.3992057165,436777.8500468478
IN-17,2073.800284816307,3490.898332240729,2013.3896219873534,7653.300226540578,3850.301439028831,9122.479393724889,5678.902664274711,5051.067801980102,16926.469320431275,3576.0490239394317
IN-18,4407.645196098892,1469.5698869515518,1642.870290000362,13264.128180447153,1894.4408797414244,16918.22058943549,11658.761581999926,3315.5375743616614,10162.834847011754,7292.116083279708
IN-19,238556.85847511422,87032.70573137727,94162.64070522411,563679.9617907746,90715.12737425082,460861.51370746706,461467.90293451556,210918.92891825514,419842.03001198353,196907.02495909366
IN-2,67115.80455950403,4950.638091518642,15788.131647713655,11180.756220166353,3783.9495255310308,168646.90676203693,137869.3649179343,32231.663128784618,23693.36528564665,72355.4372109568
IN-20,72405.77818890006,5790.214897589692,131623.36322680733,85541.99279891395,5616.014016967327,100154.14831208387,144693.93702621912,297676.85764599725,34816.13738020491,46364.04634201144
IN-21,4092.381292701821,2486.5640912239182,1747.9908122763977,17146.629155001727,2196.8840136765657,14967.367603571103,8144.268476402475,4387.836590498807,15483.531698105458,6865.63399962592
