bin,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-1,72890.94935913678,36390.43101773478,80029.51787716952,78323.63928798704,17180.88782485725,35815.93692340922,45481.230844707345,8457.812874822584,16190.720412670236,89628.0878159904,89170.57291414968
IN-10,37739.74956656557,76603.74924775884,740.9843918217163,2547.9831667575168,3060.390728807404,138515.51300007472,2172.2739224830734,119858.04920385663,5165.42065546552,101973.17804468836,11020.232820352989
IN-1077,246.67383248191535,99.63099630996308,99.75845410628017,0.0,219.1360351240642,0.0,47.82287822878227,299.45355191256834,199.6357012750455,164.55097207688496,0.0
IN-11,10000282.410657488,6032161.276151828,3845565.1285190317,9080111.598750712,4040271.3227403867,3233306.0923394756,2841891.4792710263,1985079.8631027339,951311.1105126735,2461213.379069499,5369705.46582925
IN-12,1648401.4137273794,3100430.669320628,10664634.918980062,955069.6113922491,4180498.2340676244,8549378.201649992,3783607.880458807,669755.7543906614,609149.3364541376,411614.6292438873,930241.6125062979
IN-1213,199.8267974944042,49.9583680266444,294.3769077350105,299.38171648678315,393.61292608269736,0.0,0.0,10582.6713370189,3879.2545376290404,510.4538964110397,249.80813507290867
IN-13,2071.84636791171,4253.125468861997,1071.7662304545624,1375.6705661731137,2062.9724656792737,6100.834416134263,1023.635457070565,1777.681658844165,761.7767376686339,9730.559515275778,4615.3588711795965
IN-1311,1217.5225572473958,195.95022624434387,3676.0624228947477,842.5022680573882,393.3973501531546,838.4318751895173,507.8155119212888,158550.47471945567,119813.45363263201,5869.243834180787,1764.1817227449937
IN-14,61549.777705433786,44040.03811665274,14600.234090590071,63686.443052081384,11811.5947249383,7816.179302723643,16093.913855637133,8219.273084697941,10267.549265814147,8843.266642037934,22407.846534169556
IN-15,81880.49980529261,69018.48681674016,48042.32135891532,84320.91319511589,51242.88677939139,81920.50866542711,87763.3432996219,20006.354048965557,13805.849942778505,205903.86819899053,277612.31502137
IN-16,78916.12661448019,81423.78196630519,69640.65541440247,82744.73720629833,32386.21788442664,82310.64161291604,89236.214313655,21765.90470188858,21704.319707693023,144013.65438531703,144035.94242663102
IN-17,15861.537300516766,20008.41835981407,10979.361467869372,22248.3097152903,26231.802070730973,7175.351257558639,8749.406199070574,4222.897186734634,2441.096426493211,29896.66408069839,21721.370727890702
IN-18,300038.46533379494,303017.7019919529,21271.726375594302,29539.278027699627,39948.30485267805,60528.62231108766,27695.582984730325,25938.70294416923,5408.161110558971,51179.45683126453,32552.46986750076
IN-19,174379.86364772348,343372.36892993446,44866.563321162044,32636.629746215614,20718.85908205446,362441.17940383474,976010.096850261,42451.348624859165,36511.62863197304,3034938.591426532,1035546.650559804
IN-2,16757.93515687594,6448.38421254969,8294.961249211534,26841.67259961283,5098.649381807444,10831.519912743335,23000.002006289047,3357.6521389297145,3458.3301729691416,29995.45515645931,73958.17592402664
