bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140
MED-1001,3763546.3583298516,846859.1153665443,861995.2347192282,10383411.107547311,4276778.25415043,9571263.811659787,1559200.805223676,4876833.1193513395,3181.4312429495267,862.0659784960044,205396.658210721,22450165.495070793,1395088.769302753,3290081.217995361
MED-1008,13429772.341847396,1525140.604583862,1550196.3731704687,382790.4822178597,2095600.3487864921,17905428.71264147,3139362.88846252,8601164.294023562,45179.314574337615,73556.60587744621,1483546.2879706365,623802.8761615717,8962817.437105387,93847.83671304943
MED-1017,355753.43122003385,721425.7219627525,730456.7541956386,66317.76028142107,1068290.8993019457,1916698.6835565432,326959.3531461066,928438.9206597367,1332.5426663941828,40625.7388906215,1380160.0829081833,5195.7741435917715,8261367.635426788,1070.5297940497987
MED-104,11335785.875965616,4315853.180973981,4366025.763084012,10064752.136292644,6485803.993797962,8805124.452245029,1349351.0969743773,4527205.276755532,167731.7122294792,414787.70653470315,2413340.50918718,37419677.378933884,16839647.40360794,5326770.140129913
MED-1047,50321.39955754189,3737.7632265409547,3585.369325035214,1021.2169932029276,3853.0488946860173,138293.88709855604,21418.031777262997,61455.689550840056,129000.1112488343,30714.677568476185,924.9227156935282,31931246.24919967,4049.291799662521,4812981.091680725
MED-1076,195499.0702756106,15906.542898865308,18260.730987677376,75588.96044531275,78299.49600358421,185179.20829245707,24754.61863967471,95128.44496008418,64272.5852154553,4584.955892815268,3881.502277739557,8690382.907433832,25193.43722491919,1293619.8702473792
MED-1093,48561.32984005971,420000.84594852454,415217.4215174993,49092.55814161438,32398.39449743448,58288.62837790374,10941.916707971883,28878.057141946712,589.0474172109166,832.1450902576503,15125.093661425746,10727756.107463809,105502.23080454391,1592769.632158255
MED-1094,38584.17641593793,222345.43336324955,217942.74890457586,13134944.063464824,5355018.797814259,30136.235121369893,2921.136831717825,12037.431328534187,456.5549472506969,0.0,816410.1605925191,1674354.8387109707,5582183.648916982,253482.33265852407
MED-1105,56362.72743987047,1321640.8105753893,1336781.622105383,855280.8362833892,595194.8815837239,55360.90779157803,12136.921150467393,24941.16587023458,3078.7342622839483,9851.110134236998,166582.56858474133,8897022.038072245,1078634.8543557795,1298095.9065283514
MED-1116,1267990.5748414497,840214.2078112406,863654.3855056781,9615884.701717595,3648663.6768512256,3227924.5273608505,521163.82941837976,1619338.1580302871,7317.292577585407,14561.312657253371,591767.4327612605,1781704.7410598784,4168289.63166102,254502.29355790783
MED-1122,738541.389716186,49317.32176842273,49098.939951652515,2515.5268973585303,9964.87948071896,328142.9919772029,56204.72210154646,158435.23105284633,1248.982864069802,519.3059208171308,55989.884202202586,12139361.57978427,338583.11629774637,1869339.177272707
MED-1153,1635817.4602940618,1000099.7936392195,1016164.7745055457,3623239.779236843,1787047.1860963253,2416481.1115033873,377549.58523207915,1228434.4511152564,9216.635840035557,561.0488815339933,789898.7357320258,4032157.695533153,5527674.88537707,579706.2313671277
MED-1155,95778.04846277137,58269.65303806648,57833.10567223584,714583.4411723627,381368.24485364446,88043.0637910714,13918.669155741807,41899.31449972224,43330.43834970915,13090.34924373708,33421.6947436822,5639419.153149106,226735.12708990084,831467.6402718581
MED-1190,898545.9422703828,1394709.7551092175,1369975.6881311256,3702911.536124206,8857328.853381695,3517451.4882660825,604458.7505215281,1710025.43119856,11770.87612139331,6640.525222647788,751148.4701384169,236720.4492996348,4587906.540214853,35543.07922776167
MED-1223,300104.5430354106,125474.2489554598,126550.0977178478,48172.02444431946,271535.0873133679,147146.9905647833,23171.754554569692,74622.8525925347,30379.044801091113,252072.7977439887,57218.05619921296,892106.1052375021,437013.4357859507,125973.84736127018
