bin,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100
NAT-1,619.2759764862838,85328.87706433063,3113.215181372448,2280.5056590968975,10642.83847004109
NAT-10,2066.6289178576053,85293.80037335237,27994277.127291758,8442.8431195833,484432.1292524481
NAT-100,4041.199922487616,195726.74065454915,4114.450533980186,18474.680646136996,15349.347062253088
NAT-101,2275.794523565034,58928.657221858106,3852.970910436069,13091.957604639661,832.7981592598321
NAT-102,1797468.6180707659,829086.3126800013,916492.223474668,11657553.816303782,57622.91074241
NAT-108,664225.2131393638,1385449.3486960542,1178788.7895283604,3437565.42614222,402506.0002911296
NAT-109,329644.0904903636,252072.21832408494,412335.6480271412,1936041.6857851385,300368.7400526744
NAT-11,203807.35345469476,4688541.275023952,11649454.977359995,1325180.7764335903,1374082.2231288329
NAT-111,3033.1967659272646,142389.58822965922,384410.2395953692,21049.695651347192,192052.10879323955
NAT-113,2729.7019762477294,1312438.6095389307,82051.8206048533,17198.48927384736,163704.98273289728
NAT-116,1814.799240802451,743175.3650630835,104362.71231971552,1005.4511179678517,1447324.757300959
NAT-117,66.2236914600551,4866.441017390473,114804.93121959096,351.2215760112854,28315.473947401948
NAT-118,21742.038556826723,2439117.5660641897,242779.17902521786,148647.32454106776,271484.4896677926
NAT-119,57519.526187839074,401824.49505325855,202014.57545799066,378067.9732309802,154223.9840947757
NAT-12,347129.5057259616,2146108.3740023742,6101458.316610039,2468165.245424227,20927553.117397435
NAT-121,2022.3655529580342,9170.713575365558,5106578.053953091,15900.631506693257,30330.34802810524
NAT-123,151.65640722921356,1833.4020022252453,48042.63610991323,535.3640432696275,3697.6346550731105
NAT-124,0.0,580.2738190498674,2426.73827667366,537.2269897803214,729.1993037002767
NAT-125,634.3696284339543,4289.418636780736,183277.73480616786,7089.354532576785,18856.136750478643
NAT-127,2897.545276745067,4392.48573076892,230057.59378922952,16218.33235292185,18515.05702885411
NAT-129,810.9537060438503,5037.25632860304,124706.233718788,6376.236406950432,16447.234158280116
