bin,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166
NAT-1,4282452.69461505,9574871.313889565,9109493.320204651,4203972.247964585,10432326.027427612,5859084.514729958
NAT-10,461041.4275542756,143340.58035097196,346924.2426890502,818945.2919122563,308375.06411995366,442534.41210673796
NAT-100,12260686.918895083,658730.4287119736,17109056.260489825,12658650.930017643,9406997.638555875,39327626.44936486
NAT-101,13484706.531042172,376488.6801351582,14084088.605078539,23962898.88951317,10213900.088869896,47704992.381407656
NAT-102,13702.583971386426,184519.6711645034,15479.684659374085,11387.371603869291,10110.940986186051,5527.125041899553
NAT-108,64105.72263817955,27423.679400067333,104850.94430222228,90120.96918819139,79166.61145791302,141457.27242636465
NAT-109,2961.194142823146,12732.878905795806,3500.7232183373526,2463.9183686814067,1835.3157668369809,5366.243656844978
NAT-11,9261.591814679314,163357.92778264833,17077.745069870776,6022.967360546638,7188.815791604479,8199.599266657728
NAT-111,555082.5080172414,530090.0450073654,531770.543926729,643075.8969242682,429366.2506660424,823991.7776609136
NAT-113,10547525.86428394,4339669.188037465,6390800.449383673,483172.518524767,1726393.0652344583,1594698.230451175
NAT-116,3336536.890516029,2812601.3828284484,2003961.4781448634,3575196.980758075,3392270.4951893548,11252784.406590436
NAT-117,128052.02508378158,15295.457422088532,26229.24651497421,37429.12291044988,70225.29051678834,8936.070523503038
NAT-118,18677.795202991754,62846.776561049315,17030.355591969826,8553.217452510708,21656.12440851735,13931.342453030114
NAT-119,8601.793378650698,1628109.8036089109,35235.03657863642,54761.58225980576,103496.30972220148,17790.041669967282
NAT-12,18026.810294099603,477825.77038645354,63218.80234448877,54239.15499086342,16134.7314453258,41378.25912633979
NAT-121,43040.844557620185,44591.15218234122,47719.30597360164,114769.69879664731,54548.71115865568,30857.60932946878
NAT-123,129624.21974708156,5409.608297169455,19988.928295793474,5204.210066516575,18678.60086420876,9095.644839946046
NAT-124,3302.527164266086,568.9029608538241,570.1615282629698,1257.4159771683514,6206.400398772393,370.92863802650265
NAT-125,14385.043250198149,9816.65300428009,16463.546836962352,42733.50977302261,12904.21536151085,19115.68809546755
NAT-127,6049.589338855033,14347.119549698753,8247.621759395022,28676.503341515894,10538.61216783864,9943.384723741057
NAT-129,28203.649719549583,10099.236071151023,18390.587570856842,41515.706047821935,18997.231083971696,15679.162483085698
NAT-13,5278.951311902755,1914856.8125889935,20053.43138389835,4939.305746326995,12224.598061015093,14733.281594514468
NAT-130,32875.59630294371,19846.67051284848,15796.23779862232,49318.54207725985,50058.168069424835,36861.567680467604
NAT-131,66802.04413965817,95016.70350013199,36433.215244438616,58885.40338772505,82279.03010721708,32118.515371585454
NAT-132,151322.51109811297,407717.93415265204,210200.33614940377,162859.52902439976,144989.12519715217,192104.07561850772
NAT-133,11792.949498674676,3328.7244548247945,4618.916868697776,21245.56093601456,10350.592172683415,7130.678702663437
NAT-134,45071.193790044534,18831.48090757601,22255.45687219129,46358.26876539566,44612.17832807095,39022.97885481447
NAT-136,12007.907336013082,63228.99153064118,13508.412695199979,14389.443012740983,8507.672216915504,18489.196961770198
NAT-137,1569315.1990629788,11134833.621378658,1702269.3342556113,403892.6313405428,2081344.7849976372,770391.1484318278
NAT-138,76886.94678193436,2842.45624920879,9548.634763001173,1593.3966277334018,730.6071069166806,1177.0330739614103
NAT-139,26931.469266358396,107800.86959293226,20060.177144392826,21175.148508271806,17655.691112994187,16809.60647359551
NAT-14,88485.76290513917,1004436.6626597549,151513.0131111447,92796.87611794699,128697.5195240182,79541.87510403972
NAT-141,105645.56340615558,67023.76129509338,79837.68958852715,54861.71274588873,41778.93434783832,52520.07291021963
NAT-142,46775.27242106766,55289.34534882456,52656.78807763206,28618.03638905669,22751.16286726923,55573.8655520022
NAT-143,15555.023618579735,55097.848114772554,11581.300806498231,8386.707444018255,12028.294200349636,18601.021947243087
NAT-145,3579.7080929228605,4327.571248677969,3939.2578033012974,3866.173315058634,3870.6138497431107,5398.209680649466
NAT-146,6344.494765667218,44332.95577089964,6525.377020948912,4894.500187190437,3393.1354815892596,5259.691833122643
NAT-149,7486.73862591371,77224.38514529042,13688.868348274626,290542.60406722844,30129.947212235787,20961.860898541065
NAT-15,8123257.718507746,10645307.565095989,12169240.538618766,37089691.790074706,8828362.451271525,18934050.076463748
NAT-154,3284.5549425587956,113533.44628884555,4722.531332902208,1748.4689154678917,2011.278778186523,2614.877943718294
NAT-155,5815952.0774237225,235257.81625457772,5898062.114171271,1386505.381194053,4347844.872064057,443407.9365746445
NAT-157,34904.423208177424,38188.86528652339,46657.03879261976,63083.274115014254,28384.249974799997,25770.457921762532
NAT-158,77662.35509578609,392026.16488818766,244434.31807732506,759764.8283717175,98928.29658471343,146782.18792571677
NAT-16,151811.38588682353,72204.5472371695,97815.58074843176,507605.6870997989,87649.62360645046,222316.0124154145
NAT-161,86352.722332241,188256.75803216686,127594.10409504865,85247.40216423232,102613.66256449063,139541.0372474117
NAT-163,4377.758463942909,48213.49229948458,6348.876516758088,8384.475802469915,4962.140010062111,12378.22810920462
NAT-165,51076.560188262825,4776.197361241419,3552.0274858375847,4848.822925823724,2735.3613081915746,50194.337105772094
NAT-166,136425.79925612904,246366.2702101697,206545.82078545884,193261.71853214817,157279.76945752965,178641.33217330772
NAT-167,6466600.541481665,7051490.198121206,12404621.027618386,3935850.071616526,5823072.687118647,4665137.554801356
NAT-168,4237101.705836944,3900704.350299832,3007373.7243561666,501113.1552672688,2631395.3617554205,961960.0801653694
NAT-169,2801425.826026635,2674847.5470970524,2500211.4910880867,1703327.3497418615,1166020.788372113,2992109.1837827903
NAT-17,365695.36898637476,196367.27904503024,432282.03601585847,644610.9472824599,417410.7355799359,509357.81437743804
NAT-170,60358.7077878699,29960.20793564708,58965.241844119344,172724.46388957763,58677.99050509838,80434.81212509284
NAT-171,45617.91797352705,1656494.2761888439,257459.62690853735,45862.39504435365,838003.1195674094,57779.7763692037
NAT-172,3321899.339768488,190342.73067070858,3234613.9240984963,3540078.51723625,3472435.5878491285,126074.74886422895
NAT-173,1260634.8608678768,1061652.0501521325,2070258.4353999032,780222.057035777,1693454.7537667889,2352603.0055128117
NAT-175,18281.163257381424,94322.92799987664,12786.766491471628,5007.801894057323,6064.4394901526875,20214.52279555966
NAT-176,17891.49671717614,8290.861694174555,34778.54004807921,128065.8303750095,26099.935275872595,37200.689980600895
NAT-178,2102.283269946258,1032.9387408469747,1418.8998670441172,3743.7061247970587,4072.548734885357,3261.6147066592594
NAT-179,14946.665383986177,102892.02959790532,23096.90705768622,102403.55842705524,14511.645599748677,22086.40261472319
NAT-18,1477.727687370794,38084.52626086988,10023.806227638206,194607.1393446055,4343.614910220885,15975.4991708106
NAT-181,75935.14537561433,146871.83764463742,73585.20386313235,59679.446873101646,51706.83083200239,79746.5021909664
NAT-182,34392.37612280621,76660.06024267156,47457.683741012625,26856.274406811015,30150.95015527786,32366.393181985746
NAT-185,11929.743790219214,14793.865444076924,4304.736138094395,3367.98944431754,2127.457853848101,3280.863907406635
NAT-187,3449.710512444409,6379.3836405904585,3772.2729809964117,3809.3986136666354,2422.9018526956406,5479.668142998453
NAT-188,13331485.483930124,14401056.233282112,13740118.838290524,2748846.823324826,11352704.459527154,626740.9984809416
NAT-19,27987.05869125986,11784.547985864745,39781.51904398107,144839.78909772183,17504.022151224122,21895.042112383948
NAT-190,44557.132131678205,2866210.2240843317,58698.667661547894,13792.969481546526,71419.0621675309,38410.0046841984
NAT-197,26459.48165884761,6948.889314749608,4461.649795424902,3785.059075912377,2458.595281616623,7533.75046740413
NAT-198,52315.50665443541,666281.5781194994,59342.18957381761,39881.369514608545,62544.69468801656,54043.84268036311
NAT-2,1807023.3565247455,35672.86180629484,3823626.889668249,3705829.9909920017,2285028.035513634,906216.53448438
NAT-20,237289.2035387092,140568.49096888275,179969.81242485403,228328.7513531549,605524.8679308742,238518.18954129412
NAT-200,85186.08955232144,87011.43313424301,41859.129057567734,26917.295924883067,51689.19754208575,137865.7611818053
NAT-201,8897297.67065689,11824310.708631674,7873157.054892892,26405269.243585877,9683527.385570753,26845581.859267693
NAT-203,253983.96432427652,4071024.6489532115,330768.23736783967,279778.7327009087,330536.01811521786,265723.7838622581
NAT-205,121418.62822007792,193447.3830960829,88379.33397362122,63172.3148308147,72323.98212323515,185859.70512631812
NAT-206,12071595.110923959,3590525.402111278,12389297.634901546,4905174.1694784695,9891662.632633692,13184231.211475467
NAT-209,15063241.825271586,5231837.108579346,16761499.354152795,9650907.556133132,10233657.275399022,8717144.890011208
NAT-21,180735.26910554164,168410.1878454889,133889.41025826524,588863.8879032849,187057.35708260155,253460.40302819357
