bin,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-1,18028.86890916991,11771.399817077845,30272.262480369387,10680.769668357514,6548.5153581853665,37532.00703515307,4701.251965383895
NAT-10,19060.37699723481,122798.00886174991,62908.59270745348,20101.284313142394,76914.74803590012,120368.60034202854,91387.48459930971
NAT-100,50746.6007980933,109397.61045484045,30317.43677984381,232308.07107631394,77641.13005425647,48312.08581195313,16150.883587442213
NAT-101,9902.212184728414,33499.28985956884,6853.553881867568,28559.27693294133,15030.293883355076,7850.810818195034,3157.445737379544
NAT-102,381.28243361690954,2377.2617489036957,299.44277026717384,49.83498349834983,537.259776943434,99.63999815973497,0.0
NAT-108,3043.053237290197,4986.948880595982,8335.070033277938,8055.031495649779,42292.34133988759,8425.057800407421,9169.393018245328
NAT-109,1996.9567454931032,1131.2203821647136,3938.2164850971967,4398.597193975308,11341.514997907774,367.94590275345416,149.56210228172654
NAT-11,149.66271529888547,463.6246489863129,144.46178711681605,149.31619047619037,500.57330724562655,0.0,49.96666666666661
NAT-111,57069.73694073069,92832.04698804325,108661.34780182986,25277.5229542824,103398.73425924964,168250.93878252065,53788.72278331364
NAT-113,9142.201354051645,19193.60039543355,7084.90477386805,7345.826143013235,18485.798938093347,17244.04797618596,11184.036916423887
NAT-116,177678.66019310604,196385.14446858043,34362.0830849123,33203.82265423389,49801.79419174995,429503.87617730745,838901.2455627304
NAT-117,150.81387820951474,245.05620146851976,0.0,149.8630136986301,688.6254201431246,361.39706303369763,199.75806981071298
NAT-118,99.81060606060606,2018.4364163367152,339.28700202713526,198.3576542331993,391.7059839624787,0.0,0.0
NAT-119,0.0,1302.2874648545792,0.0,149.38709582251593,0.0,252.7998088099743,0.0
NAT-12,99.79253112033196,1968.319251315821,8569.922723470976,676.3693984554307,38512.701445293154,675.1290635734393,396.9373201097659
NAT-121,126850.69614880263,27537.74449484882,195207.33784182498,292057.2377528089,259892.01425217878,21858.641554372636,37261.78471407072
NAT-123,492.08289297083815,49.874686716791956,399.1191494619842,448.8053467000835,598.8328516624543,542.7249109250298,7035.920214439633
NAT-124,3.6415525114155174,0.0,0.0,0.0,0.0,0.0,0.0
NAT-125,9113.743044866951,7728.191809055691,11867.853637090677,8056.327722986346,14270.848440218979,16364.920756447562,25227.844194756435
NAT-127,20010.16034252217,9260.639961309733,49250.30589418409,26807.295448795194,46906.99424431821,11469.943542799323,32734.287547821423
NAT-129,3563.2432076206,6083.544760848746,6796.916049137646,3237.1315680333714,8332.5570807878,9041.46299740283,9517.387395778756
NAT-13,101.10898411720706,12161.21392967973,49.890829694323145,498.84225751593664,299.3291633915145,482.68980518255535,988.5096255069928
NAT-130,1946.1516156058856,1797.2368106781666,2145.215847940869,547.6556998651043,1533.733431573076,5061.039022673215,7469.351256196793
NAT-131,3646.3486580021518,4935.953242794755,6424.156683010002,2645.22383040364,2991.029406349888,9313.60917879337,6192.894576148876
NAT-132,1935.829910711468,5317.152935102942,1986.2042045674245,3107.4021242749413,984.16051667094,5564.3975822872935,1301.7378265649932
NAT-133,1805.9142245697133,1620.7487988647129,1602.8416257988717,1616.1636531822373,946.98688390403,6221.9438235426915,842.2845841523015
NAT-134,2483.3328025223072,4964.347515744907,3855.2839099532566,1261.980406418801,4426.415208170716,7450.548241073493,1754.5385585499407
NAT-136,99.92076069730581,599.0485429816123,543.920323582187,299.1905698699,539.0463616394079,299.2706953051348,149.8286539754279
NAT-137,4961.528509032194,61213.41402955914,16704.323421212033,28077.65028226558,10139.242165216392,8710.801290512018,6488.154587953348
NAT-138,1349.741095711139,99.742792911928,348.95979998553776,1508.818108836684,194.8113421436696,349.11465220841046,199.5797504434575
NAT-139,0.0,121.52383666322112,252.94701373158188,381.0295615455859,284.29121958968767,0.0,0.0
NAT-14,11547.163998156137,5075.745231096097,5147.2431717985655,1315.8885712629915,1097.4606947862164,12580.397312031113,4813.328270252255
NAT-141,4073.4872242907263,42136.853386276445,6736.188921846177,19588.227683501096,27562.731774615826,4989.44457204038,2413.4334575527228
NAT-142,738.1308248876528,1098.2352656592886,249.24859025842608,1388.1142471451121,1247.9028289688574,299.44272757523345,335.53969831649147
NAT-143,48.94685990338164,183.26785465666455,199.63439003352937,0.0,0.0,0.0,0.0
NAT-145,13285.887100515309,1250.477469062118,28973.09437748978,27776.86684505854,17520.091854105653,1702.2504357324606,398.6475887647572
NAT-146,1660.2132583937928,571.1513132807962,1023.3537216882337,10483.4299447926,25600.51481128849,49.999999999999986,49.71264367816091
NAT-149,347.3524077834488,7958.987539567922,99.60194582791884,398.93319547828884,748.1476446058296,1665.199387345034,299.4894650939929
NAT-15,86346.37116982881,115105.2042458963,285667.6462052564,70731.00368907298,206160.45926233192,152446.54257556412,121113.37895213743
NAT-154,99.39024390243902,747.85542399361,249.00121149042428,591.0148847247957,353.5452220267573,148.42410786558432,0.0
NAT-155,31344.414312186458,16572.437788238454,28018.654561385236,10893.977990726285,9766.818052644285,56365.359228906804,12184.832053302232
NAT-157,49991.65554601344,16447.030321601564,82463.46213085146,91724.95326358394,149714.8139108219,23675.82557090699,61694.83521020598
NAT-158,252379.85388334288,254030.10631354878,294270.0081056554,242137.58901659294,373280.96685384016,239912.6557620081,31419.7934873357
NAT-16,25464.074192930108,133377.61419992129,40127.98493403916,27446.479529284392,154878.55484001464,104117.43341456086,97303.39441799116
NAT-161,299.3815452997982,1531.2687023855137,549.0762348461217,1192.6313845835348,998.0271332372841,845.3241489218157,149.79721827090242
NAT-163,99.7512437810945,1745.9987289079534,1149.1439458954899,74.3884675094256,7956.653499750652,494.4985883307683,294.74676186017473
NAT-165,2082.707795449882,344.5450555753838,148.65403214096494,717.4789194498918,150.7368158958441,337.02248684099663,398.34525021879216
