bin,ERR598942,ERR598952,ERR598987,ERR598995,ERR599065,ERR599070,ERR599087,ERR599099,ERR599108,ERR599147
NP-1,155065.8461932771,140339.73278779376,122568.18286476772,886798.988275376,747844.8549319374,127815.5279401109,1225090.323289388,126313.99071939535,281336.9148644228,127506.49682745342
NP-10,18746.300369437406,1626.3815284367734,17550.182728397336,39167.36037139828,10461.940339604078,16427.342476082966,21449.581639009088,18748.220405835185,4453.328392036105,17125.473710740815
NP-100,235462.14167198745,1282.5244837778068,1957.6181031937233,60690.37985973894,9742.172080942339,2310.7226158549884,47838.15452852539,2375.791341566831,3535.412436694019,1630.5844000591749
NP-101,82237.27911856792,36593.74000099015,5046.646281226839,268948.5613107563,201684.1395110674,4848.256703667283,282584.004270292,5922.358008404952,80222.9637529003,5178.300686551983
NP-103,153973.96943221422,2183.2762910776946,7672.049259016785,186433.86519199473,10509.241760485791,6668.659779433719,185311.49169999987,7741.736253542474,3751.912294854685,8004.377235158077
NP-104,1041116.7569880018,111059.03032359447,4809.2117702009755,686676.0531326515,587479.1157728854,6218.56307658648,672059.9069634334,5981.325623087995,236190.389460543,5654.281941331844
NP-1044,9192.311870307238,43.52911613678575,10068.386371962606,3807.661303897767,517.6627405285815,9541.19809116912,3768.085598203812,9944.17480288085,317.2837797221024,9692.165059533092
NP-1046,56654.36389889737,4255.1466008589005,8845.978427476066,40881.79217372911,22271.03254933932,9150.787780944771,48448.80021315791,9107.026174846123,8651.762781121364,8632.83671039364
NP-105,1451.4377959513467,173.30465949820785,23735.228872576958,8056.390452581756,1868.932839612652,24729.418002978055,3186.3735187429684,24257.20097677891,985.1109555167512,24591.655103845063
NP-1051,1655.3964832220734,278.3877303402072,10733815.784307323,3784.6881866070757,1318.0224857846565,10875219.61563692,1305.3490930948594,10881206.064206125,1471.5278918695212,10968323.64104298
NP-1052,95187.3766706219,916.2230123433326,326.1473927904895,21245.893222774663,8122.269430157918,436.27994880725095,6892.324020937268,532.10971920917,2944.6636181524345,302.17770597738286
NP-106,542.7935230963207,0.0,1690698.9953625547,4381.58213823788,238.12202120519004,1699659.8429444039,1023.933778328792,1699751.9515729551,436.67833493625494,1697077.825060198
NP-107,2254543.4635763955,4545.096919682028,561.7117254802691,4823.254216602183,24889.060941855587,268.62075061994494,1770.7120270666453,544.063661849046,9646.831047071006,574.936837395698
NP-1070,20521.35215657652,1793.6865425144895,18686.74179367148,146851.7403648122,12120.105079486564,19786.765836544935,183275.84490035812,19153.778891666672,4545.114315229618,18086.578716803397
