bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142
NP-1,81715.0631580779,508498.58993501693,436369.1047676505,149278.83680928833,3174031.628726987,340807.9082765399
NP-10,10594.7956266768,4896.936975415354,36808.010544332734,40561.57848840389,33242.65003178215,11029.89131407657
NP-100,5960.748305222445,1821.9243671003514,43752.75795712141,36716.68867806823,13311.752522287456,47645.74908975136
NP-101,779452.7400584962,73514.3067462304,10288529.019085465,169069.6038,499097.38040354,462737.71927510534
NP-103,404199.0141150493,3402.7017938786507,5365784.5136664305,304974.17180634517,24009.255658129357,1673407.9120402338
NP-104,8843209.14645644,62961.33434308341,8642170.181059767,92354.88355691181,372755.421559834,2224973.850532415
NP-1044,869.6182133477961,206.10979108289962,700.2599306745333,1350.845947673215,921.982790431438,802.4892345870701
NP-1046,23253.130032944915,5593.643428759094,77057.85611980142,10259425.712158658,31948.40801860692,83833.97879901617
NP-105,557.7252671766137,210.4384961228026,3152.8173611457005,2043.7446902322647,1460.9533578050211,2051.2175557547685
NP-1051,2117.418067583503,477.2504886628905,3167.4847406736635,2748.299695104353,2508.833372011488,3106.849181440589
NP-1052,11593.25134085385,3159.8013439146716,47635.34353018051,15329761.525872247,21218.979136197962,180566.69393060126
NP-106,505.5911620069548,33.59710743801651,364.88982233635255,112.70675954189669,21.93353474320239,64.52955218444156
NP-107,6785.563928465395,4621.23683399543,14324.891362569137,10811752.694079075,26044.40295398022,51575.219360112045
NP-1070,25501.225801004122,2716.913963843303,17136.824388128407,32249.00254025463,17327.11054089343,13348.009049660574
NP-109,21068.706308446093,1338.8808629287826,38704.13297229048,21009.084185801472,17443.498060690134,10830.32399642625
NP-11,20925.193062401646,1737.768449566481,32953.94728279671,31252.603647728738,10996.19456354492,13685.21092846785
NP-110,51546.81396069434,4216.313975311239,54146.05197308466,11805.544271631972,26802.87950911567,36252.62032990269
NP-112,2459.7708257292243,124.71428571428572,2721.3507914742186,1501.7493160965453,1007.6452476572958,5144.701739680027
NP-113,3967.985837178518,325.03404492514875,5679.857957909633,6713.906716642299,3956.536532274599,5620.5315000808
NP-1160,46106.525215610796,3701.6329457324155,25779.741684935932,130528.82034378816,24096.135281454335,13993.27149486196
NP-117,151612.3874832865,8473.519308636907,81478.12439122736,206630.04605488392,51646.24354113719,16880.328239052233
NP-119,346922.76941031613,2466.5021108162687,63145215.876376174,1457010.0580173195,14695.06167086515,2239733.3574006073
NP-12,37035.06327701074,57890.669253288695,441581.2477141236,223018.50916115323,296697.1654010228,135651.7816423485
NP-120,181535.49942120758,150121.57958617684,8124860.005521101,829787.762197041,976925.4437976162,1241649.2001269122
NP-122,27763.944057463053,3687.093257962566,23659.62153574266,21974.218697191325,15060.725665853806,20482.795974234126
NP-124,33043.473926339735,37689.62965759335,1141230.6179683523,317807.8993554083,243367.04677370365,156001.45962477304
NP-125,58008.90170512966,26827.635720352868,5660591.2828301815,918933.0523856635,126178.13802147102,187810.13934025244
NP-127,8298.976660591923,1458.2552754261444,105428.50273073874,27973.021585147748,7946.395332978874,6616.296065066362
NP-1277,4454.966687320849,537.8550477732018,4912.327124657559,6386.121305687482,2673.6172679571023,3989.617852435296
NP-13,17694.627571039386,9180.964178624808,302320.068290137,304369.70197040314,59356.65095738468,112519.82930381264
NP-132,133.69660671262722,38.866438356164366,306.3007142565591,367.77951098942407,59.299190060818134,214.63865264422475
NP-133,1173.181937712269,154.66687883152787,1229.6100479159281,766.8015329090315,672.4829164667985,967.2143217124298
NP-135,1494.4513183906274,928.5294755529386,1136.6931623435837,36071.64161668531,3127.159968531414,1840.9847284949253
NP-138,7809.18904470632,759.45418174163,10236.565049392508,2519.974748264003,4002.866053327881,10965.84740874094
NP-1391,45653.873010228715,8926.49020340169,31607.200810958166,18875529.24224576,52343.79393430185,123162.76407526183
NP-1395,269417.6250473409,40689.094975207925,315204.28481719113,672778.7963900568,230115.74220959976,208476.8694350915
NP-140,1122776.4987445269,297325.2899310748,3481136.598997715,734418.5875134127,1753049.4559688987,1924934.2849377447
NP-142,1125.228042206288,291.4453670372575,2263.1365314816535,2697.4300274158186,1746.5155114832598,1918.5060274827788
NP-1444,128264.06141174726,16799.347384876113,111109.50881856628,14383115.88187288,97443.98851843354,119514.48671545928
NP-1463,371.9932304722477,43.278985507246375,513.607257878997,389.1450024790962,287.42831945714727,1200.9868482942693
NP-1472,5264650.155095019,660329.5437476892,1802921.2899308791,202650.51711000156,3963350.8139920738,121575.36239369267
NP-15,1726487.7322252307,60244.410324114455,1681601.791661209,160427.27308317894,59528.87623580531,129317.81422889557
NP-150,3465.05941659398,1043.0005981586112,3326.188807164611,12492.182341136595,3767.3944614963666,1920.8961355223612
NP-151,446800.2888837619,70710.00631935867,2113227.6601331425,743418.5209240565,469030.37924188137,1008305.6987797467
NP-1521,4957869.163349883,66292.4365438473,161387.8613617431,21110.28616193078,233524.29308956146,113638.93449667956
NP-153,396.265586945134,75.29413145132298,961.788480044125,853.240897717104,478.22014754579845,286.453400341184
NP-156,31388.133274105214,137775.70279223047,1456290.0761061758,1631303.3598136352,760243.0280275482,1625787.6644903654
NP-16,13345.569627000381,407.98195316734984,80668.16818642036,2702139.3658594396,1409.0436701559338,87489.90992497727
NP-17,176380.1551276341,44648.58021374362,31634.08705950176,19430875.97251364,301907.33073780866,16964.360825986707
NP-18,356446.8439691914,83614.4405246818,283938.2483629467,94356103.63698179,536796.634162508,418644.70488895534
NP-2,24330.67543642433,6957.851780413546,349329.5947549326,732937.5527102472,13064.145005250108,48007.164780628795
NP-20,5278.992536913072,529.7599550740833,11935.959365086075,6553.681764761804,3205.8374780523454,1157.2959783481558
NP-21,72286.80643746363,10488.8080471702,62728.76013705949,225865.92742230976,61671.41653166571,107262.84461584837
NP-22,119212.63387713592,15689.548527638128,46362.00179061855,298229.0247416703,110634.86638395015,64301.33710833357
NP-23,29147.128439284756,2972.2930391104583,180386.68021069272,140060.323844919,12839.514637694961,57659.41367122707
NP-24,5831.958953846413,571.5124783101321,2791.7882746075416,8346.210543269124,4301.613807002135,2472.558773394358
NP-25,12147.647271467502,3111.6918457159827,60008.93569364243,1499869.4214391266,21746.197799054262,29785.14638122924
NP-26,208614.1512979928,31584.55485537076,766161.7927109071,403048.4163821214,174504.8969735153,251131.1887514959
NP-27,14227.393450980768,38945.36548672311,76697.27908456272,20878.737008484393,225961.34870959548,24446.719044486614
NP-28,57364.78291536468,6458.134685591252,180774.6154203794,48757.57663511074,34642.2315015515,29579.87938166607
NP-29,12529.080917906835,2216.8621095138215,34970.21065246826,31370.743762060403,13540.683108266683,17778.605419980366
NP-30,14042.676897841566,3981.4584056003223,76329.87247881068,39645.39037245111,23291.041419598692,19608.244980515272
NP-32,92537.02464510675,28497.229790231755,294797.2449184738,24255.006979672096,148830.6495914333,41537.8399296881
NP-33,9694.699864353252,1705.3287152287273,55543.88520880732,45966.94640199049,6988.58911522638,10580.537998511743
NP-34,329523.327602885,26412.36091395785,316162.31717335386,952826.5778975273,150395.42107232282,109249.25092200887
NP-36,16325.225719377497,4081.7980606460656,28423.055848370383,28504.885244239405,24285.961068985933,17788.222654414072
NP-37,30513.709786622436,3761.8086329806083,19587.029392818466,13926.489085073568,17695.411705881106,27884.750519963192
NP-38,26986293.37194993,15384623.82007839,13109426.292769417,478408.98415490775,94047660.17967726,1150135.4333227733
