bin,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1,614674.5650030146,1137455.5404027735,4140124.475542896,2445457.0407324852,1693458.4685419502,4240838.500015351,6666955.935991729,1606222.6850548217,3730148.2359798765,7841690.5985763585,11789825.11701148,7845580.624414589,3821508.8400047296
NP-10,162007.79573584313,203908.14204380746,382082.5182548791,1521226.8125423244,557495.410236547,493579.6665160284,1090686.016251826,9144352.083247863,6353.88652760792,114445.59840249168,16788.885955008096,4994.3569135584785,772.0939409059004
NP-100,41096.84754824541,286584.5444113454,666315.2262843719,340649.3816391473,37895.46693160439,961835.0741992997,2888.705227460546,1245.3892773561574,249.6260279723091,997.9878732573478,943.2382264101726,598.7789012330729,797.2653081768964
NP-101,643.2397472204278,1291.6684835408184,149.5868224602402,1746.3800324612255,348.0638668336586,189.70286549024638,0.0,298.53675305212937,285.11928299482463,249.57528457915797,368.8148318119223,472.7909388475072,1035.5193479496768
NP-103,22207.497293515236,162766.7673759689,887662.1861342103,2324274.5823785868,32059.114589792192,451546.61969419755,2027.9255844249,1395.8781920889821,149.72404823423216,299.4766090303991,299.43956272793355,948.1552487582737,649.0000674593724
NP-104,1581.9031665309421,953.4860722173192,92.84467713787086,7149.008479465132,300.80213955793545,49.75490196078431,99.90243902439025,148.8410822216132,0.0,1608.4256528798578,1215.2654422285398,3096.3263549373987,3674.8752066394354
NP-1044,701214.7847363023,380618.61384674674,642565.5754545475,1481250.7477449616,510654.56643181253,178722.66009871723,1578721.762204194,2184535.552079803,1816030.2627719198,1588758.1934337711,1064636.8229408213,391821.39593713335,527794.6949343936
NP-1046,1086.7071632256946,2606.3259161593305,3165.1129032258063,4441.521505376344,1031.605891294838,3782.0,2902.0389501870827,2207.4695077238675,1714.5591397849462,4295.054279864993,3765.1709240761966,2823.0619375051638,2406.7925054461944
NP-105,343329.5875821229,493990.11792653805,63752.373894592965,1097200.6782179817,35968.88867520797,55294.101558185066,93463.41935226812,1176400.7072775566,60871.57137492329,671349.0710115486,525301.0181577988,56740.80770571827,461745.6056978085
NP-1051,11688.470480511596,12729.905511324649,4924.4733072394265,9859.202608914396,18991.481377751363,13380.817016248177,794.3589628202224,497.9095355874351,1443.15068922596,3088.993154345254,3244.444538896016,5576.129043629183,4343.896028204301
NP-1052,49.919224555735056,839.3144331745534,0.0,49.919224555735056,148.75928917609048,99.83844911147011,350.55781913247307,411.6504669309254,299.51534733441036,0.0,0.0,747.4571890145397,0.0
NP-106,1717446.7036344812,1037733.2228860842,32834.34914828751,1249328.9010483408,92008.45956334159,19341.70092121293,116186.21173366855,1339663.4541152872,83555.5291909942,1507889.811198072,1227745.5177370764,65695.6747726648,1382394.9773717644
NP-107,0.0,49.567901234567906,0.0,248.03920888466664,0.0,49.87373737373738,99.84025559105432,493.6405771262695,0.0,0.0,0.0,170.02626731048258,573.8188018016637
NP-1070,71236.63089770591,63733.8243552978,82205.36536630895,264271.86404339876,32476.497955586292,26706.62398624432,49727.443131456865,103178.25125383983,127133.50929459033,223883.8234228042,134817.77117566264,11301.248778952571,42444.505600762044
NP-109,199.04197470183516,196.13325960867152,387.5517820078794,99.52606635071089,199.5049504950495,199.62029279195883,387.74762752680147,0.0,299.4356659142212,0.0,0.0,159.214098015768,145.32479613409848
