bin,ERR598984,ERR599006,ERR599009,ERR599010,ERR599022,ERR599035,ERR599105,ERR599126,ERR599129,ERR599171,ERR599174
SAT-1,37947636.87936848,709443.5837989654,653114.0176633465,1091448.7820182445,107907.44545448685,433042.9506135565,7966981.687501039,7292937.404019531,617368.6910290933,630962.2012244064,1546186.479182356
SAT-10,4900713.252980861,1815790.3242327252,101526.89980886389,338394.28527511837,290683.92125252355,67820.79112538084,967595.1865243767,2235404.1057788525,579927.8124187734,586133.327678679,998183.6669252055
SAT-101,764419.3576663138,209893.838989715,67781.45322663993,47046.65953084048,32131.41265110764,40682.80824340944,154723.88751942798,361136.61828247557,469379.7532615221,472900.3398401901,829205.4631435928
SAT-103,221564.35969518722,17911256.03464159,320476.3747302978,23320.376352637508,2429199.9516237257,193314.54125140893,42196.08875951098,190489.99214171275,8944.191892059589,9462.633867642715,17999.90009199967
SAT-104,29383.619366314848,34543.59349919919,153719.3403356524,2276.405190095391,4647.997726961443,86270.28801400262,4967.112638627115,18433.326556608605,8449.379645494811,8105.760107703175,13892.349028291252
SAT-105,349867.9142351097,6747273.50392886,50072.68459376514,1171095.2577451735,878999.8629472951,29783.95519142098,65378.80026120973,9098707.22367495,8260.953582145181,9746.126735392103,16843.18479373713
SAT-106,9453.51846978241,4965.1573439373815,22582.34364146374,1448.7566999141814,568.2523671175892,11344.349513385021,1411.4615784428572,7887.76639825129,1586.4589238811232,1264.6281810482787,3381.622685930481
SAT-107,259972.8158502546,2770132.1634665336,55751.96533188249,145366.00936942955,375801.0028876924,31012.014830945645,44779.60962770126,1070624.309655565,84931.98902321603,89890.27256716309,147537.45762533264
SAT-108,58788.51475210642,68513.56320604817,20728.41625588573,16312.864373748698,11681.10266109448,13765.27541052114,11201.277198545991,115713.27483241764,48583.908740351086,46273.60020131649,130480.02017442671
SAT-109,218437.11380644146,233599.57433632523,50728.15754242879,28653.059317540494,34424.42870251208,34862.244606895845,45528.84288785473,205867.16013100764,23309.625227712004,25888.62944030802,51641.87646362132
SAT-110,14097.346544669499,69507.14970263319,2822.2927400390927,1239.6126667378953,11743.162470823341,2027.13832239034,2010.322153584517,10499.423420923684,4640.999217570006,6036.619718428261,9872.519593217396
SAT-111,157251.59351922793,57816.655771288075,189942.71638246372,12625.791994974294,9731.721546835348,130593.71872786604,30822.849751130834,80506.68235880039,60569.89221478488,56245.12028253672,125131.5186562659
SAT-112,151162.93227387316,97631.13993487538,10634.296776548272,11373.24787839811,14326.753046808708,5891.706024872576,33319.88486013465,69027.97981945473,15188.94871166956,12682.734368165564,29394.193332669827
SAT-113,71706367.18410909,128045.18452853654,45061.27937963173,46420.629458483214,23788.064288955597,29651.780139483115,15179474.100815445,294161.4327189603,20047.28733094756,19629.42194740088,69280.42171569697
SAT-114,9408177.752044665,43007.37708679516,97061.71349916422,176195.0236260564,6206.64207698453,59852.894195177745,1843903.4099224205,1259613.994089896,1178759.6648188238,1207469.9966805796,2096128.796366425
SAT-115,1199925.7518771475,1325603.707841148,109708.68599754578,248426.03612449352,216251.95924813466,73070.37264020972,250053.36242258037,1631619.1899186294,78946.46987749657,77275.7556628765,171802.90579542945
SAT-116,201030.13454010274,728256.2309834016,5661.40469039146,14986.962180786644,91392.46921426685,4459.862738467106,41163.04850546388,94341.26172754007,905658.5013871286,925231.3139052504,1523792.7499695302
SAT-117,1437.626575278515,1593.764381097968,2878.5298564239192,2270.4065502910566,405.47965731049845,2289.3715904206188,282.9130416951367,8054.346764981325,29.27287402452617,69.20894801974956,208.8892524593798
SAT-12,4818.504317748856,142065.57252840904,5536.440807272824,3842.5859894571463,43366.04841941819,3221.9077970954663,919.5003113904564,22104.92828225345,36453.94475826719,40417.411709925545,72522.38657260462
SAT-121,36372.70102331171,207998.0411337789,6305.8721230918845,10504.860252067581,28804.533552217486,3079.593361614162,7339.425431855247,82955.93993358676,935.1636732989555,891.126906409946,1561.5478330901417
SAT-122,7085929.588677686,2819304.838412694,36385.96651135078,1511557.6024537464,414221.2591811977,20908.193069843273,1419575.664189206,10729541.131826354,20787.78641331889,22314.575846272128,35663.96774092883
SAT-126,81486.34100068797,309513.28317473875,2290.112361524005,195366.34415332004,43677.16547973869,1796.5599905412575,15529.400221974976,1335166.9125892157,151756.61588912416,147773.82232013435,286358.095706387
SAT-127,974.7454983532518,7654.589947302211,401.4954630138971,521.0410861059371,2985.804233837138,114.90013550135488,158.02593387965337,2723.835303440904,31545.36784121333,32500.073671441718,80226.07132966323
SAT-128,24473.6599952379,55046.10123962565,5406.920455201109,3152.3128435990566,11042.91631134935,3901.7758332784038,4187.2653018246465,21344.65246391766,54279.749554169226,66758.73588670765,133659.5076549586
SAT-1289,8365524.439118289,5712877.402546996,26790.908933256804,2063166.3809261976,763410.4871917495,14288.360428113754,1580434.758879936,15390482.512379782,8914.706234368938,9206.279780384342,17603.381880164987
SAT-129,10204.42554721788,17266.783463556483,59036.12600890466,1310.817341130969,2707.8377327906787,30850.4910653193,1825.3197241808039,10385.203825565895,3612.483536661628,3093.7829509113794,7212.776843484899
SAT-13,1205617.1934148893,20181.026696286903,270.0216467362175,49377.69149400837,2741.8306923473147,165.49869146470712,222865.83975512258,377311.63852355257,6244.41788135491,7293.435797245686,11646.510795373206
SAT-130,3979.21850227085,4871.361101566353,5514.846946438462,867.4703681086966,781.5756165200005,3700.2938577369723,704.5894118045695,10448.040579034878,379.27316622446483,396.0459793652268,678.1279658909613
SAT-1308,2594020.955472292,428882.5842558976,11975.391243867685,674622.7012532009,66746.27391169763,9842.320011718619,532270.8159793649,4523493.43064107,91480.99787179015,92058.56441922105,191532.6770438501
SAT-1309,35465.46352090212,65557.14438182933,10227.225170963908,11699.165931663425,11396.659447366606,5982.537570783117,6924.24950124332,74124.24865384758,4924.0104159187085,6687.736921923903,14646.849623037966
SAT-131,490.5048692726398,831.1373681109617,328.936265737993,198.98053019093092,307.20377494775744,435.7164139742425,46.55844706585039,850.9084873908556,4047.3849277761055,3860.9712989510003,7690.403877450286
SAT-132,1554911.182529087,22737885.481841885,10014.58107760139,2364074.9588627424,3576722.077393656,6659.5091157765955,320291.002718139,15829413.34860224,1453.3558502681342,1439.9002479635303,2771.6672709349796
SAT-1329,416995.7765225257,10132144.933975706,36847.70193240987,115601.2489961574,1629728.5374728495,19476.442191147824,85256.97307061657,759378.7482371748,14350.00976968259,16154.593988198529,29434.990211251454
SAT-133,2365368.76858641,10482373.9324437,1790.2606674252906,501934.3368974548,1581678.7975977836,1016.7207359129683,459294.7694788039,3714080.0631240336,5860.8362484245,6087.792292420858,10191.37770167875
SAT-1331,162.0702897913257,3549.582422757365,390.0220986748526,221.2767992954417,1228.6195300065401,387.40865044076895,33.62761020881668,857.944151782354,80271.66612367082,84335.0834461828,151829.9146958411
SAT-1339,166.55353544184223,154.60144986236563,146.01467321575757,17.259574468085095,41.20291444587958,84.4227053845031,0.0,145.16041199708502,485.3794120809368,500.93442073807273,1563.102031965755
SAT-134,3473.251210198352,4476.580993586449,2061.2756418931413,248.59817736950617,583.6987280751742,1135.5613851829821,559.2416279032815,3215.48890519928,1133.5823625010185,994.4605616764109,1943.8474058812467
SAT-1340,39513.79083826883,31429.76796124252,6192.202319085214,1933.7690991497832,4793.039293514465,2548.00155082016,6444.947338091809,16035.362723029039,731493.5607017614,749611.3327174574,1252631.4355796676
SAT-1342,418401.43706335576,3376099.7089299704,90389.89703840861,156291.8423235581,510054.04777438246,44890.04591921027,66556.08144922242,1049011.8493619238,2899.7149273079385,3704.181638338188,87663.84569198187
SAT-1344,9789.20393613738,25515.026091765565,8690.402352046965,3672.1746723446267,6502.8324998187345,4985.46944539674,1373.6187068866273,21600.642649451005,51636.16284490815,54951.56583185229,125255.8512577127
SAT-1346,225076.58875958092,3475498.9380286327,4215.989051669817,108683.28714870993,507103.84138143266,1834.8926965625992,41521.507217633625,792916.467358685,33661.33516293804,34596.94248571284,60270.584529015076
SAT-135,8237.77240422301,48670.6911132738,9529.038116035063,874.6583756042587,6784.677382251332,5210.362513957979,1141.023276650691,7644.7760820738595,9335.054921590357,9948.827290710165,19176.788630610925
SAT-1358,95559.14627885213,941990.0675305236,2035.4835147589838,15030.27924477926,140896.4229868004,956.7517879881168,17396.362250053775,118522.49201719182,326858.61531468306,329420.2010201696,574957.8523839164
SAT-1359,1547.4350053421272,6441.675869854678,315.63212012100496,306.77386694912707,2720.453426255167,96.42362778730701,446.24713417153504,2069.243609290722,14642.355140670656,13126.20319056091,27691.733098951914
SAT-1366,19029.84160435742,47175.36070225264,14263.34876571385,2406.28475764262,11219.134391015983,10552.247619372418,3401.748396033829,20707.708811714507,52377.20622421821,53351.97032397162,94200.88330794298
SAT-1367,7403.617948561886,335748.8409788541,4855.605591639557,21209.775817772275,49410.46888825018,3688.255245035138,1026.8405012030282,127484.78440721896,550020.2700301888,547786.059219134,956621.8742189632
SAT-1369,426.35028210125455,30267.417605962357,231.60814364680712,118.92838472137507,6980.8812593687,11.319825188716665,15.980929678188257,483.6532479816267,4150.162248076284,5290.839146865064,8812.075813715599
SAT-137,3628.074988144327,4230.028522993511,520.3662847803719,479.1042414284293,1344.162914351257,724.236118793981,508.9245892035165,2890.100476926234,4294.545778196903,4375.831083283811,7139.1239860585765
SAT-138,996.0178532943244,468.5890585651622,260.6049644156484,178.96170111665472,232.56196578004776,275.84249020839746,59.53967958271231,1329.2556440172202,239.7664359361711,309.983484669057,914.3840013716124
SAT-1388,25257.656154634893,43643.89344241733,14130.773904739053,1243.4968910242094,10505.719347977607,7911.577248805888,3351.9196855443915,8525.40659829718,25746.949839407338,26776.08015401248,45693.87307843324
SAT-139,2418.315203519506,4306.128138266802,547.3659293121036,128.74109906266295,789.0550417502778,401.76874395352235,304.22657210704574,1771.4225208465966,786.5972573669305,653.0521216122725,2326.2841179510733
SAT-1391,762.4570043186266,1211.216819110016,6978.952285414882,408.1096852007558,340.872328885653,3913.80894446151,104.8052854649713,1772.6985440302121,1451.8570746865648,1234.0643638874515,3951.1467803253695
SAT-14,81670.72497944487,246029.66562519033,18983.486752905148,54316.85487717982,41395.61403164305,8501.532053004692,20254.441870441042,299396.4934502803,13470.034671367728,12767.157624280613,45896.654998355305
SAT-140,3613.0445325751684,670.7240953784354,457.99054788912696,301.3189444303599,163.1185030909279,807.0458541029561,656.4237264967949,1880.7167753238255,143.40873580694765,86.803534071588,275.8280718402928
SAT-1401,68660.80373737069,8154.640670279693,1370.7074538455263,3346.3659056626307,1469.1922098771113,706.603546401177,13926.257989410875,24558.174168352707,1627.6084755146846,1188.1336814502345,2706.752223480494
SAT-1403,1232342.4262629128,1422864.6784067892,21530.22703356562,706937.4939709299,180305.5586148983,9230.615980878127,226454.65124297177,5213698.003533163,45050.020581438184,43965.442942740614,75240.27426572143
SAT-141,38948.31080198791,3613.823366218829,7225.946732604972,1445.6266177252164,722.1409749065291,5493.7553114250995,7497.048368989579,8799.937616509518,3289.602837628144,2492.4219832995886,5209.265631222391
SAT-1415,6187.734259558667,77972.67917631191,1199.531267559138,3281.735793886766,11684.373466042947,670.6978136057616,1076.9130920894065,23318.576724020168,2780064.2516580606,2806614.4547212403,5727518.416633913
SAT-142,13991.360802829107,6838.6640568250705,227.79677415938195,1102.1773882361485,1302.7145615705192,147.3411088632659,2832.035984216698,5141.345424521191,3655.0754931634797,3502.1292077911817,6833.012219994208
SAT-1431,146160.40191189258,79737.09895883041,34273.92396964268,41108.13953501466,14077.236852954818,20421.50917325567,26998.2745422527,222970.97926302446,559563.5995141823,561104.4553679768,989243.0195615451
SAT-1434,516.634386353806,1001.3908928041141,429.2541367307485,246.22781612930885,201.7650703679477,327.2181858322848,76.72055434972606,526.8330500018477,3963.8485967746137,3721.3067786863976,7483.0874856702485
SAT-1446,18966.307663293723,17167.98570896481,1675.700727049204,2784.577337587342,2614.928635614922,1124.2423761110142,4032.288497343314,17684.38454106629,3590.167932922729,2977.6141707422516,6753.23002987463
SAT-1448,75.94129043585957,102.1568237281669,33.38135593220339,14.307964601769896,152.2093364930143,65.11337412343194,0.0,85.44486948661552,1475.877882063426,2370.37693838892,2722.015486167427
SAT-1449,484.33720415630495,1582.233680401647,410.1468235476558,54.95617676985786,448.38817916604586,253.80340877520769,43.31979863748719,466.9207917364539,1263.9432150319708,1685.6323319584365,2622.587704950084
SAT-145,32754.637519923897,106022.21487772622,33164.94817765469,2593.051714818286,18648.676634617757,20911.99789366513,6456.675835741003,21400.074603277095,4516.753337553441,3297.368061765269,7303.670248474047
SAT-1450,40057.600447991186,8704.828882758362,1050.9348804141791,786.2300467739881,1940.4134123935673,347.8775564705999,6655.215095370705,6179.7667251776365,24097.789647619535,25496.903414704135,48546.422779930996
SAT-1451,70060.2263550908,78207.92156879198,14324.152736281429,6826.078601180981,12150.495268153123,10242.65810783452,14238.20812435432,52748.2518432409,21909.980687465075,24668.771127543332,45389.31268973458
SAT-1462,177956.31824315558,29987.517833142352,806997.291293701,7445.967276282519,3703.047627932306,495904.97678291606,33032.90897498331,57557.163386131964,1815306.6971139938,1829477.6797815796,3267461.7992281653
SAT-1475,172030.44793161002,716714.4075453561,185.39041055000084,106272.22802600874,108417.11631391804,67.1885304659498,34975.87715130964,791459.011047087,1377007.38821898,1438995.0823602842,2900699.469114542
SAT-149,4726.809327507482,1941.4535632479037,657308.1254081451,435.44171170518393,386.7343099636555,410316.80513606063,370.84151778754625,2886.535766631477,1059.6148356933527,835.3250565842595,1562.9578617920638
SAT-15,3876.835186141635,16252.960811903884,4804.67246371333,1301.0624995241951,5606.165573930074,4480.289970432616,954.1827451981774,8858.099118560176,6199.435551507926,6522.314499342577,11944.985051342364
SAT-150,505.0157282191057,749.0485381531308,228.4972571224921,73.05337872939447,141.83735689932672,182.253064972135,174.12199312714773,731.2580849682432,1013.8924992373857,703.0299384583079,2492.3337251696116
SAT-1507,107070.66146891064,2247867.3282461655,15738.142092933775,54547.77377560023,352793.7199147158,10322.287075109602,23326.218848119483,379192.8112289104,3238339.0911576655,3331381.806271577,6454328.621186898
SAT-1508,378342.81714789075,79539.15454111157,3893.896154973321,3701.167095243293,12597.678968632976,1463.248699614278,64927.56423905019,31831.960168871432,465367.10851225693,486418.33732702455,835906.5151535221
SAT-1509,9394.4210260393,29320.140094425817,42107311.70718922,1109.6089202105964,3923.874806911275,25719090.05741323,1447.6402506733164,7462.302410055456,18131.44447715155,18239.13437518782,34680.07500807682
SAT-1510,176663.15242481232,813750.9396538988,26870.282979637694,6200.951651321624,124996.81161875835,17411.074601754168,32583.928153266188,51320.913680596306,272235.75665166904,283889.09081216983,525962.494933279
SAT-1517,179.12368948555343,389.61970760101735,2554.198117216042,193.16908547917512,53.8514146049831,2020.6547311338763,27.93427230046948,905.6250980590563,815.4810711242047,369.74737440380744,1620.004172130974
SAT-152,12490.109613348533,34148.81484253945,33547.235833663704,4719.963052710005,5411.011216425186,17229.28442249252,1649.926156643628,35697.74122396295,736812.0179372241,745269.4975083941,1318865.7078505785
SAT-154,136.10820274074445,103.4049570139209,0.0,0.0,94.91122962625303,0.0,0.0,0.0,2543.724521738768,2954.8879920602503,3021.9721426928804
SAT-155,257634.86173305148,91280.19354452674,30761.76803587519,49988.3246517728,16558.157271497916,11089.40898771599,46356.75013196048,308412.46293409215,10405.496703940662,10973.300646678574,44063.007992729996
SAT-1553,48411.95203219643,76062.36478120885,11467.18182224702,3784.979236213655,10577.359062188354,5978.90402603783,9684.569872875229,25764.563926831463,275449.42595683987,273854.22005084524,459250.94700556056
SAT-1568,245200.7690640977,516092.0336058605,6914.071699258961,83613.73130380947,80203.78027916346,3637.553808005844,51175.87917603616,617736.8393675191,5066.260144401448,3879.1079195495,14063.495689816056
SAT-157,78839.9594066729,73862.4378502005,57437.0499047442,26456.658934859977,20251.323478991733,34464.54406521722,15857.450876704177,150244.16542259167,42622.31328227101,42991.246224049246,133128.44798070536
SAT-1582,6167480.52830506,622581.44278558,221.82784488543763,117108.45400573581,89180.95971296805,260.6486137113229,1229808.2723504878,820892.2298518877,130907.07333938476,134339.73260302359,220148.18152987177
SAT-1585,133872.7598107831,4680190.501928957,14579.390539558899,12997.194049861355,706013.805603745,8790.830525463356,25194.153020878435,90148.08867048594,1694719.3747913153,1729504.5262530325,3194992.656473776
SAT-159,12964.794685580277,2636.1711769697367,195.01207908542702,169.3270399304796,645.0034794312139,46.91809523809523,2290.931516639738,536.4453722038937,140859.76375612046,135157.09630016235,256536.59802971556
SAT-1607,90228.81965791139,2748733.1953153145,568.2866230484341,133244.0055239631,382777.7008358081,341.02697485055876,16868.54580541386,1012512.9689225319,1028505.9163175164,1056341.9701273846,1825742.5242388076
SAT-1608,12925.50433837411,87539.54402703058,794.3547137593721,1494.961256680704,15921.259188340438,168.3318020704596,2355.696219595026,14522.721924564034,3705287.026574399,3738005.3913673377,6708674.238113022
SAT-1609,9027.484627632886,262015.48356931168,1341.6379701685084,42690.09384219608,39724.17503638672,457.79660192723395,1590.677970435296,325671.39486824314,7353.701557772379,6918.613885363153,13375.666424528275
SAT-161,250978.98983474297,296173.73927329876,72.24044810870637,2134.106611278086,41554.285091253194,35.3203026481715,45586.57442794222,16973.410323854976,98027.16690262429,99166.48041781048,168168.83234123336
SAT-1610,20688.952296624135,20105.038240222806,582.779769654553,1115.027188498141,3439.06959781112,322.701991203905,3271.6160003799305,8412.773552333214,4571.602763926677,4966.393846276206,11090.653382738368
SAT-1611,30465.993365989052,1917626.0945849728,346316.8679830115,216505.9129939095,340176.3988254663,224447.53547630052,7554.581306971572,1486870.522108839,1139.7573761834196,653.600601032098,2019.051412022995
SAT-1613,78219.59485374324,91040.75918302732,17305.758540646864,20004.818049075948,15775.487528036847,6366.3848260961295,12537.941075662517,97723.77489895334,548587.807233042,540030.5819371177,1010745.6319456752
SAT-1614,443318.4481094949,2392656.0805624416,307.1909338489854,61938.21050294588,381708.5881079582,181.73542303866552,87746.1620267118,444877.62082209386,1400335.8357328149,1426045.8708202983,2758487.090603492
SAT-162,1183.5155536899802,1352.84772237656,432.99153603505977,498.89078276707033,440.3024408095805,283.54593175853023,214.75424684993445,2571.2641708470924,8817.547707535396,7660.897037020971,20460.443566768052
