bin,ERR598948,ERR598957,ERR598962,ERR599007,ERR599014,ERR599042,ERR599079,ERR599168
SP-1,18642973.996259306,510587.1766392762,1531.0809265907828,8901.515928958663,65072.05603957068,18701.355584119086,37577.67017149919,2668.3469248499223
SP-10,3078.97794294259,78695.13136869481,312.4226150537913,1429.3136626194823,2838984.158570318,603.3202951750053,1043.9827349680472,777.9974783104303
SP-101,53699.04218504785,354897.41468148056,7936.361959435436,48993.729902048784,93311.78592592377,16807.31318553987,42267.71796360025,29495.271288725588
SP-102,577231.622751297,68213.34481651585,136930.8221717656,772195.7685704008,15275.23467347053,2244.25433407654,3973.2274159238273,415212.95580012596
SP-104,17512.274313540533,98415.39939940415,86958.32475186187,495607.71090693853,3145370.608227352,25035.389415139387,53567.89488967813,233082.2640049932
SP-105,682210.8165876428,54484.95610410196,916.9824486163342,5573.159287114909,392.7265021274196,29105.694533530666,65726.90766943403,1947.232902874833
SP-107,429862.85921853327,751610.6216520955,25279.27488389539,164897.45160840589,312540.8786789474,163924.44180007765,371723.8751574211,91786.94358120287
SP-108,123403.10868290855,1156732.8283531964,12000.845934811034,76505.37525480866,1953858.248121687,54421.908596016496,130009.41577480202,42267.86008809109
SP-109,1494.8557972524995,18373.157184808482,896.9986153146945,6072.69040232671,14274.492008507124,1271.7879292036773,3445.242868391694,2769.4414187102134
SP-11,9778.72053119777,42673.01608928437,14184.547941197237,76649.9117892223,543834.82386191,12541.642902583186,31960.38085425227,36068.898032691075
SP-110,2543887.782601338,33952.53887135262,697.0061397413199,3292.34596203693,4636.166848078978,6172.234680876412,15416.874411595987,956.7070042885466
SP-112,4456503.120398184,1974057.3724478777,202.76708147027807,1032.2254629998001,5046.655235324502,86072.26387785005,170195.84004973597,351.25838440477975
SP-113,6494.298967719377,7933.657504328049,33.59066967644842,438.2045627696389,1067.346821862955,10747.800076844671,20868.651976337547,207.84076410550713
SP-114,996058.2121673761,110213.34883863859,246032.35164259965,1336518.8578605251,566238.7610471938,22113.466220254973,50129.96991685896,536950.8117865971
SP-115,285671.8373770961,263464.4569746708,9748.910011612877,48217.81774629399,467418.49910983007,206301.00129681057,449939.4570385347,17391.14763370678
SP-118,65951.77250808981,62752.591003466485,286293.46224905824,1460366.9158601833,1296737.5017446782,21337.64066200239,42619.47354907774,336011.706824972
SP-119,7788.56884213309,38084.40421395396,74986.38131040591,417705.31247007375,991633.7127481853,95210.32675587143,202285.14676339028,201994.91999288223
SP-12,50811.12867146597,58918.542279327026,1685.5929492233145,12977.314477918717,17692.717187641952,14032.725122679034,32008.44377330573,7013.242123611502
SP-121,15177.14936068241,21717.942902897605,176040.27316843308,859722.7144992519,840342.8054039908,13535.205881739541,30346.481934311345,187914.50940098538
SP-123,84702.87376028205,92026.73512842128,14261.680344655228,82920.61456647504,131429.52366503392,18418.794399447364,40952.08222040373,24862.39054698213
SP-124,191942.7510880573,126970.5842913493,401.66601056536854,1756.4321283587499,3134.4208933232567,620.4786694452087,1578.930587907571,584.5956362644703
SP-125,18773.52628808096,19837.727743141513,38586.13066432974,201834.04554030704,144314.30830620552,1874.7483796892259,2750.2428778949966,58008.045766573116
SP-126,179323.02925661387,325574.04825347144,2224.8363785725496,12484.192727457474,26638.36315588833,7905.43364061263,17276.357688197113,4012.79171799928
