bin,ERR598999,ERR599020,ERR599033,ERR599055,ERR599071,ERR599072,ERR599083,ERR599085,ERR599096,ERR599128,ERR599132
SP-1,1297032.6874547764,282073.87546321057,1291911.6938834742,80139.6294318067,495116.39205566957,3063892.9891800275,1347574.2313105878,100906.33421314,1270688.1426710102,153893.04742764443,427112.28422258433
SP-10,5595.317470562542,23389.105706736493,5831.478781116005,422.97003363944725,5176.093313796802,81071.14944466863,6010.685508059333,1697.7272609496833,5921.10563893137,341.87412857258363,1616.6042320143138
SP-101,8215.345558502984,40032.14118750174,7303.9824464270105,989.6015095779932,35131.96931676842,12478.761537135213,7075.834937610907,6000.7807571153035,7733.154090840516,1850.6550099830113,4709.759965493037
SP-102,188625.60475519978,9256.221911368088,195527.5914763986,524.1760821797802,1210.8896010649387,3795.3573280230057,192504.5672163971,165.2959182545137,192511.3592734829,1626.4734595956886,3402.251079089406
SP-104,145266.72848776713,497701.6179312269,152586.22819868568,284432.9948393607,173525.89921316798,304147.1646084227,157929.0658287982,34179.57848040143,148962.32491990828,551676.5759308861,1499669.5565005895
SP-105,1320022.8445172706,2210.5478018680637,1309955.6414581276,669.9833987750299,5963.316038274318,45875.32708319384,1366315.3813417775,1247.1831312777665,1314962.1058451142,982.5191926632535,3414.6849090004885
SP-107,251658.99673338095,72553.97959225059,256964.44667187202,169.55731424148598,1796.9409648624944,15651.558028600079,255124.53030607596,414.4726951774749,249638.62693545618,439.7623988662029,1351.0750989036458
SP-108,226339.26512780314,532819.6716665752,235653.6610952296,4491.226655923897,16513.368146317334,16685.62844794053,239652.88405785707,2461.676562428996,224903.27360797717,11688.075743677193,34208.413772597145
SP-109,15235.575173548328,4792.554345974166,16222.256919048712,0.0,773.1652270175554,464.83302228709783,15874.262929947796,36.96390234070144,14337.655475556114,16.301266068414535,453.72224397447565
SP-11,6625.970749834113,75284.25657969294,5751.738273308062,4149.6319264819585,630838.4975105644,153685.96466368277,5880.936100397936,120633.80627662102,7567.025275990477,9820.654577082032,23002.00569542552
SP-110,46299.14976109476,3951.078534809789,47780.53144594141,530.1289705925035,6565.265241679184,13885.469622748531,46754.78148828764,997.5154039972953,44093.35468357313,1149.9941974059193,3446.4634600053487
SP-112,3164841.244346491,247404.6015616105,3140224.407793078,103797.42615850506,1504652.8778493376,9885759.096377574,3173122.36360064,325752.7172401801,3081610.9536986174,188117.11894016498,520590.5169722292
SP-113,485377.5785252581,11963.090210635988,494523.2044265816,1330.0649162803493,121855.26789934146,88496.3594608169,510410.3386118791,26283.71940799097,487478.95349727233,3262.14194270072,8252.63677300098
SP-114,696934.2271446139,541390.368438774,703349.7281651346,6391.74024542345,8139.864278956545,9942.68637631676,724358.7707359004,1559.772899468742,703973.3622221268,12036.432067331933,33648.94194312695
SP-115,13029.439712830292,109319.9092765967,12572.438746330608,605.5773603090439,6124.374510388911,12708.587479018064,12597.608500161894,525.7634118400885,11873.673185252926,1751.8812769083095,1661.2111568834691
SP-118,92677.63535742724,196943.98619818085,87054.81966269694,44854.58180183827,470614.9775554716,489549.7111330256,91557.85460493775,99721.90277310256,91088.22155489358,92688.14259762755,234876.78445013415
SP-119,72021.88976817588,496144.28274400707,72790.67198899275,149382.79048081767,273184.7171558814,133993.13929371,76299.98624905052,55202.19780791606,71983.34033778243,302400.0858642724,808755.6517399687
SP-12,42800.919974865035,108328.41567936979,45583.48561749967,27216.667394811913,170147.61703238063,120187.20678647353,44899.34501413804,31797.500452781074,40395.692462814,52142.10391443481,146524.97421482232
SP-121,6733.9517804172465,20995.33745902362,5815.760717757359,3372.876780423958,47310.91617019224,23327.08616602988,7301.932728219854,9118.573623414688,7478.227657665919,5988.248174314131,14552.72808584435
SP-123,64061.75015004142,78265.01530122382,66747.86940047455,6167.149140850563,71329.78838976094,112607.17459743224,71149.04993176821,11761.07067312473,63344.58405713041,14751.010415303752,37709.05185478064
SP-124,16860.82847111122,7199.325362502244,19893.503910109375,1643.7467060997644,8070.204188995764,25634.713047182493,17997.025588878107,1195.058173849149,17062.848698194637,2262.6855832709753,6727.464024493877
SP-125,200058.0787610983,26982.344114614738,192361.53374124336,2714.891218681921,58825.01056629852,101262.00258586493,202676.3266783501,10675.991215834163,193043.44290950656,5958.844575288426,18046.673511645913
SP-126,509407.7724173301,124947.75700549531,498445.3776456902,12175.22027695783,136238.39848811642,821468.4496713934,517185.6929262602,27642.455530119572,507684.0708933953,24481.188984394852,64529.894763526274
