bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158,ERR598949,ERR598972,ERR598974,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599028,ERR599082,ERR599110,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-1,0.0,0.10043995469112625,0.014274185981624351,0.0010065881523449339,0.014916564656215218,0.017786595767483652,0.0,0.0,0.015727655447360822,0.025742908673189607,0.0019345474948556259,0.0026816976929519526,0.0,0.004903055198751541,0.0,0.01593444564058623,0.022844031666855218,0.010148889761203744,0.004560479155142642,0.0007616402481181917,0.0004855312356099266,0.019301758809605177,0.009573177612251745,0.024354243607348697,0.026013779741835,0.01067755141451681,0.025133070051367095,0.02026652442411257,0.006768350207253402,0.02726173549699195,0.015416438760576133,0.0027438936833233275,0.0024812142694173593,0.007925449611851326,0.0,0.0,0.0032932512186223117,0.023601908482938888,0.0,0.010248877852689837,0.02112433168342707
IN-1077,0.0020533018289385974,0.005513500045051352,0.006448846855892992,0.003995745326883113,0.00497245771588704,0.006131572421254389,0.0054315734383194305,0.005414524615659231,0.00570435523562437,0.00578890641822223,0.005144652611741411,0.004677165152787565,0.00615763204654192,0.005648356642723465,0.005922219658905248,0.004916618785293135,0.00415725667567028,0.005276673598465159,0.005564188089618636,0.006110955158851828,0.0061141066422378135,0.006853712159041617,0.0,0.0,0.017997226763167944,0.010685893060461384,0.0,0.0031955291750863546,0.0050579093609012145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-11,0.0003164322602819987,0.0008817183426060343,0.002619514328479007,0.00034711089714249596,0.0,0.00034914425810693997,0.00041562902332726236,0.0017903204431107596,0.0009979122292195469,0.00024345836169322862,0.00011124027198244312,0.0015030876597267745,0.0,0.006759171890784942,0.008654379760385371,0.0038871236295870497,0.0031452907103501405,0.0012959368406955264,0.0003790365062812771,0.0004425631703559108,0.008786026173287437,0.014633359983742059,0.01038522947520677,0.01796937569188171,0.012997523113369037,0.013061061135145078,0.005203128585116294,0.013042698935262408,0.012119795307461791,0.008247650699439368,0.029735916451648116,0.029884869712405667,0.02816642781197251,0.029545499779556086,0.028340891011178683,0.028707317521263126,0.030157864137061414,0.02936340543952,0.026824380997493992,0.02843444347870845,0.028112164047124334
IN-12,0.011687299635656716,0.0,0.0,0.008581329744339394,0.0,0.0,0.018487268646139105,0.0,0.0017574621626091332,0.0,0.0,0.008570507809392317,0.01829718525195561,0.013419683771936594,0.020694894351003242,0.012609142477261182,0.00485122889657912,0.004925397312489796,0.0,0.006439817992201741,0.015452608387710101,0.01695736091731849,0.018995402805785714,0.0,0.01905879252406161,0.0,0.0,0.012040271513826568,0.020179883395964857,0.0029941949990745435,0.019241484999110586,0.016483292616713642,0.01891680455238104,0.019611427841310543,0.01912878020562099,0.019587629153253024,0.01887137013374677,0.020042972331078285,0.019616605310543246,0.013854820950450984,0.018312381714396753
IN-1213,0.008371377093028858,0.011099973757128269,0.014278862486504559,0.01448523805832403,0.015713918402171647,0.014650232479732798,0.01077185685525313,0.01483275940199428,0.013041000659467923,0.011925500712381415,0.007646157592687741,0.013410229925066738,0.006238976401893894,0.012562050159622754,0.006679906106366642,0.01389514656724654,0.010968735589654248,0.015156903321228547,0.009026735618991238,0.007950187886296884,0.013732897577494232,0.01680905059944053,0.0,0.0,0.0,0.0,0.0,0.014224085100725254,0.0,0.004594308524423741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-13,0.04623961039283787,0.037844158620866486,0.029958684268193023,0.06624335377506611,0.013707733534472608,0.05022970723708932,0.010396949371807986,0.021080161023543906,0.026928838574469992,0.0568507120309305,0.04757509061286708,0.030644210810895852,0.0,0.03711033105369013,0.06707969698074967,0.035393149995552514,0.03431920780293754,0.06124184209420705,0.027519358847232663,0.043199204955859244,0.031554553542337084,0.04399980702656453,0.029733034401112843,0.08645077524411983,0.03041863860678153,0.04318183476612571,0.043933743489149,0.039228823040644546,0.03748266242022123,0.04190261803826739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010793418138306036
IN-1311,0.006542484200196299,0.013255124967636821,0.00984087629920808,0.016208020667046904,0.013712769031910432,0.011116814363086994,0.008109936364823876,0.01173020503619666,0.013427115700751571,0.010071292317128482,0.01335207372943217,0.009398866981169408,0.012025722373878651,0.011655536926409199,0.012590732759138162,0.010790944181960424,0.01029873819078951,0.0159202628584122,0.009603720178519763,0.01484512145008804,0.012563587290440529,0.00041957409737782204,0.0017308481039856184,0.0,0.0,0.0,0.021135190369934397,0.015063752495535926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014257771515526391,0.013503937069394761,0.0333717748176464,0.0
IN-14,0.0039407747991037426,0.0,0.003499274690575366,0.0036562727892813546,0.0011864971588149032,0.003116805143341863,0.004108821720742864,0.0014107905881598805,0.00082896284899725,0.003984846228768697,0.002236189696430792,0.003345820023368322,0.0032875968069258073,0.004767865547197043,0.0007966409536401155,0.000367609257759935,0.0012375450840084571,0.0057594352951161375,0.0033841171882571758,0.0018583086902825622,0.0013581885721448922,0.0006767373791911722,0.0,0.0,0.0,0.0,0.007427498322742176,0.0007650156568645372,0.0,0.001113902069849283,0.01578166188597258,0.021435680813686825,0.0,0.009856671160467297,0.008440366599436236,0.0,0.0,0.0,0.0,0.0,0.0
IN-15,0.004379658591838673,0.0006728098341220488,0.009449572357200996,0.0218882491163075,0.0011208766158551553,0.016128444664407302,0.013550720212242722,0.016309271466952244,0.017619283413358017,0.009400475485267802,0.01400955933871093,0.014297063781665486,0.003719532680626294,0.023911101263844808,0.03798102075095201,0.020052757728969625,0.012617698444780313,0.01770499303986675,0.01358218071410259,0.019303808952324815,0.01961559313493328,0.021699384497365026,0.022829387816764208,0.0038653917924002103,0.018251609210135977,0.017306771948142355,0.00941239136536874,0.021348284477098977,0.017867701705900612,0.017914648845135113,0.016989222938698992,0.00868321455555681,0.015363343537660399,0.014971876838390036,0.014944297620629259,0.006442763100701483,0.022409150718314137,0.0074758780384313285,0.0,0.01592964136927271,0.024012264531299673
IN-16,0.000142306824233198,0.0,0.0028660407968431776,0.0005882227283166118,0.0,5.401963268841786e-05,2.972495891485018e-05,0.002577950346693986,0.003467249457793678,0.0,0.0,0.0041323548978994306,0.0001464492639712583,0.0020644667607683364,0.0007461887910526226,0.005021391972910272,0.00491430007080574,0.0,3.4763837336956715e-05,0.00022421325458968458,0.0016419676517251483,0.001771277945426582,0.0013457036126552659,0.007328168027259049,0.0005002565567585528,0.009668036588749816,0.008640123963356275,0.003913499720524418,0.001892771184580831,0.004658358448966162,0.014534529600081485,0.010115042127126193,0.008572028221069498,0.007238050646022897,0.011345772889069641,0.01690140130596912,0.02144080195497628,0.010010622653319015,0.002682129575965191,0.020640088141695684,0.014506483671458178
