bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-1,0.0024646493810980296,0.0026807425417193003,0.0,0.0,0.0014151488927051342,0.0007261225250898632,0.0030870880747957802,0.0,0.0,0.0,0.0027410311543271506,0.0,0.0016203759908765963,0.0010629656426126982,0.017234455168220603,0.001115987267913946,0.0,0.001683612640007568,0.0002720419055005598,0.0,0.002277686981985633,0.0026559460258460473,0.002426295208173486,0.0027744459897995947,0.0027627185327857027,0.0
CPC-11,0.005850711118088023,0.006985705456052813,0.005815045033057813,0.006106198171264785,0.0,0.0020731505775992863,0.005378602887470811,0.004326741554036225,0.004779221599436791,0.005336285328419389,0.0066793698941452,0.0034750497137168803,0.003358087280911435,0.0023282335148907133,0.005358890817902749,0.0020547543611674464,0.004963627907488926,0.0047090166084881955,0.001675141271286566,0.00576813424201096,0.005548778757030742,0.003018037376028389,0.005740488787764848,0.0024432141415631097,0.00295766039139272,0.005356002054506632
CPC-12,0.0,0.00028353133541324823,0.0021676594248186258,0.002115341599955638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003112454008954304,0.0,0.005709692277798261,0.003286438464730457,0.0009062805995195801,0.0,0.0,0.0,0.002595581736896052,0.0007492785452861783,0.0,0.0035336802290690016,0.0,0.0,0.003130851827174294
CPC-1232,0.0001837578517552272,0.00033826394032357887,0.0,0.0,0.001669986263064232,0.0033985922688366953,0.0,0.0,0.002730183896585411,0.00012061854020986438,0.0,0.0,0.0,0.0,0.002226756522074506,0.0016450317275446154,0.009399574043912586,0.0034535261658574256,0.0020407536177602537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009636027067095859,0.0,0.0,0.0,0.0,0.0,0.011898034191739626,0.0,0.002784513543779582,0.0,0.0,0.010656224684589342,0.0,0.0,0.0,0.0,0.0015753832079612908,0.0017409526208299361
CPC-1326,0.009306653331344035,0.009603195259223665,0.0,0.0,0.04230035043921374,0.0460500885019825,0.010212732848925852,0.07730258190841739,0.010606273256392037,0.08315071220771297,0.0103580708645074,0.0,0.05240535635913698,0.010470686318280398,0.010820651037068038,0.013025649362215567,0.08082185127307646,0.09116111510076053,0.016055356913089087,0.0,0.01121967288837257,0.0,0.0,0.0,0.017609566914963345,0.0
CPC-1399,0.0056676092053673886,0.0070744526977133,0.00021726389740714362,0.00037690766713141137,0.0,0.0,0.006580302753409858,0.0,0.006282692566769023,0.0,0.006595482672259337,0.0,0.0,0.0,0.005834259286325321,0.0,0.0,0.0,0.0,0.0,0.00471411582525279,0.0,0.0,0.0,0.008739857209020617,0.0
CPC-14,0.004251440356993189,0.004516574115415563,0.0,0.0,0.006416999309608646,0.006946474049170412,0.0,0.0023193859145888814,0.0030293278859381107,0.004625679069824193,0.0,0.0,0.004102560793239141,0.0,0.008700939368612638,0.01099233672548401,0.007140143732360787,0.004228385192940194,0.023488372028842824,0.0,0.014453011021419231,0.006906557597360329,0.013414206707021611,0.007010839791674566,0.006393570268758426,0.0
CPC-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019406093604051238,0.0,0.0,0.0,0.0,0.0,0.0010277706939816197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010693536815103382,0.0,0.0,0.0,0.0,0.0,0.01930913746034225,0.0,0.0,0.0,0.0,0.006344159421071972,0.0,0.0,0.0,0.0,0.0,0.030003636281147654
CPC-19,0.002167503530177442,0.004389639338224527,0.0,0.000259293238105099,0.0,0.0,0.0,0.0,0.0005623098562546786,0.0008252703533835141,0.0,0.00040760308566920137,0.0,0.0,0.0022448071128488415,0.00023284578201657432,0.0,0.0,0.0,0.0003898177849719311,0.002108391531684848,0.0005781027694018551,0.001359426557275541,0.0006308056375371975,0.0010665194358215682,0.0005404689928377966
CPC-2,0.0,0.0,0.0,0.0,0.0,0.007588924266221937,0.0,0.009116429840617602,0.0015186015869962826,0.0033874461516792665,0.0,0.0,0.004256737255600178,0.0,0.0003186809224953449,0.002119682227134062,0.0,0.0021603303075039063,0.0,0.0,0.003453007174661508,0.004611651918077685,0.003346337362275198,0.0047489060115339125,0.004705867142507638,0.0
CPC-20,0.0,0.0,0.0,0.0,0.001144755574119017,0.0016764492228034155,0.0,0.0,0.0010426375318034436,6.19162849984157e-05,0.0,0.0,0.0,0.001075993539779305,0.0012093956485711046,0.0014804871112547222,0.0009891896627883608,0.0009702488083257929,0.0015434857029393884,0.0,0.0,0.0,0.0,0.00400348148462989,0.0,0.0
CPC-21,0.0012556189705221093,0.0014241409890614948,0.0,0.0006428796096540252,0.0,0.000956535350962154,0.0,0.00011986803919370442,0.0019884651221194396,0.0019722760208046074,0.0,0.0,0.0,0.0,0.002112100281072905,0.001566743015713495,0.0017417316366404704,0.0015707054845021378,0.0,0.0,0.0004039068575359593,0.0,0.00014362529846820833,0.0,0.0015916203756870203,0.0
