bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-1,0.00820870330365415,0.006986183585709447,0.007206855694535571,0.006090009847326276,0.002066849811339651,0.08116850800997782,0.0,0.0,0.0009402850727359823,0.0035561162733179796,0.003717795306653732,0.10810512890986912,0.0,0.0,0.0,0.0,0.0074763101928645315,0.006206639417067264,0.007050188044212046,0.009750545949437679,0.006153206531650271,0.0032592763033195194,0.006016570952863554,0.006812883061015861,0.00884205192512389,0.007857453033691886,0.007542335370522755,0.006300450868403455,0.0,0.0,0.0040614621924809895,0.0054896974574952205,0.0075561342240267285,0.003996838180811285
EAC-102,0.0,0.0035313185933221643,0.003454035154269653,0.003245479395328686,0.0011626366634152473,0.0,0.0,0.0,0.0,0.0018834623501500219,0.003276557748506101,0.0,0.0,0.0,0.0,0.0,0.0027855287110862717,0.0025944772201601973,0.0004947769127432031,0.0019336323491339399,0.00350897502524808,0.0011819620515452901,0.0032812527286917308,0.0034196009158158347,0.0,0.0,0.0018965588211610586,0.00198686169448521,0.0,0.0,0.0011200693006760698,0.0,0.001645100844373563,0.0006132044601464242
EAC-103,0.0,0.0,0.0,0.007390189438036458,0.0,0.0,0.0,0.03237450822189627,0.0015049053777793095,0.0,0.0,0.0,0.0,0.0,0.018097708451073086,0.0,0.0,0.016536175043189837,0.0025140672077522096,0.0012877222894264017,0.0,0.0,0.0,0.0,0.0,0.0,0.002888134079376706,0.0017862065025980149,0.0014483918496797459,0.0,0.0,0.0,0.002051786877560196,0.0
EAC-107,0.009163919922476374,0.0,0.0,0.0,0.0,0.006493674625082184,0.006071683928594411,0.004361506638108705,0.00539351881416335,0.005775162051126267,0.00545500678975037,0.012796463945795809,0.005056005751444588,0.0045701551016538835,0.0057194552490195645,0.006799298331693048,0.0,0.0,0.004109373021980768,0.003601032545275903,0.0,0.0,0.0,0.0,0.005110410440903055,0.006453246494442384,0.006816914368942243,0.0056469258201666175,0.006346151795231858,0.006238234341652035,0.005636493874295913,0.012275645027238703,0.004444856122814191,0.0
EAC-108,0.0,0.0,0.0015855397636522365,0.003776968162313726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004399446829117407,0.0,0.0,0.00159648825890313,0.0,0.004156783066838343,0.0049217932390375205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034315930742408896
EAC-109,0.0,0.004882900022112591,0.003628669172874617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039763334185252824,0.0,0.0,0.0007706015636718439,0.004216464695578983,0.0013906772927966108,0.0007732008104420581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004296288102570641
EAC-11,0.04013055332364743,0.0,0.01741447232342427,0.0,0.0,0.006803474509707665,0.0033645577543354953,0.006930228578243312,0.006266672909262596,0.006756197551195966,0.006663900098110797,0.0033951961500354425,0.003720775782340893,0.006860451039059218,0.008560886420989646,0.003075204500297869,0.0,0.0005194939131982055,0.0034221168824888543,0.0,0.0,0.0,0.0,0.0,0.008224388139124628,0.007022559038181703,0.004601989209969308,0.003985815973534657,0.002359325623514843,0.005359633806075302,0.006682915820309703,0.0024514192225406363,0.00837256062395792,0.0
EAC-113,0.0,0.0,0.0,0.0,0.0,0.002261033545207132,0.0019761612705524946,0.001500824914152404,0.0038528466872471004,0.0,0.0008973247525672474,0.001667404733592292,0.002720496375800044,0.0018839738318325255,0.001747184276395364,0.0017364473065159623,0.0,0.0,0.0007233845379683056,0.0,0.0,0.0,0.0,0.0,0.0014111578853122498,0.0017971648300388028,0.0014050523421849357,0.0011772035750201764,0.0010214067249539834,0.0013814092696884457,0.0010394555858151459,0.0014666682643940199,0.0011421326315663534,0.0
EAC-117,0.02158772170280627,0.0,0.0,0.0,0.0,0.0,0.011331789101858655,0.016686800170403762,0.0,0.00937445486581623,0.0036868110844219468,0.011764754740530764,0.010873576130004265,0.015458780567693956,0.020085580171471055,0.008470186328726079,0.0,0.0,0.021481626663788216,0.02945808453449835,0.0,0.0,0.0,0.0,0.0,0.00923051983717801,0.009801100995990217,0.008681745979809377,0.0037165999600044424,0.00789434934657119,0.010136081456967497,0.0037633879986459424,0.008664917934940458,0.0
EAC-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008324260523143984,0.001196656300668601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017278752893651423,0.0,0.0,0.0
