bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142,ERR598942,ERR598952,ERR598987,ERR598995,ERR599065,ERR599070,ERR599087,ERR599099,ERR599108,ERR599147,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1,0.004593888050611915,0.00579493628803137,0.004212243681499382,0.002854871231061989,0.004191258015596753,0.004184813717771305,0.003711879505746656,0.009682700948589897,0.005928901269480212,0.004830359030304855,0.009117576252430086,0.007583092059077016,0.007387751287279093,0.006819893296203771,0.010262443442681592,0.009841067958998188,0.006192409325060822,0.009243744768043955,0.004938279235509681,0.0060655857826709654,0.004678222630521401,0.004441250537069138,0.006168782814225314,0.008276224289714283,0.004472380796417497,0.007120282217699488,0.007460515405368406,0.004640609696593844,0.003988165071195768,0.00370685069283369,0.004329905527142143,0.003961542454029111,0.003292623607244693,0.003565381878346442,0.0057167688251150255,0.005533608417884708,0.004868019839187855,0.005938337790156922,0.005561462788577749,0.0056238455351301,0.0052540434586635255
NP-10,0.017472069277813716,0.0,0.018286454231869035,0.005923626647846194,0.00502689292195705,0.023414975674610213,0.011398291388571784,0.0,0.0,0.010932583173399759,0.00638690384757202,0.012263427629866114,0.009304633425234087,0.0,0.01500437450954201,0.001960583485252921,0.01211399308764099,0.00819671286476628,0.010508029571625478,0.007498484706367813,0.011593535479560234,0.011374888081925723,0.0,0.006179430531215463,0.010371334614606958,0.004069910068541451,0.003613096588383756,0.011680853060675993,0.006427432464918315,0.00562779811662057,0.010490946843929996,0.00431886150293341,0.0078996526509335,0.017686382734504007,0.005450750623612668,0.006058948767310157,0.0235471736091469,0.00814399834873358,0.02346012743077794,0.0,0.0
NP-100,0.0,0.0,0.001519826446246514,0.0018293112892246444,0.0,0.0,0.005889328830818047,0.0,0.030444970533799194,0.004207703626333474,0.0,0.0,0.005356450020178702,0.0,0.0,0.0,0.002215505438014162,0.00429082302973913,0.012165550377107376,0.0,0.004065523777402409,0.002011790905304105,0.0,0.0,0.0025289116286312256,0.003435137945366324,0.0,0.006260893078791888,0.0,0.0005054242352499111,0.001797278963926012,0.0007717501300593758,0.0,0.001621561433140907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-101,0.0009374871868009604,0.0009143285825449837,0.0011462397722301967,0.0001987827213564987,0.0007293816358518669,0.00014381953721415917,0.0,0.0,0.0,0.0004491177220978887,0.0,0.0,0.0009514513329603099,0.0,0.0008378677219043522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-103,0.013641212199823014,0.0,0.012969575403685821,0.015720955273065162,0.0,0.013905101539920197,0.013054084468400487,0.0,0.024869187389532994,0.014646931834292613,0.0,0.04550504746618635,0.013211164650746291,0.023878388575443475,0.0,0.029670655547433488,0.005997165109155408,0.018540129226291842,0.013729040781997305,0.01541792698589865,0.01808244905020141,0.021720437526654247,0.03119034753421387,0.01881248824221445,0.015453261371660917,0.01181577947014853,0.007075833923574263,0.01918707493559195,0.0,0.014542277961886075,0.013347453832724798,0.012662477545178484,0.009855724816584937,0.014007103314640626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-104,0.003971087312076859,0.0005341099989711844,0.004414937069191945,0.0014564807804878432,0.0014941726507766762,0.0008618931515730474,0.0029398000990174936,0.0006055928657620264,0.0,0.00039058027093520793,0.0028205883475097156,0.0,0.00323610359325025,0.0,0.002481494713589074,0.0,0.0017284087203559542,0.0007287387341209132,0.0,0.0,0.0,0.0,0.0,0.005487542372935733,0.0,0.0017386558488325051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1046,0.0,0.0,0.006697472852163412,0.0028316809900930675,0.0018826506870909493,0.0012018164735943433,0.0,0.0,0.0,0.000821076067344098,0.002984214508882754,0.0,0.0016119613560038773,0.0,0.007720258615919764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027315140674605966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1052,0.0,0.0,0.01229842964347352,0.025160767302396667,0.0,0.037842594036368714,0.021146920865203835,0.0,0.0,0.0031469394147381194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012006353194673873,0.0,0.0,0.0,0.0,0.0,0.0,0.023401074687077594,0.0,0.0,0.0,0.0,0.059455161058539194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-107,0.0,0.0,0.0,0.01638033292804794,0.0,0.0,0.016062342306195382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008661594349806723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-109,0.0,0.0,0.0,0.0011729619875344905,0.0010881817111658952,0.002947982149055754,0.0,0.0,0.0,0.0,0.0,0.0,0.0009960031475854734,0.0,0.0,0.0,0.0,0.0031911853918238234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
