bin,ERR598949,ERR598972,ERR598974,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599028,ERR599082,ERR599110
IN-1,0.13183091862472496,0.0,0.0,0.1950382309698145,0.1885701958663607,0.0,0.012532715168405994,0.010386781411346073,0.006795682288446638,0.14521745945689832,0.18687330206498962
IN-11,0.0,0.0032304926313977533,0.0,0.0,0.0,0.002009524991675953,0.002913513235526127,0.0003485232517232918,0.0,0.0,0.001125872405466036
IN-12,0.017778198870819224,0.04900130245554725,0.06418265236465669,0.003833821314161091,0.0,0.04700991403288849,0.05982245966787731,0.057177312964712124,0.024374220540565726,0.05807482019011849,0.0028737791686775337
IN-13,0.0,0.0,0.0,0.01329040694917638,0.0,0.0,0.0,0.0,0.0,0.005569994213306913,0.006706385877856796
IN-15,0.0026487917405713757,0.00367792801667932,0.0006797943942734182,0.003488247211711376,0.0004348564136985612,0.003285073345529095,0.0026045301391734665,0.003621167861178856,0.0029067949221578777,0.003942426852593423,0.003858606503345748
IN-16,0.0,0.003994427280632058,0.0,0.04948210925047057,0.050436068447635506,0.002180982140547565,0.0,0.0017046657474576938,0.0,0.0008099118077898734,0.04306087443025118
IN-18,0.0,0.0,0.0,0.08351413991638476,0.1365183122293235,0.0038350844140630884,0.0,0.005691412660696198,0.0,0.012649908349301844,0.0580237409288889
IN-2,0.0008448297211556887,0.0,0.0,0.0074853252659412995,0.0,0.0,0.0,0.0,0.0,0.0009336514444366764,0.004749760929953054
IN-20,0.002896404550970291,0.0,0.002288169255367019,0.0017410806388106208,0.0029310586952227807,0.0,0.0,0.0003608842092201575,0.00014383708943586118,0.0008462676509205041,0.0017571714329322752
IN-23,0.0,0.0,0.0,0.001744036414349886,0.005510371438459603,0.00304785605259586,0.004042184229628564,0.0,0.0,0.0,0.0009470734278953358
IN-25,0.0,0.005691812424099195,0.0,0.013710777026961383,0.01547563116063906,0.0,0.0,0.0,0.0,0.0019025350390425078,0.013927563873490945
IN-27,0.0,0.0,0.0,0.05111065531806059,0.03430841158505887,0.017196871973445993,0.027338904547847067,0.0,0.0034836676036158892,0.0012588533139911199,0.020423211109832473
IN-28,0.0,0.0,0.0,0.007195856059471387,0.027747992473573097,0.008753548624705402,0.013430482715234315,0.030766150485025543,0.0,0.006695108399665838,0.007440643321077996
IN-29,0.10052731031905102,0.0843550800197267,0.06702176187478522,0.14972258755712062,0.14171015569823175,0.11155850209561108,0.04055357525220287,0.04879166509187588,0.03550422332669357,0.0923030462077038,0.13011534509634484
IN-32,0.003816028179636787,0.004961874060547498,0.004101350094683952,0.00487674500161464,0.004454949795722542,0.004447603979651046,0.004474406424625731,0.006170272303696619,0.004489904522920837,0.004071619132813987,0.004768520554309397
IN-40,0.0,0.015252250274579077,0.02915510615620897,0.0033810344619574955,0.0019463342284806915,0.0825664846454821,0.007515225662620617,0.005556891069644893,0.0811540775794563,0.014404874595257513,0.00019620789394958474
IN-6,0.019750011394274746,0.1050182215812976,0.02351232782745665,0.017046800706686897,0.017036805170818826,0.11569429238350619,0.11122015987600839,0.09142265817696912,0.015424194171400384,0.020140986778774638,0.01867994690664701
IN-7,0.002125034190142641,0.003704058864990368,0.0034185283828543386,0.0,0.0,0.0029902272377850406,0.0,0.0016238225266469247,0.0010563091974701232,0.0007418165955267884,0.007546051369585533
IN-9,0.017370517543304924,0.029206759953838764,0.003001045298629825,0.05653521423547433,0.06021013690101421,0.024179675347757633,0.03658956183034105,0.009522085042454614,0.0012735286223200548,0.01889212889418774,0.0602135083435557
IN-912,0.011685684391415338,0.028106331945284415,0.00923163544758898,0.010635093655473963,0.008063650980522995,0.08370109060401969,0.11296263556972323,0.0795949005484925,0.011281791204387104,0.014225010989672895,0.009559158782792848
IN-922,0.0022120954431791833,0.0,0.0,0.013338099906044745,0.017799117690794283,0.0,0.0,0.0,0.0011167442562155505,0.005205101315976274,0.009210835069461628
IN-928,0.010504876062765357,0.023043001303329716,0.010733052606490054,0.007177699259268231,0.006091781656181437,0.022316343505038135,0.023696916677442212,0.023912868533266955,0.011155265832520227,0.017045527791072806,0.00830386633579808
