bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158
IN-1,0.010401975585508054,0.0,0.0,0.0,0.0,0.029866574614010766,0.023458229513985098,0.002162391235515954,0.004373072234241477,0.012808965621775036
IN-11,0.0,0.0007276576525960138,0.0006429869043346189,0.0003650955152288005,0.0007519875678323252,8.45656184609203e-05,0.0,0.001356644625435812,0.000283744442372282,0.0
IN-12,0.02339886282533692,0.02603969029138522,0.05221450026849433,0.011954650239255947,0.06584519353986505,0.03643899604983951,0.019422692563686037,0.02826047581102837,0.028736658917422973,0.03176956221219895
IN-13,0.0,0.0,0.0,0.0,0.0,0.014895044859079555,0.0,0.0,0.0,0.023826957088978307
IN-15,0.0005657538806261853,0.000397266914206092,0.0024177937766361062,0.005577872956483284,7.728449374275251e-05,0.0014660164596265125,0.002220966286023382,0.003776546145879298,0.005768897244022723,0.0013761641122938064
IN-16,0.0,0.0,0.0,0.000267323349193168,0.0,0.0,0.0,0.0,0.0,0.0
IN-18,0.0,0.0,0.0,0.00735502937752582,0.0,0.0007208060971803435,0.0,0.045309334507809086,0.0,0.0
IN-20,0.00044153986398401244,0.0,0.0,0.0,0.0,0.0,0.00017311498776923764,0.0,0.0,0.0
IN-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006684419794409737,0.005124287241441215,0.0
IN-25,0.0,0.0,0.0,0.0013374686301254265,0.0,0.0,0.0,0.007931283897317612,0.0,0.0
IN-27,0.0,0.0,0.010353768069341419,0.0,0.0,0.0,0.0,0.023599998803115058,0.015798723182973283,0.0
IN-28,0.0,0.03612327856552209,0.0,0.0022214021790712556,0.0,0.0,0.0,0.03679968399844208,0.0,0.0
IN-29,0.0,0.009146915924968354,0.00807990871089091,0.04639694547183185,0.0,0.2104257750607016,0.02430053162030075,0.04549983753431209,0.06688138252192556,0.18126107761382743
IN-32,0.002826188133689016,0.0034013504171255286,0.004518025407572726,0.005734140528353101,0.0021108205088339205,0.00322288194027927,0.0026555615046981625,0.0025386527070961474,0.0024337731090478573,0.0029657747321388812
IN-40,0.0,0.20201448515684958,0.0,0.0,0.014382236985558178,0.08611698423448011,0.0,0.0,0.012578916993448005,0.1018244370964122
IN-6,0.01797044342912289,0.007010302467276126,0.006983316588283303,0.022679959913477557,0.0074168752471916585,0.006261965659832353,0.01556811911185073,0.008317322362876169,0.00922889532066307,0.00884239576376136
IN-7,0.007145274602984889,0.0,0.00023723660941133763,0.0034208416347813095,0.0,0.0,0.00162998651974706,9.153253702794039e-05,0.0006820013277656977,0.0008137383057778837
IN-9,0.006207677614907018,0.004181872498449762,0.0,0.0013747260888608056,0.002211745044052486,0.007332892404001271,0.009875316165913065,0.006566345246099636,0.00527661849037394,0.0155812200215981
IN-912,0.0,0.0,0.0,0.0,0.02259186575012911,0.04168715052243828,0.0,0.0,0.014884345896261085,0.08987949919891539
IN-922,0.0,0.0,0.0,0.002029980644394473,0.0,0.0,0.001617581282514713,0.0,0.0,0.0
IN-928,0.008177634729426866,0.0400200643404347,0.01822419429268128,0.011480025640380248,0.0,0.040126995778061884,0.002883885870760746,0.0,0.008730200905745701,0.06853505808883464
deep-0018,0.0,0.0,0.0,0.0,0.0,0.00019380028709507614,0.0,0.0,0.0,0.001417186182812372
deep-0036,0.0011756885278762065,0.0004556893331488625,0.0003554841078885265,0.000692246784510758,0.0002513944639827868,0.001028789328739392,0.0011120104494318445,0.00033993668052293135,0.00035242268841628765,0.0011281390819701503
deep-0045,0.0005099009097471735,0.0001469209357497419,0.0,9.907105335620331e-05,0.0,0.0006096915997530006,0.0014744930063331624,0.00040011764237857754,0.00027689903060940416,0.0001728677418296807
deep-0070,0.00044750510175729606,0.012371996703972677,0.006574743080159125,0.0007660047195083077,0.01704269562580125,0.0026909829295812407,0.0003854273542166205,0.0053882867179881515,0.005505007245209046,0.002601968364582214
deep-0101,0.0,0.0,0.0,0.0,0.0,0.00015621875888052986,0.0,0.0,0.0,0.0
deep-0126,0.0010280390819456722,0.0011545278933742873,0.0,0.0011013384127575574,0.0009513143648765842,0.00028176358050813124,0.002264166359765939,0.0003251564041561179,0.0008747244470399374,0.006547845998173729
deep-0165,0.0,0.0,0.0,0.0,0.0,5.075173107902524e-05,0.0,0.0,0.0,0.0003778009583187783
deep-0166,0.0009362479610669627,9.826043140413378e-05,0.0,0.0006187653639193997,3.6138566970455026e-05,0.0015642217547300861,0.0009076965367912141,6.172088901339183e-05,7.147953849358308e-05,0.0014914426591091986
deep-0169,0.0,0.0,0.0,0.0,0.0,0.0009281912870742351,0.0,0.0,0.0,0.00031919398088579094
deep-0283,0.000541884221221438,0.004938983087453315,0.002081727529052956,0.002386572031991562,0.0009739299876673733,0.0010081995181254325,0.0005197941772641307,0.001277500710023931,0.006539731330569513,0.00254588569531802
deep-0285,0.0,0.0,0.00034884852329217605,6.589738490705618e-05,0.0,2.185842162132983e-05,0.0,0.0005119732759369903,0.00038063123735867084,0.0
deep-0293,0.00013578944122736794,0.00011033268953314442,0.000162006880264863,0.0002824797915144026,0.0,0.00027096234172012195,0.00031542082535775297,0.0003879484532979567,0.00022803509304236463,0.0
