bin,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-1,0.04635896642864421,0.043554068997244774,0.23490988407220406,0.1980347918370027,0.0762196358748247,0.037840899824214826,0.0439683402102701,0.03602519862842749,0.1862546525577368,0.06704102977238102,0.0854109795983963
IN-11,0.0008614386307620434,0.0010908490242633499,0.0006773411090057998,0.0008727345173560782,0.0008592795298160657,0.0006418085203112108,0.0007208815101992513,0.0009333589339362084,0.0003383093766578294,0.0007445691410115224,0.0006506815247593486
IN-12,0.0022769095796590514,0.006910700536871224,0.003267265302436541,0.002415934446206401,0.0013510562180547047,0.0012937715289985136,0.0014684654903803981,0.0013094873277257448,0.0033101983518240233,0.01616351581611382,0.007288502988703486
IN-13,0.0,0.0,0.0,0.03627248494368864,0.0,0.0,0.0,0.0,0.0,0.004397448804308224,0.036769283960322696
IN-15,0.0021629404549775104,0.0064098556298287064,0.006661782219478106,0.0034332234660241264,0.00614309915614739,0.010263531334511815,0.005114325016354271,0.0024912720088469554,0.007222492211015092,0.0024468967318271567,0.003167225904603373
IN-16,0.008322277849153372,0.01837185589136603,0.01460901481817415,0.017116952414368364,0.049935381367342206,0.010364182365094942,0.02471619638319872,0.006876098653569879,0.011062167363342312,0.018611664490682394,0.013912868583566947
IN-18,0.0021816846454524893,0.0007421682742928515,0.0070221064847838565,0.0060815207200768185,0.006273011355445096,0.0019166962148444038,0.006005949229482251,0.009783942245756289,0.011944771913359806,0.0016746250831877075,0.004517996868669877
IN-2,0.0,0.0,0.006014736795069568,0.003704737117744191,0.0,0.0,0.0,0.0,0.0,0.0026567580405428824,0.0008957197657190134
IN-20,0.00026851219231588934,0.00019221494025105493,0.0005614837594134403,0.0004180006566039669,0.000557384289064099,0.00026480210033315494,0.00027926182519180995,0.0010324440971369434,0.0015204686905744894,0.0005167580647020314,0.0008721015706712685
IN-22,0.0,0.0,0.0,0.0002355927800546049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-23,0.0,0.0,0.0,0.0,0.0007882710211268838,0.0,0.0,0.0,0.0,0.0,0.0
IN-25,0.002102150468190882,0.07282949129416577,0.009106827076597988,0.008971434853572985,0.05475823569985532,0.011417800023444355,0.007149775496045265,0.005617732469438855,0.007110449460591585,0.0055996400271316905,0.004422981739932621
IN-28,0.00537018845667269,0.0012056618178176422,0.0,0.0,0.0023239459265836024,0.0035417455851568186,0.013497234927796547,0.0,0.0,0.0,0.0055042211739856186
IN-29,0.06498576546717338,0.000823552249861734,0.016141749095634456,0.005038077893041501,0.002158307648196403,0.0035750636338425317,0.002227626214282326,0.0020781057889094224,0.0012460879064657608,0.0008241378673917191,0.001030844313435557
IN-32,0.004621324828424002,0.0050765439731181965,0.0056292588558645665,0.004886844456192789,0.00544945349968841,0.004737871548133993,0.00506523024358463,0.004594126550660901,0.004753952199179054,0.003348916153560585,0.0043834065177795764
IN-40,0.027932938453672732,0.013437532403157903,0.08577481144881907,0.06637005763586222,0.03037379369292233,0.038994446897459116,0.04734971648411994,0.040939481293034166,0.0,0.03415897876485729,0.015136864771512909
IN-5,0.002179223541447521,0.0007118668533126803,0.0010798099281756842,0.0012790778476728716,0.0010978619044990899,0.0036171473646397856,0.002467256311670421,0.002592441022958851,0.00376775393445117,0.00120796608449749,0.0029690376309053934
IN-6,0.007876275693397083,0.005719524264871389,0.013864554773187968,0.01976521735366804,0.011699449000889232,0.006320511565469182,0.011981654556902123,0.005056192592253258,0.015678132820404887,0.008342763153777974,0.007858578717709912
IN-7,0.050610111120432205,0.19419914082518444,0.030298983175724357,0.10766398951666008,0.0651724670589359,0.0,0.0,0.009565304749256839,0.0,0.026437229636070203,0.020232852333024444
IN-8,0.0,0.0,0.0,0.0,0.012859632220897583,0.0,0.0,0.0,0.0,0.003085574189513969,0.00516803121725681
IN-9,0.03778375924018084,0.04297814420434719,0.0340107508970809,0.04613472521468764,0.030736013028368866,0.028137815097942,0.029795817709382205,0.039061789063928286,0.036672736732091295,0.028986896173078903,0.034175076441857334
IN-912,0.018038523770852403,0.03738467857567753,0.04576877369801854,0.05473229321086342,0.10409677002202446,0.070696931502436,0.056316943727145415,0.02250724765352035,0.03868573649934948,0.01837375949283582,0.026895604895626257
IN-922,0.03493634331071848,0.007574968710722035,0.06654208187785549,0.04343596680155805,0.05744589126681589,0.08422438836720007,0.049569285079332455,0.03939050966757602,0.07861133842935587,0.03873401737942635,0.02714420185747481
IN-928,0.008268330921412735,0.00864163019007446,0.013663237825687187,0.011973490139921677,0.01251472198066589,0.0055999828980010736,0.009594783778094067,0.014911045285113968,0.006647687171426602,0.006663828639609301,0.008833017718778048
deep-0018,0.01069170961567838,0.012673010349697662,0.01029740974370213,0.02144786976795176,0.013063324266949995,0.0019219215416576886,0.0027750437725192634,0.0032874948100661983,0.006220679476474942,0.0015607941329472384,0.009283302259618745
deep-0036,0.0066675769117244925,0.0049661996842659374,0.005913838615345419,0.010192589611718482,0.009265022372746685,0.0038463486636466752,0.006645444229171726,0.004695430996687808,0.008423096156485692,0.002680773748794793,0.006103022780441994
