bin,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175
NP-1,0.02924550445205979,0.09415156741322572,0.050362412879219005,0.06591392878143126,0.0485326612288749,0.04753638123002053,0.028924250401068167,0.06555355769703403,0.04001322490213485,0.07051899265207336,0.06550438800120044,0.04802929770732666
NP-10,0.008818421486234804,0.02026290052227775,0.006537918888314887,0.002508286950362583,0.009548130926990767,0.00519295501867818,0.02563010296292279,0.001658871992037059,0.012140613035854899,0.0017506748773408903,0.004136381801472926,0.005159720887073097
NP-100,0.0011060421911428873,0.004455316158013081,0.0,0.010977889959258318,0.0019254131760573136,0.0,0.0,0.0,0.0026978680409257445,0.0,0.011527188524887813,0.002191823735634557
NP-1044,5.621706196529869e-05,1.412038101953935e-05,0.0,0.0,0.0001180764704453874,0.0,0.0,0.0,0.000458411983250761,0.0,0.000346582463384896,0.0
NP-105,0.002464608054616449,0.00016587353441666067,0.0021305036627145015,0.0005952307882907538,0.0018393664097182659,0.0017448212483967924,0.001741533024108856,0.0003445081650153591,0.001393310878651424,0.0003485671369298614,0.0004101807848804226,0.001533787544446991
NP-109,0.0,0.0,0.0,0.0,0.0,0.03637268349316703,0.0,0.0,0.0,0.0,0.0,0.0
NP-11,0.08383516794495705,0.1840480951088198,0.061336222822905274,0.01145575173597838,0.057632836084583715,0.05774600736246392,0.07596847166968851,0.0,0.11716566565952086,0.021046953396578444,0.012746014040393576,0.07429812331653883
NP-113,0.0003487603178637421,0.0019005245677664935,0.006500846588037921,0.006442692167566449,0.006297658195115264,0.006398190632910278,0.00020795677106860008,0.006685115792464104,0.008011152468367547,0.00614321990008929,0.0066722449266591825,0.006546661010155025
NP-119,0.0,0.0,0.0029470583888523143,0.0033039851792262508,0.005107546810068084,0.005040227030426127,0.0,0.004501918910019326,0.01049622670746325,0.005500316956675414,0.0037168708537490187,0.0051990863409080825
NP-12,0.008171269301170821,0.003935482851610308,0.006856754194504483,0.006611945299870107,0.008908191652216778,0.008108388808131913,0.006843710704735088,0.007667506360521418,0.0047201780489628245,0.0077895784630359986,0.008396685001568158,0.0072847080616464666
NP-120,0.0,0.0010484889324389119,0.0020380471189891036,0.0011941077182935419,0.0,0.0013300230932032752,0.0,0.0016414092360886644,0.001754320660721658,0.0021825807774052933,0.0,0.00048790264219887445
NP-124,0.004754345044819996,0.005947138710242724,0.00630874100648298,0.005933711528854205,0.007091891677703911,0.008027260609933274,0.0039925338496821765,0.006712229819624191,0.006621085473903425,0.00654779687869102,0.006028405028419418,0.00727524001227922
