bin,ERR594328,ERR598959,ERR598969,ERR598991,ERR599041,ERR599049,ERR599106,ERR599116,ERR599134,ERR599155
RS-342,0.00825839486873122,0.006133150323328857,0.004084585372807686,0.005441870683516013,0.03306304926628113,0.012520952482519112,0.009450768482609662,0.03653715220062276,0.0207800955323055,0.034270608151960674
RS-355,0.00062614395557115,0.0006931658630738145,0.0,0.0005676255270921005,0.0,0.0013245694899311432,0.0,0.0016466660408677343,0.0,0.0
RS-364,0.012328749549044131,0.0021257844554003237,0.002614485773132218,0.0024129473824388036,0.003997913117969136,0.011223570016808888,0.0025063602424295313,0.0019335165466474963,0.006404369449616763,0.003716321602718445
RS-367,0.001392165456460358,0.001063386209378709,0.0008652234325446373,0.0008678805296509124,0.0009571385342170714,0.0007751840410759905,0.0006052405616088797,0.0007702138510880462,0.0009902244197370087,0.00039126902860806657
RS-372,0.0,0.0035421228809555854,0.0,0.00338289474070772,0.00745773658077189,0.0013466655624857161,0.0034284264557064366,0.0014198148927258808,0.0,0.0
RS-376,0.0,0.0,0.0,0.0,0.0,0.0,3.621825990631818e-05,0.002046490893962672,0.0,0.0
RS-382,0.0,0.0,0.004552853233115798,0.0,0.0,0.0,0.0009612819638100502,0.0,0.0,0.0
RS-423,0.0,0.0,0.0,0.0,0.00040893122546969914,0.0,6.164437397169607e-05,0.00015965890628522275,0.0,0.0
RS-426,0.0,0.0,0.0,0.0006226779032210808,0.0,0.0,0.00032739258469284294,0.0,0.0003833042174247311,0.006040135652567223
RS-447,0.0,0.006385364374971103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS-456,0.06742172592314988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS-458,0.0,0.0,0.0,0.0,0.0,0.0,0.00011480235384000945,0.0,0.0,0.0
RS-615,0.0,0.0,0.016528843361580267,0.0014884011812159666,0.0,0.0,0.005474565423841141,0.0,0.0027098383245130904,0.0
RS-665,0.0,0.0,0.0,0.0,0.0,0.0,0.00024409693469373356,0.001080035574080265,0.0,0.0
RS-821,0.0,1.3822802607061921e-05,0.0,0.0002805118593975656,0.0,0.0,0.0,0.0,0.0,0.0
RS-822,0.0,0.00045064189726981563,0.0,0.0,0.0,0.0005676957401601276,0.0004852621511601612,0.0,0.0017896688860987125,0.0
