bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158,ERR598949,ERR598972,ERR598974,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599028,ERR599082,ERR599110,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-1,0.2502666314554721,0.2870907697669974,0.13112135749922207,0.24434987988507065,0.1716369745084982,0.182603073197525,0.2651045614525792,0.1004518798716325,0.20700947257421345,0.180453342363205,0.029283793751242876,0.1876319777938739,0.35129592946754956,0.06822385630079408,0.06060402364750845,0.16398405738974503,0.2229432264516182,0.22363197248863617,0.3578768412777202,0.026040730246192603,0.065888147191494,0.17097733289285003,0.14639151256219962,0.07955348040191457,0.2217575024996119,0.09302316757806632,0.05899139695167215,0.1750538031507645,0.14499747993688908,0.060074014957440885,0.06155942382486884,0.15365033189706,0.05797735091210091,0.04407711445279816,0.09591412364335122,0.06829756600069603,0.06856530487379532,0.1239472590506351,0.05551652228304753,0.08707967777425867,0.07609347715670435
IN-10,0.0,0.05998064587758453,0.1038959653614781,0.05698708709906267,0.0,0.30796572021078267,0.0,0.07207105287222218,0.012389459135558306,0.3727220730041345,0.0,0.035138081946901815,0.0,0.0,0.13089453597752454,0.0101196419663919,0.020240781192109956,0.21004019064436677,0.01688938341202793,0.0,0.02348443793040153,0.06793488402999355,0.14460982612291023,0.0,0.0,0.08210157815242826,0.0,0.3906642223366996,0.1943627973074398,0.05092429774466132,0.03797650582808163,0.02556751895041563,0.0,0.046661108792379,0.039602399883739536,0.038228503146180315,0.022991836853799727,0.034820246613012654,0.0,0.03436268712748681,0.06568938229526818
IN-1077,0.021023616316078197,0.02826964198587119,0.030758904973413232,0.03328131158796738,0.028844683383432608,0.03266352880957361,0.0310626494645215,0.03013082545393068,0.029563821178934968,0.0343049397001176,0.028956580004721143,0.029753731082412242,0.03206341425271025,0.03128649097921084,0.030277606981916675,0.02912183261825225,0.034111460698694085,0.028020773602711848,0.028669223598714662,0.03142096526618796,0.031522793092681994,0.027091611257716003,0.017223919438975537,0.06422240954796499,0.04308657161962108,0.036833333537416926,0.05191988073930036,0.029734937215032974,0.02181721473188762,0.021168459162570492,0.0,0.0,0.0,0.0,0.45519669981948147,0.0,0.0,0.0,0.0,0.0,0.0
IN-11,0.0037882906417817585,0.003779265164184048,0.004275983609560788,0.004033564530409405,0.0017010583703498288,0.0023415989771559775,0.004259668903978715,0.0026049602357944702,0.004382694299885237,0.0020598911243883545,0.0014558623128900503,0.009857991529186422,0.0038563031884347497,0.019459342233604536,0.022446518853974393,0.015726135626386854,0.013932874931860607,0.0033190010299260246,0.004027184510177855,0.000872884609663035,0.028945540540699977,0.06162205316840489,0.07125468066901663,0.06389343665054395,0.053977432926121664,0.07642524011088228,0.07068420212097941,0.06016955095381542,0.05911415937180496,0.06301914554901787,0.06210836579926511,0.06313839074316849,0.05823983801351774,0.06130563187377026,0.06123687246618566,0.06163308912296495,0.06328306839169125,0.06067070146308713,0.05993819679990724,0.05967106372264723,0.06089755907277652
IN-12,0.03507567140915156,0.025554316286895678,0.02665071884384043,0.0339506520701734,0.039330653546802145,0.006388534452726771,0.04262893044096539,0.06322222316069895,0.020830308323667307,0.0,0.01271710491568974,0.027461603782222094,0.05871028276141668,0.048841355442960574,0.055144976330342564,0.02107421457278326,0.008853292128349783,0.014744491975557975,0.022500174243565835,0.016896462292440496,0.04676215111202055,0.04305915452648642,0.05940514387120868,0.0021365212636903783,0.056312118066088344,0.0014679699447867243,0.006992500180271696,0.023999957733109777,0.06420451493967057,0.00762675966402827,0.056728578787261785,0.05444806984398181,0.05874131758936788,0.05834453088412741,0.06026289595690956,0.0600441649840485,0.06009626264910757,0.0598269619119407,0.06017819768182161,0.04897611683728716,0.057232099271390016
IN-1213,0.03135656068416537,0.04769881885037242,0.042600984951249005,0.049113055996405995,0.049105331515563864,0.04391137865896885,0.037529368592503665,0.050105799270086404,0.047211245684286675,0.045797414879362966,0.03348340101572994,0.04687704061929789,0.03162727385596485,0.04958987909091505,0.03535674973591502,0.04772222865138877,0.04861932618122283,0.053047542110573775,0.03483561502379477,0.036351497155217904,0.04190828618211526,0.054291366843784813,0.017997021838257826,0.0220588665559777,0.012781287402416564,0.10916410912696078,0.015569275633984626,0.05022664484036341,0.057041542821242096,0.04576375672310641,0.5000493191207828,0.0,0.0,0.5006480783216505,0.12693085949134922,0.0,0.0,0.0,0.025586642495227258,0.0,1.0
IN-13,0.06285414593184672,0.037844158620866486,0.031981070472826,0.06709083452233974,0.013707733534472608,0.06970265187534891,0.060764514213741364,0.021080161023543906,0.03118947809761044,0.0825978085018442,0.0911939288685168,0.030644210810895852,0.051276221342572086,0.0666201634644323,0.10528887069873508,0.041094736930710134,0.03431920780293754,0.06166019994414672,0.0853558262522708,0.06950247958895552,0.058394379496092705,0.06965313353028603,0.05743914188471865,0.1326486760180816,0.051362546318661245,0.06058507612900805,0.07330319106048822,0.06424933142736548,0.06565536566876154,0.06620181220134227,0.07231203771399924,0.03932147407471439,0.04661949954105628,0.0,0.06181306700000825,0.032740808042048854,0.13496096004065003,0.0,0.0,0.03827322006672041,0.14063259882685267
IN-1311,0.01699272411737174,0.03687722253401583,0.03316361209551506,0.042827863673644176,0.03763225655410614,0.023766622297792476,0.01849092543298256,0.03199061492654061,0.0360710966914773,0.01739024544640343,0.025634953559697343,0.03262044764183202,0.025223167002994273,0.03164498192926535,0.03571815772452368,0.03523552858498983,0.031927963156724644,0.04326922250398644,0.02054743381994757,0.032297125755136984,0.03335713060743182,0.0012629858295197418,0.0021035973449618993,0.0,0.0015378401053109487,0.0,0.021135190369934397,0.04176325760102636,0.0,0.004737701822119559,0.0,0.0,0.0,0.1185150167816573,0.0,0.11913626307069941,0.0,0.0448908662323775,0.0412484028199984,0.033393439251058865,0.16121402498331938
IN-14,0.02884561477469885,0.012886583970876022,0.017301941430555374,0.03338079038489654,0.01589192805690832,0.013506142655138054,0.026731559761100407,0.016281807743703452,0.018368043592007083,0.01263470755280299,0.010124288080123868,0.06726712462222739,0.027895164902868568,0.05972015482482694,0.06513741968750397,0.08285316786863958,0.0444356946452789,0.02468920366330201,0.024801464301313598,0.009766310217073774,0.07534005596949496,0.22465043215307537,0.18472003317163085,0.15690411813855223,0.2832222587766222,0.15919533438970365,0.15986550308718153,0.27160849301271367,0.2307196124087459,0.14432087561164336,0.0937725971584951,0.14221570292233954,0.19932034945661922,0.10010649219185092,0.21140692881534726,0.0956436430652831,0.1665617875922522,0.07291304399943056,0.1605078078499071,0.2595066294055863,0.3007278742580601
IN-15,0.012875043633070168,0.0023646062155730538,0.02848793888540418,0.058650722333167156,0.0030618109621676553,0.044422309055034304,0.039662379217947345,0.047030153120280055,0.04875267994062544,0.026205157922639274,0.036232062571475834,0.042056406207057466,0.011180917710093182,0.06923200202371656,0.11285350552327315,0.05661413704168469,0.041323694641373546,0.05436956231999564,0.04239586205617446,0.05432468485726702,0.06011164274220027,0.05888379807329405,0.058711924807678124,0.016532900418288286,0.046600787542966184,0.049224970599871444,0.025581374694326323,0.0730907589632301,0.04936106086050996,0.04666265111518254,0.07335384177434004,0.11911960513872444,0.07053635414275482,0.06004680582426897,0.0748478299072687,0.054512732418731634,0.07482670385518768,0.0665085709824158,0.04340926480023439,0.07812670879489388,0.06948528888009019
