bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,Trans_abun
ARS-1,ERR594290,MES,0.15510225970512567,1200.0,0.1613003612646733,65.0,0.13128121063687437,16.0,,,0.0
ARS-1,ERR594312,MES,0.1268123091875908,373.0,0.06712635428145658,8.0,0.30716198954291996,4.0,,,0.0
ARS-1,ERR594345,MES,0.15709652653690465,1261.0,0.1522567349362948,69.0,0.11830134979758683,17.0,,,0.0
ARS-1,ERR594346,MES,0.15977266819569225,1141.0,0.17137233837654256,67.0,0.11451944134688002,15.0,,,0.0
ARS-1,ERR599031,MES,0.14118492446340727,1099.0,0.13050511195926662,58.0,0.09942785937787668,17.0,,,0.0
ARS-1,ERR599037,MES,0.1541874962004574,1222.0,0.1557772151290583,69.0,0.1174818537922977,16.0,,,0.0
ARS-1,ERR599062,MES,0.14301409185095562,1273.0,0.1428675899079811,72.0,0.1343010826926282,16.0,,,0.0
ARS-1,ERR599109,MES,0.15919679445247925,1207.0,0.1623597240565169,68.0,0.11521793723229115,16.0,,,0.0
ARS-1,ERR599167,MES,0.1535069804382314,1209.0,0.15616426829270066,68.0,0.12495889147438258,16.0,,,0.0
ARS-1,ERR599172,MES,0.15335478133860592,1196.0,0.15394133575487717,70.0,0.12803845614743622,16.0,,,0.0
ARS-100,ERR599028,DCM,0.051187075828109614,1309.0,0.02658211078508404,28.0,0.0603341653165086,17.0,,,0.0
ARS-100,ERR599102,SRF,0.024071231639998907,74.0,0.005794309590897016,10.0,,,,,0.0
ARS-1009,ERR599028,DCM,0.08822200434967017,1901.0,0.044530225032297636,29.0,0.11103164966227874,29.0,,,0.0
ARS-1009,ERR599102,SRF,0.08970173327253378,639.0,0.18354810194652765,6.0,0.08407540735127048,9.0,,,0.0
ARS-1012,ERR599028,DCM,0.08097191256420744,2911.0,0.030608441204068786,61.0,0.07420473765037236,73.0,,,0.0
ARS-1012,ERR599102,SRF,0.05992268808376146,1092.0,0.04735027417274417,13.0,0.036641897919284794,30.0,,,0.0
ARS-1012,ERR599143,SRF,0.06138080790931235,1670.0,0.02223239460687219,26.0,0.054981071313631336,42.0,,,0.0
ARS-1012,ERR599145,DCM,0.07310586350234899,1864.0,0.07325631706609738,35.0,0.059576861465708175,37.0,,,0.0
ARS-1019,ERR598949,DCM,0.03092930634772477,280.0,0.03312911865679938,24.0,0.03022490481153372,5.0,1.0762069086906605,1.0,0.007005099419276814
ARS-1019,ERR598966,SRF,0.025896068627482997,183.0,0.02441642571935249,21.0,,,,,0.0006268746641480932
ARS-1019,ERR598974,DCM,0.020552736929726943,168.0,0.00809797608931971,21.0,,,,,0.002842575693834623
ARS-1019,ERR599028,DCM,0.036657021007925276,474.0,0.03274346622517468,31.0,0.03579744385964463,11.0,0.9302186354677896,1.0,0.0029053463711649643
ARS-1019,ERR599082,DCM,0.10406625418488866,2196.0,0.04851756640017274,54.0,0.09440987126723252,32.0,1.1159169856119102,1.0,0.006795405761035672
ARS-1019,ERR599102,SRF,0.03527171248587217,366.0,0.030703424557685318,29.0,0.045499155606714387,8.0,0.9313347550734756,1.0,0.0025055463504885024
ARS-1019,ERR599143,SRF,0.03171252265752027,273.0,0.03001532977080726,24.0,0.016130481556652226,3.0,,,0.0008487296777908205
ARS-1019,ERR599145,DCM,0.0441712467820778,644.0,0.030738380009545818,32.0,0.034657558875168804,15.0,0.8047654738464126,1.0,0.006701831492253896
ARS-1019,ERR599158,SRF,0.0262659980330868,199.0,0.035172572818102626,22.0,0.03139918860390402,3.0,,,0.002390768350251693
ARS-1030,ERR599145,DCM,0.10900578998022636,2260.0,0.04064368337938179,38.0,0.09734014626992546,53.0,,,0.0
ARS-1032,ERR599037,MES,0.08044714622493092,803.0,0.056163285825130985,28.0,0.10458544320187176,19.0,0.17075046413780093,6.0,0.018417503259890344
ARS-1032,ERR599062,MES,0.09309590562514347,2081.0,0.05138748229230887,52.0,0.11495658293964355,29.0,0.19112615042679215,11.0,0.02009738678652261
ARS-1032,ERR599167,MES,0.07478320596667543,482.0,0.04642749173239493,16.0,0.10614462600355257,14.0,0.18608783576270596,7.0,0.01861573639276533
ARS-1034,ERR599028,DCM,0.08601858601374934,1692.0,0.043730626713293155,54.0,0.07469360646895923,48.0,,,0.0
ARS-1034,ERR599082,DCM,0.09296159625225064,1792.0,0.036372944560458365,61.0,0.08200646849106671,51.0,,,0.0
ARS-1034,ERR599102,SRF,0.08731226217555334,1591.0,0.05163703637739306,52.0,0.08109422707242747,46.0,,,0.0
ARS-1034,ERR599145,DCM,0.08750208592039663,1799.0,0.044091803423641676,62.0,0.08351463165275427,50.0,,,0.0
ARS-1034,ERR599158,SRF,0.06112606877700578,197.0,0.07374803983893954,6.0,0.059011492107403085,9.0,,,0.0
ARS-1036,ERR594312,MES,0.09440167720381712,2314.0,0.06238108014005445,45.0,0.09700181340561836,44.0,,,1.3636498057659504e-06
ARS-1036,ERR594345,MES,0.06323286338826749,125.0,0.11688051182655589,8.0,0.09656599988828883,1.0,,,0.00010930947067878035
