sequence_id	class_fst_stage	class_snd_stage
c_000000000149	bacteria	n/a
c_000000000231	bacteria	n/a
c_000000000263	bacteria	n/a
c_000000000276	bacteria	n/a
c_000000000332	bacteria	n/a
c_000000000343	bacteria	n/a
c_000000000459	bacteria	n/a
c_000000000538	bacteria	n/a
c_000000000575	bacteria	n/a
c_000000000720	prokarya	n/a
c_000000000738	bacteria	n/a
c_000000000844	bacteria	n/a
c_000000000871	bacteria	n/a
c_000000000893	bacteria	n/a
c_000000000920	bacteria	n/a
c_000000000990	archaea	n/a
c_000000001005	bacteria	n/a
c_000000001027	bacteria	n/a
c_000000001058	bacteria	n/a
c_000000001059	bacteria	n/a
c_000000001071	bacteria	n/a
c_000000001083	bacteria	n/a
c_000000001087	bacteria	n/a
c_000000001142	bacteria	n/a
c_000000001173	bacteria	n/a
c_000000001275	archaea	n/a
c_000000001314	bacteria	n/a
c_000000001337	bacteria	n/a
c_000000001350	bacteria	n/a
c_000000001387	bacteria	n/a
c_000000001422	bacteria	n/a
c_000000001462	bacteria	n/a
c_000000001468	bacteria	n/a
c_000000001515	bacteria	n/a
c_000000001549	bacteria	n/a
c_000000001580	bacteria	n/a
c_000000001614	bacteria	n/a
c_000000001647	bacteria	n/a
c_000000001718	bacteria	n/a
c_000000001782	bacteria	n/a
c_000000001789	bacteria	n/a
c_000000001806	bacteria	n/a
c_000000001808	bacteria	n/a
c_000000001852	bacteria	n/a
c_000000001881	bacteria	n/a
c_000000001883	bacteria	n/a
c_000000001927	bacteria	n/a
c_000000001949	archaea	n/a
c_000000002021	bacteria	n/a
c_000000002026	bacteria	n/a
c_000000002055	bacteria	n/a
c_000000002162	unknown	n/a
c_000000002239	bacteria	n/a
c_000000002240	bacteria	n/a
c_000000002284	bacteria	n/a
c_000000002319	bacteria	n/a
c_000000002321	bacteria	n/a
c_000000002330	bacteria	n/a
c_000000002347	bacteria	n/a
c_000000002434	prokarya	n/a
c_000000002465	bacteria	n/a
c_000000002489	bacteria	n/a
c_000000002515	bacteria	n/a
c_000000002536	bacteria	n/a
c_000000002553	bacteria	n/a
c_000000002555	bacteria	n/a
c_000000002557	bacteria	n/a
c_000000002577	archaea	n/a
c_000000002579	bacteria	n/a
c_000000002617	bacteria	n/a
c_000000002627	bacteria	n/a
c_000000002681	bacteria	n/a
c_000000002684	bacteria	n/a
c_000000002705	bacteria	n/a
c_000000002706	bacteria	n/a
c_000000002765	bacteria	n/a
c_000000002792	bacteria	n/a
c_000000002815	bacteria	n/a
c_000000002851	bacteria	n/a
c_000000002867	bacteria	n/a
c_000000002946	bacteria	n/a
c_000000003061	bacteria	n/a
c_000000003080	archaea	n/a
c_000000003144	bacteria	n/a
c_000000003174	bacteria	n/a
c_000000003187	archaea	n/a
c_000000003361	bacteria	n/a
c_000000003381	bacteria	n/a
c_000000003407	archaea	n/a
c_000000003449	archaea	n/a
c_000000003480	bacteria	n/a
c_000000003484	bacteria	n/a
c_000000003495	bacteria	n/a
c_000000003530	bacteria	n/a
c_000000003548	bacteria	n/a
c_000000003592	bacteria	n/a
c_000000003644	bacteria	n/a
c_000000003649	bacteria	n/a
c_000000003684	bacteria	n/a
c_000000003687	bacteria	n/a
c_000000003726	archaea	n/a
c_000000003736	bacteria	n/a
c_000000003737	bacteria	n/a
c_000000003759	bacteria	n/a
c_000000003882	bacteria	n/a
c_000000003886	bacteria	n/a
c_000000003895	bacteria	n/a
c_000000003899	bacteria	n/a
c_000000003910	bacteria	n/a
c_000000003929	bacteria	n/a
c_000000003962	bacteria	n/a
c_000000003970	bacteria	n/a
c_000000003972	bacteria	n/a
c_000000003988	archaea	n/a
c_000000004010	archaea	n/a
c_000000004057	bacteria	n/a
c_000000004116	bacteria	n/a
c_000000004135	bacteria	n/a
c_000000004152	bacteria	n/a
c_000000004155	bacteria	n/a
c_000000004177	bacteria	n/a
c_000000004234	bacteria	n/a
c_000000004370	bacteria	n/a
c_000000004377	eukarya	n/a
c_000000004382	bacteria	n/a
c_000000004392	bacteria	n/a
c_000000004395	bacteria	n/a
c_000000004463	bacteria	n/a
c_000000004496	bacteria	n/a
c_000000004509	bacteria	n/a
c_000000004532	archaea	n/a
c_000000004556	bacteria	n/a
c_000000004696	bacteria	n/a
c_000000004698	bacteria	n/a
c_000000004724	bacteria	n/a
c_000000004743	bacteria	n/a
c_000000004803	bacteria	n/a
c_000000004831	bacteria	n/a
c_000000004835	bacteria	n/a
c_000000004865	bacteria	n/a
c_000000004901	bacteria	n/a
c_000000004904	bacteria	n/a
c_000000004945	bacteria	n/a
c_000000005000	bacteria	n/a
c_000000005011	archaea	n/a
c_000000005031	bacteria	n/a
c_000000005052	bacteria	n/a
c_000000005109	bacteria	n/a
c_000000005113	bacteria	n/a
c_000000005143	bacteria	n/a
c_000000005158	bacteria	n/a
c_000000005167	bacteria	n/a
c_000000005174	bacteria	n/a
c_000000005213	bacteria	n/a
c_000000005224	bacteria	n/a
c_000000005260	bacteria	n/a
