sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_198631_cov_8.62483	archaea	n/a
NODE_2_length_178773_cov_9.96679	archaea	n/a
NODE_3_length_156476_cov_19.2393	prokarya	n/a
NODE_4_length_144224_cov_8.26019	archaea	n/a
NODE_5_length_138597_cov_10.8785	prokarya	n/a
NODE_6_length_132323_cov_9.32474	archaea	n/a
NODE_7_length_115759_cov_10.2317	archaea	n/a
NODE_8_length_115428_cov_8.94149	archaea	n/a
NODE_9_length_112776_cov_92.3861	archaea	n/a
NODE_10_length_96612_cov_8.74293	archaea	n/a
NODE_11_length_87943_cov_8.30286	bacteria	n/a
NODE_12_length_87651_cov_12.5624	prokarya	n/a
NODE_13_length_82308_cov_75.503	bacteria	n/a
NODE_14_length_81573_cov_27.0503	unknown	n/a
NODE_15_length_73902_cov_7.69606	archaea	n/a
NODE_16_length_73476_cov_10.1064	prokarya	n/a
NODE_17_length_73443_cov_8.32936	prokarya	n/a
NODE_18_length_72534_cov_7.99803	archaea	n/a
NODE_19_length_72375_cov_7.57507	prokarya	n/a
NODE_20_length_70639_cov_7.83573	archaea	n/a
NODE_21_length_69525_cov_16.2712	bacteria	n/a
NODE_22_length_62284_cov_9.16992	archaea	n/a
NODE_23_length_61880_cov_5.83149	bacteria	n/a
NODE_24_length_60699_cov_16.243	bacteria	n/a
NODE_25_length_60653_cov_6.75968	bacteria	n/a
NODE_26_length_60408_cov_133.854	bacteria	n/a
NODE_27_length_59972_cov_37.6403	bacteria	n/a
NODE_28_length_59511_cov_8.16601	bacteria	n/a
NODE_29_length_59262_cov_23.1629	prokarya	n/a
NODE_30_length_58626_cov_49.1102	bacteria	n/a
NODE_31_length_58148_cov_8.46336	unknown	n/a
NODE_32_length_58066_cov_33.0171	bacteria	n/a
NODE_33_length_57873_cov_6.04314	bacteria	n/a
NODE_34_length_57563_cov_25.9941	bacteria	n/a
NODE_35_length_57401_cov_27.1981	bacteria	n/a
NODE_36_length_57166_cov_30.2706	bacteria	n/a
NODE_37_length_56332_cov_6.67424	archaea	n/a
NODE_38_length_56179_cov_10.594	archaea	n/a
NODE_39_length_55981_cov_10.1538	unknown	n/a
NODE_40_length_55610_cov_10.0188	bacteria	n/a
NODE_41_length_54604_cov_9.58008	archaea	n/a
NODE_42_length_54083_cov_47.3256	prokarya	n/a
NODE_43_length_54018_cov_57.6849	bacteria	n/a
NODE_44_length_53300_cov_6.00263	archaea	n/a
NODE_45_length_52847_cov_8.1347	bacteria	n/a
