sample,depth,size_fraction,sum_cov_bp,archaea,bacteria,eukarya,prokarya,organelle,unknown
SRR3962771_min1000_size08,BAT,0.8-0.5,10933668.0,0.0006401328447141435,0.9955980005977866,0.0014342853651674809,0.0005883661365975261,0.0006448887966965889,0.0010943262590376807
SRR3963458_min1000_size02,BAT,0.2-0.8,5830472.0,0.0954066840557677,0.892767686732738,0.0018842385316317444,0.007464061228662105,0.001083445731323296,0.0013938837198772243
SRR3960580_min1000_size08,BAT,0.8-0.5,10175504.0,0.005920296429542949,0.9893392995570539,0.001955283983967772,0.000634661437900275,0.0007194729617324115,0.0014309856298027105
Tara037_ERR599031_MES_0.22-1.6_min1000,MES,0.22-1.6,21026974.0,0.04952828685668228,0.9353479012243987,0.0024580331910811323,0.009254921797116409,0.001088126137408074,0.002322730793313389
SRR3965809_min1000_size08,BAT,0.8-0.5,2261688.0,0.013487713601522403,0.9781075020073503,0.0028359349300168726,0.003188768742638242,0.0019808214041901447,0.00039925931428207607
SRR3966130_min1000_size02,BAT,0.2-0.8,7207626.0,0.12272945349828085,0.8634862574722939,0.0031165601544808235,0.007452939428322169,0.001014897276856485,0.0021998921697657455
Tara039_ERR599037_MES_0.22-1.6_min1000,MES,0.22-1.6,98841536.0,0.04952441248990708,0.9285739954506576,0.0033006366877989433,0.014511247579155387,0.0007700709952544646,0.0033196367972266236
Tara056_ERR599112_MES_0.22-3_min1000,MES,0.22-3,132806930.0,0.056316398549382925,0.9261654644076179,0.003470602023554042,0.009213389692842083,0.0010881585772670147,0.0037459867493360474
SRR3962773_min1000_size02,BAT,0.2-0.8,9237494.0,0.14596274703940268,0.8411148088431776,0.0039157806218872784,0.0058670674102738254,0.00038051445554389534,0.0027590816297147257
SRR3965758_min1000_size02,BAT,0.2-0.8,6943533.0,0.1556801127034321,0.825575683157263,0.00402748859982375,0.010621538055626725,0.0013241097867612928,0.002771067697093108
SRR3968062_min1000_size02,BAT,0.2-0.8,5425007.0,0.11819763550535511,0.845457895261702,0.0042740958675260695,0.021211032538759857,0.002286632994206275,0.008572707832450724
SRR3967905_min1000_size08,BAT,0.8-0.5,1532977.0,0.015139822710973486,0.9649433748842937,0.00455779832313205,0.0019719800101371384,0.003460586818980324,0.00992643725248324
SRR3962680_min1000_size02,BAT,0.2-0.8,2201153.0,0.26901673804592413,0.7073211176142685,0.004578055228328062,0.015910297921134967,0.001587804209884547,0.0015859869804597862
SRR3967690_min1000_size02,BAT,0.2-0.8,7690076.0,0.29061884433911966,0.6853596765493605,0.004610617632387509,0.011436557974199475,0.005099299408744465,0.0028750040961883863
SRR3965592_min1000_size02,BAT,0.2-0.8,6105437.0,0.07543063666040613,0.9042514073931154,0.004972453241266759,0.013783288567222952,0.0003279044563067312,0.001234309681682081
SRR3962772_min1000_size08,BAT,0.8-0.5,5749294.0,0.0014867912477601597,0.9885370273289207,0.005361527867595569,0.0012862448850241438,0.0018339643093569402,0.0014944443613424535
SRR3963622_min1000_size02,BAT,0.2-0.8,5013906.0,0.14035504455009726,0.8407536958211821,0.00604738102389634,0.008625610452210313,0.0012902116633219688,0.002928056489291981
SRR3965676_min1000_size08,BAT,0.8-0.5,3795097.0,0.0023567250059748144,0.9811087832537614,0.006772158919785186,0.00383046862833809,0.004875237708021692,0.0010566264841188513
SRR3960579_min1000_size02,BAT,0.2-0.8,5748207.0,0.23878663381468343,0.7267356586149385,0.008065819480752868,0.02000536863060081,0.0009091530628594273,0.005497366396164926
SRR3960581_min1000_size08,BAT,0.8-0.5,7710674.0,0.0003903679496759946,0.985650022293771,0.008205248983422201,0.000853751565686735,0.0035265399626543672,0.001374069244789755
Tara133_ERR599115_MES_0.22-3_min1000,MES,0.22-3,57031491.0,0.10233642672957648,0.8615417401589588,0.009616108405792863,0.018983441972435896,0.001803933198940915,0.0057183495342950095
Tara112_ERR599072_MES_0.22-3_min1000,MES,0.22-3,116613817.0,0.12360058499757366,0.8266420264761594,0.010128628239653626,0.02711365669472941,0.0026295854804238164,0.009885518111460155
SRR3968060_min1000_size08,BAT,0.8-0.5,3257115.0,0.0064965467906414115,0.9756775551369847,0.010249868365102246,0.0011915452785670755,0.003874287521318713,0.0025101969073858307
Tara145_ERR599166_MES_0.22-3_min1000,MES,0.22-3,62877507.0,0.1317070029509917,0.8130339518708972,0.012034462498648365,0.034976879729026154,0.0017020394908468619,0.00654566345958977
SRR3963658_min1000_size08,BAT,0.8-0.5,2392402.0,0.014085843432667252,0.9601116367566989,0.012294338493279976,0.003908624052312279,0.005698875021839975,0.0039006822432016025
Tara078_ERR599159_MES_0.22-3_min1000,MES,0.22-3,90202871.0,0.09770446220054349,0.8456799784122171,0.01254035472995089,0.026022730473844895,0.0023728402170259083,0.015679633966417764
Tara132_ERR598980_MES_0.22-3_min1000,MES,0.22-3,50055517.0,0.08471727502085334,0.8701550120838828,0.01391393080606879,0.0205589925282362,0.0020791913906313265,0.008575598170327558
Tara025_ERR599043_SRF_0.22-1.6_min1000,SRF,0.22-1.6,162787121.0,0.024653565806351474,0.8784232261224154,0.016690822856926132,0.05795462160670561,0.0043491155544178465,0.01792864805318352
Tara093_ERR599064_SRF_0.22-3_min1000,SRF,0.22-3,104989367.0,0.03837293351811522,0.8623569280115766,0.019610423977506217,0.06061878628147172,0.0031204779051577673,0.015920450306172434
Tara122_ERR598948_DCM_0.22-3_min1000,DCM,0.22-3,90343973.0,0.15860613081516794,0.7202883583612157,0.019796760543174252,0.07489887565604404,0.007014004132849017,0.019395870491549005
Tara025_ERR599094_DCM_0.22-1.6_min1000,DCM,0.22-1.6,125795522.0,0.10954450349989406,0.7784662795866454,0.027990010646006938,0.056443654647738574,0.0066999046277656845,0.020855646991949365
Tara048_ERR599138_SRF_0.22-1.6_min1000,SRF,0.22-1.6,160673141.0,0.0959519114647793,0.7747379880997036,0.029761881607828902,0.06801807030087251,0.0062307053547923106,0.025299443172023383
SRR3963599_min1000_size08,BAT,0.8-0.5,1359465.0,0.022895771498346776,0.9276104938339714,0.02983673724590188,0.0037897261054900275,0.010718922517313796,0.005148348798976068
Tara032_ERR599097_DCM_0.22-1.6_min1000,DCM,0.22-1.6,126742772.0,0.1887449802660147,0.6564260011608394,0.030228295780054423,0.10421126026815951,0.0034011012478092242,0.01698836127712277
Tara032_ERR599041_SRF_0.22-1.6_min1000,SRF,0.22-1.6,21200866.0,0.2576179671151169,0.5791865294559194,0.03987624845136043,0.08457046047081285,0.0037332908948153345,0.0350155036119751
Tara042_ERR599075_SRF_0.22-1.6_min1000,SRF,0.22-1.6,133902022.0,0.14125240020647337,0.7211386621181867,0.041486841774502854,0.05987669103308985,0.0058454382414031055,0.030399966626344147
Tara041_ERR599074_SRF_0.22-1.6_min1000,SRF,0.22-1.6,50433733.0,0.16208695081127547,0.7113605689271504,0.049185016703007095,0.04007196929087125,0.00845612598218736,0.02883936828550843
Tara109_ERR599065_DCM_0.22-3_min1000,DCM,0.22-3,57000866.0,0.13289373533377546,0.7100377036376956,0.049252935911535095,0.07348016431890701,0.006908982751244516,0.027426478046842305
Tara042_ERR599130_DCM_0.22-1.6_min1000,DCM,0.22-1.6,133256755.0,0.25080235519767835,0.5150441866905734,0.08007510763713255,0.11778830273932454,0.004585230970092285,0.03170481676519888
Tara085_ERR599090_SRF_0.22-3_min1000,SRF,0.22-3,142943522.0,0.004573428658068184,0.8937488052099346,0.08159057393310905,0.006829620442680851,0.007662634757243493,0.005594936998963828
Tara065_ERR599110_DCM_0.22-3_min1000,DCM,0.22-3,66352706.0,0.19196009880893178,0.6339578825918569,0.08476736427298082,0.06482431929754304,0.0059336540095290165,0.018556681019158434
Tara078_ERR599101_DCM_0.22-3_min1000,DCM,0.22-3,60648751.0,0.21784405749757318,0.6112863560867066,0.0851494204719896,0.05495801554099605,0.011236488612931205,0.01952566178980339
Tara039_ERR599145_DCM_0.22-1.6_min1000,DCM,0.22-1.6,99781485.0,0.16071236061479743,0.6230815366197446,0.10934820222408997,0.06106057651878001,0.0039065764555418275,0.04189074756704613
Tara041_ERR599053_DCM_0.22-1.6_min1000,DCM,0.22-1.6,187619207.0,0.2551404931585709,0.5228877073337166,0.11137187569500813,0.07789174804475109,0.007347728529734165,0.02536044723821906
Tara066_ERR599068_SRF_0.22-3_min1000,SRF,0.22-3,8628070.0,0.19405313123328854,0.5770076042498496,0.14225649536918453,0.049411050211692766,0.01719666159407608,0.020075057341908446
Tara076_ERR599126_SRF_0.22-3_min1000,SRF,0.22-3,59857658.0,0.10392169035413981,0.6257750512056452,0.1839569800742956,0.04413121208317238,0.011587623424892434,0.030627442857854546
Tara064_ERR599150_SRF_0.22-3_min1000,SRF,0.22-3,52911010.0,0.23181844383616945,0.46696870840303367,0.21246560970958597,0.04066624318832696,0.01358864629497717,0.034492348567906755
Tara085_ERR599121_DCM_0.22-3_min1000,DCM,0.22-3,154750099.0,0.015325689710867325,0.6570484908058121,0.2921731571880933,0.013961425640186504,0.007018373539134214,0.014472863115906634
