COG_function,integron_count,integron_prop,normal_count,normal_prop
"Replication, recombination and repair",1106,0.13884007029876977,1117968,0.06876152157488319
Defense mechanisms,734,0.09214160180768265,416901,0.025641831524775647
"Translation, ribosomal structure and biogenesis",576,0.07230730605071554,1916773,0.1178926659740293
Amino acid transport and metabolism,522,0.06552849610846095,1512228,0.09301080017329875
Cell wall/membrane/envelope biogenesis,483,0.06063268892794376,1621385,0.09972458930728964
"Mobilome: prophages, transposons",471,0.059126286718553855,230790,0.014194924688602261
Transcription,468,0.05874968616620638,630435,0.038775412045838065
"Posttranslational modification, protein turnover, chaperones",461,0.057870951544062264,1145699,0.07046713904764904
Energy production and conversion,433,0.05435601305548581,1251297,0.07696202902237508
Signal transduction mechanisms,420,0.05272407732864675,469196,0.02885827758652206
Coenzyme transport and metabolism,412,0.05171980918905348,1066739,0.06561064070104808
Lipid transport and metabolism,343,0.04305799648506151,1210340,0.07444293577539261
Carbohydrate transport and metabolism,339,0.04255586241526488,1106091,0.06803101713133482
Inorganic ion transport and metabolism,329,0.04130052724077329,867870,0.05337904280730207
Nucleotide transport and metabolism,231,0.02899824253075571,674592,0.04149132386816403
"Secondary metabolites biosynthesis, transport and catabolism",229,0.028747175495857393,410398,0.02524185927619477
"Intracellular trafficking, secretion, and vesicular transport",133,0.016695957820738138,253259,0.015576898616537632
Cell motility,107,0.013432086367060005,150077,0.009230606666195943
"Cell cycle control, cell division, chromosome partitioning",100,0.012553351744915892,192494,0.01183949838817888
Extracellular structures,50,0.006276675872457946,2246,0.00013814203756922172
Cytoskeleton,18,0.0022596033140848608,7054,0.00043386194702283614
Chromatin structure and dynamics,1,0.00012553351744915893,1084,6.66722923976119e-05
