gene_ID,taxon
OM-RGC.v2.002318298,gramNeg
OM-RGC.v2.001622904,gramNeg
OM-RGC.v2.003269414,gramNeg
OM-RGC.v2.002222781,gramNeg
OM-RGC.v2.004707026,gramNeg
OM-RGC.v2.000581627,gramNeg
OM-RGC.v2.000712137,gramNeg
OM-RGC.v2.000747640,gramNeg
OM-RGC.v2.003961550,gramNeg
OM-RGC.v2.005930763,gramNeg
OM-RGC.v2.000928783,gramNeg
OM-RGC.v2.003269418,gramNeg
OM-RGC.v2.008067247,gramNeg
OM-RGC.v2.001295962,gramNeg
OM-RGC.v2.001467407,gramNeg
OM-RGC.v2.001242539,gramNeg
OM-RGC.v2.002824522,gramNeg
OM-RGC.v2.017684910,gramNeg
OM-RGC.v2.001817682,gramNeg
OM-RGC.v2.001084467,gramNeg
OM-RGC.v2.004515784,gramNeg
OM-RGC.v2.003139250,gramNeg
OM-RGC.v2.001400467,gramNeg
OM-RGC.v2.002898970,gramNeg
OM-RGC.v2.003037557,gramNeg
OM-RGC.v2.000476869,gramNeg
OM-RGC.v2.001168791,gramNeg
OM-RGC.v2.000545900,gramNeg
OM-RGC.v2.003098724,gramNeg
OM-RGC.v2.000269890,gramNeg
OM-RGC.v2.006243165,gramNeg
OM-RGC.v2.001168793,gramNeg
OM-RGC.v2.000439295,gramNeg
OM-RGC.v2.000793512,gramNeg
OM-RGC.v2.004804975,gramNeg
OM-RGC.v2.001094992,gramNeg
OM-RGC.v2.003139255,gramNeg
OM-RGC.v2.001106150,gramNeg
OM-RGC.v2.001695190,gramNeg
OM-RGC.v2.000519205,gramNeg
OM-RGC.v2.001042335,gramNeg
OM-RGC.v2.003384865,gramNeg
OM-RGC.v2.003225093,gramNeg
OM-RGC.v2.000491217,gramNeg
OM-RGC.v2.003139192,gramNeg
OM-RGC.v2.000604683,gramNeg
OM-RGC.v2.007095908,gramNeg
OM-RGC.v2.000248434,gramNeg
OM-RGC.v2.004098882,gramNeg
OM-RGC.v2.000197778,gramNeg
OM-RGC.v2.004390818,gramNeg
OM-RGC.v2.005078953,gramNeg
OM-RGC.v2.002918197,gramNeg
OM-RGC.v2.001193159,gramNeg
OM-RGC.v2.002842751,gramNeg
OM-RGC.v2.002806289,gramNeg
OM-RGC.v2.004183320,gramNeg
OM-RGC.v2.003829223,gramNeg
OM-RGC.v2.002733641,gramNeg
OM-RGC.v2.000101113,gramNeg
OM-RGC.v2.004098886,gramNeg
OM-RGC.v2.003934428,gramNeg
OM-RGC.v2.001760273,gramNeg
OM-RGC.v2.015680563,gramNeg
OM-RGC.v2.016083842,gramNeg
OM-RGC.v2.026740254,gramNeg
OM-RGC.v2.013281670,gramNeg
OM-RGC.v2.007702001,gramNeg
OM-RGC.v2.014909670,gramNeg
OM-RGC.v2.002157158,gramNeg
OM-RGC.v2.007096230,gramNeg
OM-RGC.v2.001751130,gramNeg
OM-RGC.v2.001817707,gramNeg
OM-RGC.v2.004299649,gramNeg
OM-RGC.v2.001498250,gramNeg
OM-RGC.v2.003881869,gramNeg
OM-RGC.v2.008898990,gramNeg
OM-RGC.v2.001175058,gramNeg
OM-RGC.v2.012044737,gramNeg
OM-RGC.v2.000789726,gramNeg
OM-RGC.v2.010053162,gramNeg
OM-RGC.v2.000352869,gramNeg
OM-RGC.v2.002453191,gramNeg
OM-RGC.v2.003058211,gramNeg
OM-RGC.v2.000204004,gramNeg
OM-RGC.v2.002318346,gramNeg
OM-RGC.v2.003408052,gramNeg
OM-RGC.v2.005974296,gramNeg
OM-RGC.v2.001084484,gramNeg
OM-RGC.v2.017530107,gramNeg
OM-RGC.v2.001074029,gramNeg
OM-RGC.v2.002562478,gramNeg
OM-RGC.v2.011654399,gramNeg
OM-RGC.v2.000901017,gramNeg
OM-RGC.v2.000183800,gramNeg
OM-RGC.v2.005188945,gramNeg
OM-RGC.v2.002275768,gramNeg
OM-RGC.v2.002699474,gramNeg
OM-RGC.v2.000146505,gramNeg
OM-RGC.v2.000030786,gramNeg
OM-RGC.v2.000210809,gramNeg
OM-RGC.v2.000401485,gramNeg
OM-RGC.v2.000224486,gramNeg
OM-RGC.v2.004973521,gramNeg
OM-RGC.v2.000223761,gramNeg
OM-RGC.v2.000235780,gramNeg
OM-RGC.v2.000156249,gramNeg
OM-RGC.v2.002562483,gramNeg
OM-RGC.v2.000228149,gramNeg
OM-RGC.v2.027013823,gramNeg
OM-RGC.v2.001910844,gramNeg
OM-RGC.v2.003139293,gramNeg
OM-RGC.v2.002453196,gramNeg
